energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.87237280,0.50294436,0.00000000,0.69667955,0.98254182,0.49027782,0.00000000
-5.99399700,1.85711394,0.48267154,0.00000000,0.67566959,0.97858455,0.50096345,0.00000000
-5.98799400,1.85543701,0.46706235,0.00000000,0.66123906,0.98073797,0.51547418,0.00000000
-5.98199100,1.86657302,0.45596495,0.00000000,0.65301233,0.98865033,0.53349182,0.00000000
-5.97598799,1.88956510,0.44916726,0.00000000,0.65055663,1.00187209,0.55465317,0.00000000
-5.96998499,1.92329890,0.44640688,0.00000000,0.65339633,1.01987105,0.57855751,0.00000000
-5.96398199,1.96653337,0.44738074,0.00000000,0.66102611,1.04204802,0.60477411,0.00000000
-5.95797899,2.01793105,0.45175382,0.00000000,0.67292262,1.06775278,0.63284958,0.00000000
-5.95197599,2.07608724,0.45916706,0.00000000,0.68855458,1.09629968,0.66231509,0.00000000
-5.94597299,2.13955768,0.46924410,0.00000000,0.70739101,1.12698275,0.69269347,0.00000000
-5.93996998,2.20688458,0.48159700,0.00000000,0.72890796,1.15909011,0.72350624,0.00000000
-5.93396698,2.27662097,0.49583098,0.00000000,0.75259369,1.19191757,0.75428068,0.00000000
-5.92796398,2.34735384,0.51154844,0.00000000,0.77795273,1.22478150,0.78455704,0.00000000
-5.92196098,2.41772598,0.52835247,0.00000000,0.80450913,1.25703095,0.81389591,0.00000000
-5.91595798,2.48645730,0.54585017,0.00000000,0.83180924,1.28805919,0.84188595,0.00000000
-5.90995498,2.55236544,0.56365596,0.00000000,0.85942450,1.31731479,0.86815171,0.00000000
-5.90395198,2.61438619,0.58139529,0.00000000,0.88695432,1.34431206,0.89236171,0.00000000
-5.89794897,2.67159342,0.59870874,0.00000000,0.91402955,1.36864111,0.91423653,0.00000000
-5.89194597,2.72321828,0.61525668,0.00000000,0.94031639,1.38997708,0.93355656,0.00000000
-5.88594297,2.76866725,0.63072447,0.00000000,0.96552087,1.40808854,0.95016927,0.00000000
-5.87993997,2.80753814,0.64482808,0.00000000,0.98939366,1.42284457,0.96399545,0.00000000
-5.87393697,2.83963311,0.65731983,0.00000000,1.01173508,1.43422006,0.97503417,0.00000000
-5.86793397,2.86496782,0.66799404,0.00000000,1.03239963,1.44229883,0.98336578,0.00000000
-5.86193097,2.88377520,0.67669220,0.00000000,1.05129995,1.44727405,0.98915285,0.00000000
-5.85592796,2.89650326,0.68330724,0.00000000,1.06840943,1.44944537,0.99263829,0.00000000
-5.84992496,2.90380555,0.68778645,0.00000000,1.08376315,1.44921250,0.99414077,0.00000000
-5.84392196,2.90652408,0.69013291,0.00000000,1.09745667,1.44706492,0.99404703,0.00000000
-5.83791896,2.90566404,0.69040484,0.00000000,1.10964234,1.44356757,0.99280106,0.00000000
-5.83191596,2.90236077,0.68871298,0.00000000,1.12052303,1.43934282,0.99089052,0.00000000
-5.82591296,2.89783948,0.68521576,0.00000000,1.13034317,1.43504890,0.98883047,0.00000000
-5.81990995,2.89336882,0.68011241,0.00000000,1.13937729,1.43135554,0.98714509,0.00000000
-5.81390695,2.89021001,0.67363421,0.00000000,1.14791647,1.42891750,0.98634795,0.00000000
-5.80790395,2.88956337,0.66603429,0.00000000,1.15625323,1.42834720,0.98692160,0.00000000
-5.80190095,2.89251472,0.65757633,0.00000000,1.16466541,1.43018748,0.98929744,0.00000000
-5.79589795,2.89998403,0.64852279,0.00000000,1.17340003,1.43488586,0.99383667,0.00000000
-5.78989495,2.91267896,0.63912324,0.00000000,1.18265780,1.44277151,1.00081335,0.00000000
-5.78389195,2.93105571,0.62960342,0.00000000,1.19257930,1.45403626,1.01040039,0.00000000
-5.77788894,2.95528947,0.62015553,0.00000000,1.20323350,1.46872071,1.02265920,0.00000000
-5.77188594,2.98525620,0.61093045,0.00000000,1.21460947,1.48670630,1.03753371,0.00000000
-5.76588294,3.02052719,0.60203200,0.00000000,1.22661173,1.50771412,1.05484913,0.00000000
-5.75987994,3.06037701,0.59351391,0.00000000,1.23905973,1.53131064,1.07431571,0.00000000
-5.75387694,3.10380501,0.58537935,0.00000000,1.25169163,1.55692040,1.09553746,0.00000000
-5.74787394,3.14956970,0.57758310,0.00000000,1.26417219,1.58384533,1.11802550,0.00000000
-5.74187094,3.19623462,0.57003635,0.00000000,1.27610469,1.61128993,1.14121578,0.00000000
-5.73586793,3.24222401,0.56261357,0.00000000,1.28704628,1.63839130,1.16449013,0.00000000
-5.72986493,3.28588565,0.55516131,0.00000000,1.29652608,1.66425273,1.18720000,0.00000000
-5.72386193,3.32555809,0.54750823,0.00000000,1.30406527,1.68797940,1.20869183,0.00000000
-5.71785893,3.35963935,0.53947590,0.00000000,1.30919827,1.70871441,1.22833276,0.00000000
-5.71185593,3.38665375,0.53088972,0.00000000,1.31149386,1.72567374,1.24553572,0.00000000
-5.70585293,3.40531389,0.52158950,0.00000000,1.31057557,1.73817836,1.25978267,0.00000000
-5.69984992,3.41457502,0.51143896,0.00000000,1.30614013,1.74568206,1.27064501,0.00000000
-5.69384692,3.41367916,0.50033395,0.00000000,1.29797327,1.74779375,1.27780008,0.00000000
-5.68784392,3.40218731,0.48820874,0.00000000,1.28596221,1.74429330,1.28104326,0.00000000
-5.68184092,3.37999816,0.47504041,0.00000000,1.27010421,1.73514023,1.28029500,0.00000000
-5.67583792,3.34735276,0.46085095,0.00000000,1.25051087,1.72047488,1.27560245,0.00000000
-5.66983492,3.30482523,0.44570722,0.00000000,1.22740801,1.70061230,1.26713590,0.00000000
-5.66383192,3.25329994,0.42971879,0.00000000,1.20113113,1.67602906,1.25518001,0.00000000
-5.65782891,3.19393668,0.41303387,0.00000000,1.17211675,1.64734389,1.24012048,0.00000000
-5.65182591,3.12812553,0.39583366,0.00000000,1.14088980,1.61529309,1.22242672,0.00000000
-5.64582291,3.05743357,0.37832531,0.00000000,1.10804790,1.58070188,1.20263150,0.00000000
-5.63981991,2.98354606,0.36073410,0.00000000,1.07424279,1.54445316,1.18130842,0.00000000
-5.63381691,2.90820473,0.34329502,0.00000000,1.04015996,1.50745502,1.15904831,0.00000000
-5.62781391,2.83314566,0.32624429,0.00000000,1.00649700,1.47060848,1.13643570,0.00000000
-5.62181091,2.76003959,0.30981106,0.00000000,0.97394157,1.43477667,1.11402620,0.00000000
-5.61580790,2.69043668,0.29420979,0.00000000,0.94314973,1.40075683,1.09232593,0.00000000
-5.60980490,2.62571783,0.27963334,0.00000000,0.91472532,1.36925594,1.07177362,0.00000000
-5.60380190,2.56705405,0.26624719,0.00000000,0.88920114,1.34087078,1.05272621,0.00000000
-5.59779890,2.51537503,0.25418490,0.00000000,0.86702238,1.31607300,1.03544823,0.00000000
-5.59179590,2.47134747,0.24354473,0.00000000,0.84853290,1.29519927,1.02010532,0.00000000
-5.58579290,2.43536335,0.23438768,0.00000000,0.83396471,1.27844670,1.00676192,0.00000000
-5.57978989,2.40753805,0.22673674,0.00000000,0.82343091,1.26587315,0.99538297,0.00000000
-5.57378689,2.38771742,0.22057743,0.00000000,0.81692229,1.25740208,0.98583941,0.00000000
-5.56778389,2.37549330,0.21585933,0.00000000,0.81430765,1.25283138,0.97791690,0.00000000
