energy_ev,total_up,Au_p_up,Au_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.76515380,0.26382139,0.38135921,0.32585053,0.00000000,0.00299709,0.04613098,0.00318766,0.23239544
-5.99399700,0.75170485,0.24778042,0.38987867,0.30956386,0.00000000,0.00278290,0.04308137,0.00303346,0.21935842
-5.98799400,0.74719063,0.23431609,0.40337591,0.29636996,0.00000000,0.00260369,0.04047272,0.00291655,0.20885740
-5.98199100,0.75145163,0.22343307,0.42172405,0.28627070,0.00000000,0.00245963,0.03830667,0.00283602,0.20085412
-5.97598799,0.76415783,0.21507723,0.44470820,0.27919302,0.00000000,0.00235035,0.03657482,0.00279032,0.19526139
-5.96998499,0.78481565,0.20913924,0.47202678,0.27499275,0.00000000,0.00227505,0.03525940,0.00277731,0.19194688
-5.96398199,0.81277954,0.20545965,0.50329546,0.27346045,0.00000000,0.00223259,0.03433408,0.00279436,0.19073803
-5.95797899,0.84726812,0.20383516,0.53805380,0.27432893,0.00000000,0.00222160,0.03376506,0.00283839,0.19142792
-5.95197599,0.88738456,0.20402604,0.57577466,0.27728231,0.00000000,0.00224057,0.03351228,0.00290600,0.19378196
-5.94597299,0.93214066,0.20576419,0.61587643,0.28196623,0.00000000,0.00228797,0.03353079,0.00299359,0.19754529
-5.93996998,0.98048435,0.20876182,0.65773761,0.28799891,0.00000000,0.00236236,0.03377222,0.00309744,0.20245047
-5.93396698,1.03132958,0.21272038,0.70071366,0.29498279,0.00000000,0.00246246,0.03418627,0.00321384,0.20822550
-5.92796398,1.08358791,0.21733950,0.74415545,0.30251629,0.00000000,0.00258725,0.03472215,0.00333919,0.21460173
-5.92196098,1.13620064,0.22232567,0.78742875,0.31020550,0.00000000,0.00273601,0.03533010,0.00347014,0.22132152
-5.91595798,1.18817041,0.22740046,0.82993389,0.31767526,0.00000000,0.00290837,0.03596270,0.00360362,0.22814545
-5.90995498,1.23859093,0.23230796,0.87112486,0.32457943,0.00000000,0.00310434,0.03657611,0.00373697,0.23485869
-5.90395198,1.28667357,0.23682126,0.91052681,0.33060991,0.00000000,0.00332426,0.03713117,0.00386801,0.24127648
-5.89794897,1.33176968,0.24074780,0.94775101,0.33550426,0.00000000,0.00356877,0.03759425,0.00399502,0.24724838
-5.89194597,1.37338732,0.24393333,0.98250658,0.33905152,0.00000000,0.00383878,0.03793796,0.00411686,0.25266117
-5.88594297,1.41120156,0.24626444,1.01460791,0.34109614,0.00000000,0.00413530,0.03814156,0.00423289,0.25744032
-5.87993997,1.44505777,0.24766957,1.04397755,0.34153989,0.00000000,0.00445938,0.03819119,0.00434299,0.26154986
-5.87393697,1.47496725,0.24811844,1.07064389,0.34034173,0.00000000,0.00481192,0.03807979,0.00444751,0.26499075
-5.86793397,1.50109553,0.24762002,1.09473367,0.33751563,0.00000000,0.00519352,0.03780683,0.00454717,0.26779779
-5.86193097,1.52374354,0.24621911,1.11645958,0.33312658,0.00000000,0.00560436,0.03737782,0.00464305,0.27003516
-5.85592796,1.54332256,0.24399174,1.13610322,0.32728489,0.00000000,0.00604395,0.03680362,0.00473644,0.27179090
-5.84992496,1.56032403,0.24103949,1.15399443,0.32013924,0.00000000,0.00651104,0.03609959,0.00482875,0.27317051
-5.84392196,1.57528592,0.23748328,1.17048789,0.31186868,0.00000000,0.00700345,0.03528463,0.00492142,0.27429002
-5.83791896,1.58875713,0.23345659,1.18593816,0.30267398,0.00000000,0.00751797,0.03438017,0.00501585,0.27526897
-5.83191596,1.60126214,0.22909875,1.20067473,0.29276890,0.00000000,0.00805030,0.03340908,0.00511324,0.27622348
-5.82591296,1.61326754,0.22454831,1.21497830,0.28237155,0.00000000,0.00859502,0.03239472,0.00521459,0.27725991
-5.81990995,1.62515254,0.21993714,1.22905980,0.27169636,0.00000000,0.00914562,0.03135990,0.00532062,0.27846942
-5.81390695,1.63718493,0.21538513,1.24304327,0.26094703,0.00000000,0.00969456,0.03032611,0.00543174,0.27992358
-5.80790395,1.64950397,0.21099599,1.25695392,0.25031046,0.00000000,0.01023347,0.02931276,0.00554807,0.28167136
-5.80190095,1.66211106,0.20685422,1.27071182,0.23995221,0.00000000,0.01075329,0.02833669,0.00566939,0.28373755
-5.79589795,1.67486869,0.20302321,1.28413188,0.23001325,0.00000000,0.01124451,0.02741173,0.00579528,0.28612265
-5.78989495,1.68750767,0.19954462,1.29693013,0.22060818,0.00000000,0.01169748,0.02654859,0.00592506,0.28880415
-5.78389195,1.69964216,0.19643892,1.30873597,0.21182486,0.00000000,0.01210271,0.02575473,0.00605798,0.29173906
-5.77788894,1.71079130,0.19370690,1.31910970,0.20372520,0.00000000,0.01245115,0.02503459,0.00619317,0.29486745
-5.77188594,1.72040637,0.19133210,1.32756436,0.19634692,0.00000000,0.01273457,0.02438973,0.00632981,0.29811676
-5.76588294,1.72790149,0.18928376,1.33359057,0.18970621,0.00000000,0.01294579,0.02381926,0.00646715,0.30140649
-5.75987994,1.73268606,0.18752025,1.33668305,0.18380070,0.00000000,0.01307902,0.02332021,0.00660455,0.30465295
