energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,6.78440782,0.01763740,0.38742282,1.72097005,3.05359539,2.57493061,0.00000000
-5.99399700,6.79902455,0.01783797,0.38593935,1.73317001,3.04763866,2.59307146,0.00000000
-5.98799400,6.79364033,0.01801054,0.38338257,1.73997620,3.03342197,2.60271128,0.00000000
-5.98199100,6.76715006,0.01814365,0.37973059,1.74096102,3.01064411,2.60324911,0.00000000
-5.97598799,6.71858425,0.01822657,0.37496789,1.73574183,2.97902871,2.59417456,0.00000000
-5.96998499,6.64716526,0.01824965,0.36908660,1.72399976,2.93834825,2.57509031,0.00000000
-5.96398199,6.55236472,0.01820464,0.36208807,1.70549804,2.88845003,2.54573357,0.00000000
-5.95797899,6.43395854,0.01808497,0.35398462,1.68009880,2.82928214,2.50599530,0.00000000
-5.95197599,6.29207567,0.01788594,0.34480125,1.64777705,2.76091776,2.45593590,0.00000000
-5.94597299,6.12723742,0.01760492,0.33457730,1.60863126,2.68357612,2.39579641,0.00000000
-5.93996998,5.94038428,0.01724139,0.32336770,1.56288937,2.59763851,2.32600409,0.00000000
-5.93396698,5.73288818,0.01679699,0.31124388,1.51091013,2.50365831,2.24717207,0.00000000
-5.92796398,5.50654873,0.01627538,0.29829413,1.45317934,2.40236414,2.16009251,0.00000000
-5.92196098,5.26357316,0.01568220,0.28462331,1.39030113,2.29465588,2.06572351,0.00000000
-5.91595798,5.00654047,0.01502479,0.27035186,1.32298465,2.18159349,1.96517013,0.00000000
-5.90995498,4.73835127,0.01431197,0.25561424,1.25202683,2.06437936,1.85966024,0.00000000
-5.90395198,4.46216570,0.01355378,0.24055664,1.17829196,1.94433486,1.75051625,0.00000000
-5.89794897,4.18133211,0.01276109,0.22533428,1.10268912,1.82287242,1.63912400,0.00000000
-5.89194597,3.89931002,0.01194533,0.21010821,1.02614850,1.70146436,1.52690003,0.00000000
-5.88594297,3.61959072,0.01111813,0.19504189,0.94959770,1.58161019,1.41525876,0.00000000
-5.87993997,3.34561893,0.01029101,0.18029759,0.87393902,1.46480356,1.30558086,0.00000000
-5.87393697,3.08071877,0.00947508,0.16603292,0.80002866,1.35250048,1.19918402,0.00000000
-5.86793397,2.82802665,0.00868077,0.15239749,0.72865863,1.24608992,1.09729716,0.00000000
-5.86193097,2.59043339,0.00791765,0.13952985,0.66054183,1.14686768,1.00103888,0.00000000
-5.85592796,2.37053681,0.00719420,0.12755488,0.59630088,1.05601436,0.91140060,0.00000000
-5.84992496,2.17060583,0.00651773,0.11658169,0.53646060,0.97457777,0.82923468,0.00000000
-5.84392196,1.99255607,0.00589428,0.10670198,0.48144424,0.90345982,0.75524738,0.00000000
-5.83791896,1.83793650,0.00532860,0.09798897,0.43157323,0.84340788,0.68999652,0.00000000
-5.83191596,1.70792615,0.00482412,0.09049688,0.38707000,0.79501016,0.63389324,0.00000000
-5.82591296,1.60333967,0.00438302,0.08426083,0.34806339,0.75869478,0.58720733,0.00000000
-5.81990995,1.52463998,0.00400630,0.07929724,0.31459620,0.73473167,0.55007533,0.00000000
-5.81390695,1.47195652,0.00369383,0.07560458,0.28663408,0.72323695,0.52251079,0.00000000
-5.80790395,1.44510745,0.00344450,0.07316440,0.26407541,0.72417912,0.50441584,0.00000000
-5.80190095,1.44362418,0.00325631,0.07194265,0.24676142,0.73738631,0.49559347,0.00000000
-5.79589795,1.46677717,0.00312645,0.07189118,0.23448625,0.76255449,0.49575996,0.00000000
-5.78989495,1.51360180,0.00305148,0.07294928,0.22700641,0.79925599,0.50455693,0.00000000
-5.78389195,1.58292362,0.00302740,0.07504548,0.22404945,0.84694818,0.52156270,0.00000000
-5.77788894,1.67338250,0.00304973,0.07809924,0.22532157,0.90498231,0.54630270,0.00000000
-5.77188594,1.78345543,0.00311366,0.08202277,0.23051411,0.97261219,0.57825882,0.00000000
-5.76588294,1.91147780,0.00321409,0.08672283,0.23930884,1.04900293,0.61687753,0.00000000
-5.75987994,2.05566334,0.00334574,0.09210251,0.25138212,1.13323969,0.66157701,0.00000000
-5.75387694,2.21412278,0.00350320,0.09806298,0.26640810,1.22433653,0.71175305,0.00000000
-5.74787394,2.38488142,0.00368101,0.10450521,0.28406094,1.32124536,0.76678413,0.00000000
-5.74187094,2.56589579,0.00387374,0.11133155,0.30401638,1.42286511,0.82603547,0.00000000
-5.73586793,2.75506951,0.00407600,0.11844727,0.32595276,1.52805111,0.88886242,0.00000000
-5.72986493,2.95026867,0.00428256,0.12576187,0.34955161,1.63562462,0.95461322,0.00000000
-5.72386193,3.14933651,0.00448836,0.13319027,0.37449813,1.74438268,1.02263114,0.00000000
-5.71785893,3.35010789,0.00468860,0.14065371,0.40048148,1.85310808,1.09225628,0.00000000
-5.71185593,3.55042338,0.00487876,0.14808047,0.42719517,1.96057954,1.16282712,0.00000000
-5.70585293,3.74814326,0.00505470,0.15540620,0.45433762,2.06558219,1.23368187,0.00000000
-5.69984992,3.94116154,0.00521266,0.16257403,0.48161283,2.16691825,1.30415990,0.00000000
-5.69384692,4.12742033,0.00534936,0.16953436,0.50873131,2.26341812,1.37360334,0.00000000
-5.68784392,4.30492473,0.00546200,0.17624431,0.53541128,2.35395185,1.44135909,0.00000000
-5.68184092,4.47175847,0.00554834,0.18266697,0.56138002,2.43744119,1.50678138,0.00000000
-5.67583792,4.62610079,0.00560671,0.18877042,0.58637550,2.51287214,1.56923511,0.00000000
-5.66983492,4.76624443,0.00563603,0.19452656,0.61014816,2.57930817,1.62810008,0.00000000
-5.66383192,4.89061520,0.00563585,0.19990991,0.63246280,2.63590397,1.68277625,0.00000000
-5.65782891,4.99779280,0.00560636,0.20489637,0.65310058,2.68191965,1.73269017,0.00000000
-5.65182591,5.08653291,0.00554835,0.20946214,0.67186107,2.71673513,1.77730243,0.00000000
-5.64582291,5.15579012,0.00546325,0.21358267,0.68856429,2.73986438,1.81611615,0.00000000
-5.63981991,5.20474099,0.00535308,0.21723205,0.70305274,2.75096907,1.84868636,0.00000000
-5.63381691,5.23280676,0.00522041,0.22038250,0.71519337,2.74987119,1.87462994,0.00000000
-5.62781391,5.23967438,0.00506833,0.22300442,0.72487940,2.73656376,1.89363579,0.00000000
-5.62181091,5.22531523,0.00490040,0.22506663,0.73203213,2.71121938,1.90547493,0.00000000
-5.61580790,5.19000010,0.00472057,0.22653712,0.73660250,2.67419558,1.91000984,0.00000000
-5.60980490,5.13430938,0.00453312,0.22738409,0.73857246,2.62603677,1.90720282,0.00000000
-5.60380190,5.05913756,0.00434257,0.22757734,0.73795620,2.56747196,1.89712264,0.00000000
-5.59779890,4.96569095,0.00415359,0.22708983,0.73480098,2.49940817,1.87994911,0.00000000
-5.59179590,4.85547797,0.00397093,0.22589948,0.72918761,2.42291911,1.85597515,0.00000000
-5.58579290,4.73029167,0.00379930,0.22399092,0.72123058,2.33922934,1.82560592,0.00000000
-5.57978989,4.59218416,0.00364329,0.22135729,0.71107754,2.24969391,1.78935490,0.00000000
-5.57378689,4.44343327,0.00350725,0.21800174,0.69890823,2.15577394,1.74783657,0.00000000
-5.56778389,4.28650178,0.00339521,0.21393878,0.68493268,2.05900880,1.70175598,0.00000000
-5.56178089,4.12399020,0.00331076,0.20919516,0.66938864,1.96098537,1.65189501,0.00000000
-5.55577789,3.95858401,0.00325700,0.20381039,0.65253813,1.86330540,1.59909590,0.00000000
-5.54977489,3.79299679,0.00323642,0.19783665,0.63466317,1.76755182,1.54424225,0.00000000
-5.54377189,3.62991069,0.00325083,0.19133831,0.61606058,1.67525492,1.48823813,0.00000000
-5.53776888,3.47191603,0.00330131,0.18439079,0.59703608,1.58785933,1.43198587,0.00000000
-5.53176588,3.32145158,0.00338815,0.17707902,0.57789758,1.50669277,1.37636327,0.00000000
-5.52576288,3.18074748,0.00351081,0.16949538,0.55894803,1.43293733,1.32220106,0.00000000
-5.51975988,3.05177242,0.00366791,0.16173734,0.54047795,1.36760417,1.27026122,0.00000000
-5.51375688,2.93618679,0.00385722,0.15390481,0.52275779,1.31151211,1.22121714,0.00000000
-5.50775388,2.83530332,0.00407570,0.14609729,0.50603067,1.26527086,1.17563623,0.00000000
-5.50175088,2.75005651,0.00431956,0.13841114,0.49050557,1.22926922,1.13396566,0.00000000
-5.49574787,2.68098205,0.00458426,0.13093678,0.47635135,1.20366862,1.09652185,0.00000000
