energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.20331189,0.67426457,1.93812538,0.00217986,0.17106714,0.56175837,0.60373732,0.35570507,0.00000000
-5.99399700,3.11208748,0.66282190,1.88436901,0.00213948,0.16727570,0.55764877,0.57691307,0.34973773,0.00000000
-5.98799400,3.02323417,0.65096157,1.82981927,0.00212623,0.16416062,0.55575908,0.55206040,0.34437506,0.00000000
-5.98199100,2.93745663,0.63884926,1.77509098,0.00214416,0.16167742,0.55596759,0.52923585,0.33966345,0.00000000
-5.97598799,2.85538578,0.62664100,1.72077652,0.00219727,0.15976991,0.55810852,0.50848189,0.33562743,0.00000000
-5.96998499,2.77756254,0.61447841,1.66742883,0.00228945,0.15837167,0.56197479,0.48982735,0.33226963,0.00000000
-5.96398199,2.70442566,0.60248503,1.61554674,0.00242439,0.15740803,0.56732273,0.47328803,0.32957180,0.00000000
-5.95797899,2.63630453,0.59076371,1.56556315,0.00260546,0.15679821,0.57387868,0.45886767,0.32749670,0.00000000
-5.95197599,2.57341717,0.57939540,1.51783675,0.00283561,0.15645771,0.58134711,0.44655903,0.32599096,0.00000000
-5.94597299,2.51587349,0.56843924,1.47264748,0.00311721,0.15630091,0.58942001,0.43634539,0.32498858,0.00000000
-5.93996998,2.46368356,0.55793387,1.43019581,0.00345200,0.15624357,0.59778706,0.42820220,0.32441502,0.00000000
-5.93396698,2.41677035,0.54789993,1.39060572,0.00384087,0.15620534,0.60614610,0.42209895,0.32419174,0.00000000
-5.92796398,2.37498605,0.53834353,1.35393103,0.00428383,0.15611203,0.61421343,0.41800113,0.32424067,0.00000000
-5.92196098,2.33813104,0.52926029,1.32016451,0.00477982,0.15589769,0.62173327,0.41587231,0.32448874,0.00000000
-5.91595798,2.30597433,0.52063986,1.28924918,0.00532671,0.15550618,0.62848603,0.41567613,0.32487192,0.00000000
-5.90995498,2.27827418,0.51247053,1.26109093,0.00592117,0.15489253,0.63429500,0.41737818,0.32533882,0.00000000
-5.90395198,2.25479785,0.50474361,1.23557178,0.00655869,0.15402361,0.63903089,0.42094775,0.32585345,0.00000000
-5.89794897,2.23533926,0.49745727,1.21256280,0.00723360,0.15287853,0.64261433,0.42635922,0.32639715,0.00000000
-5.89194597,2.21973363,0.49061971,1.19193610,0.00793910,0.15144841,0.64501599,0.43359325,0.32696950,0.00000000
-5.88594297,2.20786841,0.48425140,1.17357505,0.00866741,0.14973580,0.64625447,0.44263750,0.32758833,0.00000000
-5.87993997,2.19968991,0.47838619,1.15738240,0.00940989,0.14775368,0.64639215,0.45348695,0.32828860,0.00000000
-5.87393697,2.19520530,0.47307143,1.14328563,0.01015731,0.14552417,0.64552918,0.46614386,0.32912049,0.00000000
-5.86793397,2.19448004,0.46836684,1.13123961,0.01090004,0.14307701,0.64379604,0.48061706,0.33014656,0.00000000
-5.86193097,2.19763083,0.46434246,1.12122627,0.01162835,0.14044787,0.64134514,0.49692094,0.33143839,0.00000000
-5.85592796,2.20481449,0.46107553,1.11325142,0.01233276,0.13767666,0.63834180,0.51507372,0.33307257,0.00000000
-5.84992496,2.21621329,0.45864671,1.10733913,0.01300430,0.13480586,0.63495519,0.53509523,0.33512648,0.00000000
-5.84392196,2.23201743,0.45713569,1.10352378,0.01363486,0.13187895,0.63134960,0.55700419,0.33767394,0.00000000
-5.83791896,2.25240545,0.45661636,1.10184048,0.01421747,0.12893904,0.62767654,0.58081481,0.34078091,0.00000000
-5.83191596,2.27752340,0.45715199,1.10231429,0.01474658,0.12602769,0.62406781,0.60653293,0.34450143,0.00000000
-5.82591296,2.30746367,0.45879035,1.10494893,0.01521824,0.12318396,0.62062996,0.63415174,0.34887398,0.00000000
-5.81990995,2.34224439,0.46155929,1.10971552,0.01563026,0.12044372,0.61744026,0.66364707,0.35391835,0.00000000
-5.81390695,2.38179042,0.46546272,1.11654217,0.01598227,0.11783915,0.61454416,0.69497258,0.35963315,0.00000000
-5.80790395,2.42591663,0.47047741,1.12530478,0.01627572,0.11539847,0.61195431,0.72805494,0.36599409,0.00000000
-5.80190095,2.47431457,0.47655061,1.13581993,0.01651377,0.11314578,0.60965111,0.76278926,0.37295300,0.00000000
-5.79589795,2.52654316,0.48359872,1.14784012,0.01670112,0.11110107,0.60758451,0.79903516,0.38043773,0.00000000
-5.78989495,2.58202432,0.49150712,1.16105190,0.01684375,0.10928024,0.60567701,0.83661370,0.38835286,0.00000000
-5.78389195,2.64004395,0.50013118,1.17507722,0.01694861,0.10769524,0.60382770,0.87530557,0.39658135,0.00000000
-5.77788894,2.69975884,0.50929857,1.18947806,0.01702325,0.10635409,0.60191691,0.91485086,0.40498692,0.00000000
-5.77188594,2.76020981,0.51881277,1.20376451,0.01707541,0.10526104,0.59981162,0.95495069,0.41341732,0.00000000
-5.76588294,2.82034094,0.52845787,1.21740602,0.01711262,0.10441660,0.59737109,0.99527088,0.42170832,0.00000000
-5.75987994,2.87902483,0.53800448,1.22984572,0.01714180,0.10381759,0.59445278,1.03544784,0.42968831,0.00000000
-5.75387694,2.93509317,0.54721659,1.24051710,0.01716889,0.10345715,0.59091831,1.07509667,0.43718352,0.00000000
-5.74787394,2.98737192,0.55585932,1.24886270,0.01719851,0.10332488,0.58663924,1.11382133,0.44402357,0.00000000
-5.74187094,3.03471985,0.56370723,1.25435384,0.01723374,0.10340688,0.58150270,1.15122657,0.45004733,0.00000000
-5.73586793,3.07606895,0.57055292,1.25651070,0.01727591,0.10368591,0.57541657,1.18693128,0.45510880,0.00000000
-5.72986493,3.11046529,0.57621576,1.25492175,0.01732456,0.10414176,0.56831421,1.22058267,0.45908290,0.00000000
-5.72386193,3.13710823,0.58055019,1.24926164,0.01737742,0.10475153,0.56015855,1.25187057,0.46187085,0.00000000
-5.71785893,3.15538629,0.58345355,1.23930658,0.01743054,0.10549022,0.55094544,1.28054122,0.46340500,0.00000000
-5.71185593,3.16490786,0.58487290,1.22494654,0.01747844,0.10633138,0.54070619,1.30640969,0.46365292,0.00000000
-5.70585293,3.16552491,0.58481055,1.20619337,0.01751447,0.10724784,0.52950909,1.32937019,0.46262048,0.00000000
-5.69984992,3.15734841,0.58332819,1.18318452,0.01753103,0.10821262,0.51745993,1.34940362,0.46035373,0.00000000
-5.69384692,3.14075431,0.58054915,1.15618196,0.01752006,0.10919985,0.50470140,1.36658174,0.45693960,0.00000000
-5.68784392,3.11637934,0.57665878,1.12556628,0.01747336,0.11018574,0.49141137,1.38106746,0.45250516,0.00000000
-5.68184092,3.08510657,0.57190282,1.09182606,0.01738307,0.11114951,0.47779989,1.39311116,0.44721551,0.00000000
-5.67583792,3.04804097,0.56658356,1.05554312,0.01724202,0.11207429,0.46410524,1.40304290,0.44127026,0.00000000
-5.66983492,3.00647574,0.56105402,1.01737400,0.01704411,0.11294783,0.45058876,1.41126079,0.43489874,0.00000000
-5.66383192,2.96185083,0.55571004,0.97802873,0.01678463,0.11376306,0.43752883,1.41821588,0.42835398,0.00000000
-5.65782891,2.91570526,0.55098059,0.93824764,0.01646047,0.11451850,0.42521402,1.42439441,0.42190572,0.00000000
-5.65182591,2.86962528,0.54731633,0.89877739,0.01607032,0.11521833,0.41393564,1.43029798,0.41583265,0.00000000
-5.64582291,2.82519062,0.54517689,0.86034712,0.01561475,0.11587226,0.40397989,1.43642287,0.41041412,0.00000000
-5.63981991,2.78392115,0.54501696,0.82364581,0.01509621,0.11649510,0.39561985,1.44323943,0.40592155,0.00000000
