energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.95620792,-0.95620792,0.03636303,-0.03636303,0.06876483,-0.06876483,0.21819038,-0.21819038,0.29337072,-0.29337072,0.03693354,-0.03693354,0.44780463,-0.44780463
-5.99399700,0.93305307,-0.93305307,0.03548687,-0.03548687,0.06746322,-0.06746322,0.21553774,-0.21553774,0.28627406,-0.28627406,0.03571129,-0.03571129,0.43654933,-0.43654933
-5.98799400,0.90694210,-0.90694210,0.03438874,-0.03438874,0.06593368,-0.06593368,0.21344685,-0.21344685,0.27783263,-0.27783263,0.03431141,-0.03431141,0.42408754,-0.42408754
-5.98199100,0.87864823,-0.87864823,0.03309243,-0.03309243,0.06422774,-0.06422774,0.21214476,-0.21214476,0.26827532,-0.26827532,0.03276238,-0.03276238,0.41079135,-0.41079135
-5.97598799,0.84904995,-0.84904995,0.03162542,-0.03162542,0.06240368,-0.06240368,0.21188811,-0.21188811,0.25786191,-0.25786190,0.03109587,-0.03109587,0.39708410,-0.39708410
-5.96998499,0.81910739,-0.81910739,0.03001807,-0.03001807,0.06052460,-0.06052460,0.21295686,-0.21295686,0.24687594,-0.24687594,0.02934586,-0.02934586,0.38342954,-0.38342954
-5.96398199,0.78983647,-0.78983647,0.02830265,-0.02830265,0.05865638,-0.05865638,0.21564697,-0.21564697,0.23561698,-0.23561698,0.02754772,-0.02754772,0.37031995,-0.37031995
-5.95797899,0.76228163,-0.76228163,0.02651249,-0.02651249,0.05686556,-0.05686556,0.22026203,-0.22026203,0.22439272,-0.22439272,0.02573727,-0.02573727,0.35826347,-0.35826347
-5.95197599,0.73748812,-0.73748812,0.02468100,-0.02468100,0.05521711,-0.05521711,0.22710421,-0.22710422,0.21351104,-0.21351104,0.02394996,-0.02394996,0.34777119,-0.34777119
-5.94597299,0.71647486,-0.71647486,0.02284083,-0.02284083,0.05377241,-0.05377241,0.23646475,-0.23646475,0.20327246,-0.20327246,0.02222008,-0.02222008,0.33934434,-0.33934434
-5.93996998,0.70020846,-0.70020846,0.02102315,-0.02102315,0.05258725,-0.05258725,0.24861420,-0.24861420,0.19396315,-0.19396315,0.02058002,-0.02058002,0.33346191,-0.33346191
-5.93396698,0.68957923,-0.68957923,0.01925695,-0.01925695,0.05171016,-0.05171016,0.26379273,-0.26379273,0.18584855,-0.18584855,0.01905976,-0.01905976,0.33056903,-0.33056903
-5.92796398,0.68537955,-0.68537955,0.01756850,-0.01756850,0.05118091,-0.05118091,0.28220082,-0.28220082,0.17916797,-0.17916797,0.01768635,-0.01768635,0.33106627,-0.33106627
-5.92196098,0.68828506,-0.68828506,0.01598099,-0.01598099,0.05102937,-0.05102937,0.30399046,-0.30399046,0.17413001,-0.17413001,0.01648362,-0.01648362,0.33530016,-0.33530016
-5.91595798,0.69883901,-0.69883901,0.01451423,-0.01451423,0.05127472,-0.05127472,0.32925724,-0.32925724,0.17090897,-0.17090897,0.01547186,-0.01547186,0.34355490,-0.34355490
