energy_ev,total_up,B_p_up,B_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.35176726,0.10885884,0.00000000,0.11457898,0.19526577,0.00803882,0.04353003
-5.99399700,0.32936915,0.10368227,0.00000000,0.10926003,0.18533491,0.00724311,0.03945437
-5.98799400,0.30965876,0.09946456,0.00000000,0.10496939,0.17707531,0.00648744,0.03561043
-5.98199100,0.29298963,0.09631832,0.00000000,0.10182830,0.17069065,0.00577833,0.03203725
-5.97598799,0.27965522,0.09433690,0.00000000,0.09993756,0.16635028,0.00512105,0.02876674
-5.96998499,0.26988744,0.09359338,0.00000000,0.09937634,0.16418779,0.00451957,0.02582385
-5.96398199,0.26385723,0.09414022,0.00000000,0.10020170,0.16430051,0.00397673,0.02322705
-5.95797899,0.26167683,0.09600943,0.00000000,0.10244853,0.16675015,0.00349432,0.02098902
-5.95197599,0.26340366,0.09921322,0.00000000,0.10613012,0.17156418,0.00307329,0.01911753
-5.94597299,0.26904545,0.10374514,0.00000000,0.11123920,0.17873813,0.00271390,0.01761641
-5.93996998,0.27856637,0.10958166,0.00000000,0.11774937,0.18823846,0.00241597,0.01648664
-5.93396698,0.29189408,0.11668404,0.00000000,0.12561698,0.20000614,0.00217907,0.01572741
-5.92796398,0.30892716,0.12500059,0.00000000,0.13478330,0.21396065,0.00200275,0.01533722
-5.92196098,0.32954289,0.13446906,0.00000000,0.14517709,0.23000435,0.00188667,0.01531479
-5.91595798,0.35360508,0.14501936,0.00000000,0.15671726,0.24802708,0.00183085,0.01566001
-5.90995498,0.38097156,0.15657624,0.00000000,0.16931576,0.26791085,0.00183577,0.01637461
-5.90395198,0.41150112,0.16906205,0.00000000,0.18288052,0.28953444,0.00190248,0.01746270
-5.89794897,0.44505972,0.18239933,0.00000000,0.19731830,0.31277772,0.00203271,0.01893116
-5.89194597,0.48152539,0.19651326,0.00000000,0.21253740,0.33752549,0.00222884,0.02078969
-5.88594297,0.52079185,0.21133370,0.00000000,0.22844999,0.36367064,0.00249398,0.02305072
-5.87993997,0.56277029,0.22679681,0.00000000,0.24497412,0.39111645,0.00283183,0.02572904
-5.87393697,0.60738932,0.24284611,0.00000000,0.26203509,0.41977785,0.00324664,0.02884116
-5.86793397,0.65459278,0.25943282,0.00000000,0.27956613,0.44958139,0.00374304,0.03240444
-5.86193097,0.70433541,0.27651557,0.00000000,0.29750844,0.48046402,0.00432589,0.03643602
-5.85592796,0.75657643,0.29405929,0.00000000,0.31581034,0.51237053,0.00500003,0.04095153
-5.84992496,0.81127126,0.31203344,0.00000000,0.33442579,0.54524972,0.00577005,0.04596366
-5.84392196,0.86836170,0.33040957,0.00000000,0.35331205,0.57904954,0.00664001,0.05148063
-5.83791896,0.92776502,0.34915836,0.00000000,0.37242700,0.61371141,0.00761320,0.05750463
-5.83191596,0.98936279,0.36824642,0.00000000,0.39172584,0.64916406,0.00869181,0.06403031
-5.82591296,1.05298998,0.38763291,0.00000000,0.41115790,0.68531739,0.00987671,0.07104343
-5.81990995,1.11842546,0.40726648,0.00000000,0.43066343,0.72205682,0.01116722,0.07851965
-5.81390695,1.18538451,0.42708258,0.00000000,0.45017090,0.75923864,0.01256089,0.08642376
-5.80790395,1.25351452,0.44700165,0.00000000,0.46959509,0.79668694,0.01405344,0.09470923
-5.80190095,1.32239438,0.46692837,0.00000000,0.48883616,0.83419259,0.01563867,0.10331821
-5.79589795,1.39153842,0.48675219,0.00000000,0.50778005,0.87151464,0.01730853,0.11218220
-5.78989495,1.46040520,0.50634936,0.00000000,0.52630034,0.90838456,0.01905325,0.12122313
-5.78389195,1.52841130,0.52558647,0.00000000,0.54426163,0.94451317,0.02086158,0.13035511
-5.77788894,1.59494993,0.54432558,0.00000000,0.56152445,0.97960056,0.02272115,0.13948671
-5.77188594,1.65941384,0.56243072,0.00000000,0.57795159,1.01334843,0.02461886,0.14852370
-5.76588294,1.72122165,0.57977551,0.00000000,0.59341557,1.04547448,0.02654141,0.15737223
