energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.31292596,-1.19496553,0.85761477,-0.78432728,0.16069364,-0.14514996,0.09615401,-0.09044212,0.00000000,-0.00000000,0.51807808,-0.48720831,0.00000000,-0.00000000
-5.99399700,1.32916779,-1.22886536,0.86612604,-0.80685801,0.16321067,-0.14894958,0.09684644,-0.09230512,0.00000000,-0.00000000,0.52175657,-0.49842250,0.00000000,-0.00000000
-5.98799400,1.33888435,-1.25829523,0.86980557,-0.82590693,0.16522768,-0.15234417,0.09707748,-0.09382335,0.00000000,-0.00000000,0.52279105,-0.50734059,0.00000000,-0.00000000
-5.98199100,1.34215646,-1.28254175,0.86867553,-0.84101654,0.16681459,-0.15527943,0.09686217,-0.09494698,0.00000000,-0.00000000,0.52132026,-0.51377838,0.00000000,-0.00000000
-5.97598799,1.33931607,-1.30109521,0.86290810,-0.85185418,0.16808036,-0.15773364,0.09623516,-0.09564381,0.00000000,-0.00000000,0.51758351,-0.51764371,0.00000000,-0.00000000
-5.96998499,1.33094101,-1.31366606,0.85282096,-0.85822191,0.16917215,-0.15971986,0.09524998,-0.09590022,0.00000000,-0.00000000,0.51191615,-0.51894123,0.00000000,-0.00000000
-5.96398199,1.31784245,-1.32019587,0.83886823,-0.86006243,0.17027337,-0.16128742,0.09397769,-0.09572176,0.00000000,-0.00000000,0.50474205,-0.51777447,0.00000000,-0.00000000
-5.95797899,1.30104504,-1.32086201,0.82162715,-0.85746104,0.17160051,-0.16252249,0.09250510,-0.09513303,0.00000000,-0.00000000,0.49656322,-0.51434501,0.00000000,-0.00000000
-5.95197599,1.28176029,-1.31607592,0.80178095,-0.85064322,0.17339876,-0.16354768,0.09093242,-0.09417723,0.00000000,-0.00000000,0.48794684,-0.50894887,0.00000000,-0.00000000
-5.94597299,1.26135368,-1.30647471,0.78009834,-0.83996803,0.17593646,-0.16452072,0.08937050,-0.09291505,0.00000000,-0.00000000,0.47950995,-0.50196996,0.00000000,-0.00000000
-5.93996998,1.24130620,-1.29290627,0.75741033,-0.82591740,0.17949841,-0.16563196,0.08793765,-0.09142310,0.00000000,-0.00000000,0.47190219,-0.49387087,0.00000000,-0.00000000
-5.93396698,1.22317142,-1.27640799,0.73458513,-0.80908175,0.18437814,-0.16710089,0.08675625,-0.08979196,0.00000000,-0.00000000,0.46578709,-0.48518117,0.00000000,-0.00000000
-5.92796398,1.20852911,-1.25817958,0.71250194,-0.79014215,0.19086919,-0.16917155,0.08594903,-0.08812367,0.00000000,-0.00000000,0.46182221,-0.47648356,0.00000000,-0.00000000
-5.92196098,1.19893656,-1.23955054,0.69202425,-0.76984987,0.19925562,-0.17210683,0.08563524,-0.08652897,0.00000000,-0.00000000,0.46063884,-0.46839799,0.00000000,-0.00000000
-5.91595798,1.19587895,-1.22194301,0.67397379,-0.74900363,0.20980200,-0.17618189,0.08592684,-0.08512420,0.00000000,-0.00000000,0.46282160,-0.46156448,0.00000000,-0.00000000
-5.90995498,1.20072021,-1.20683085,0.65910556,-0.72842545,0.22274297,-0.18167650,0.08692459,-0.08402793,0.00000000,-0.00000000,0.46888852,-0.45662467,0.00000000,-0.00000000
-5.90395198,1.21465552,-1.19569593,0.64808493,-0.70893581,0.23827283,-0.18886667,0.08871448,-0.08335746,0.00000000,-0.00000000,0.47927226,-0.45420283,0.00000000,-0.00000000
-5.89794897,1.23866721,-1.18998265,0.64146724,-0.69132873,0.25653539,-0.19801558,0.09136420,-0.08322525,0.00000000,-0.00000000,0.49430278,-0.45488659,0.00000000,-0.00000000
-5.89194597,1.27348507,-1.19105192,0.63968078,-0.67634764,0.27761441,-0.20936400,0.09492015,-0.08373526,0.00000000,-0.00000000,0.51419228,-0.45920797,0.00000000,-0.00000000
-5.88594297,1.31955278,-1.20013580,0.64301327,-0.66466273,0.30152520,-0.22312056,0.09940480,-0.08497946,0.00000000,-0.00000000,0.53902270,-0.46762513,0.00000000,-0.00000000
-5.87993997,1.37700144,-1.21829399,0.65160254,-0.65685030,0.32820758,-0.23945191,0.10481462,-0.08703447,0.00000000,-0.00000000,0.56873646,-0.48050530,0.00000000,-0.00000000
-5.87393697,1.44563150,-1.24637354,0.66543156,-0.65337491,0.35752072,-0.25847342,0.11111871,-0.08995836,0.00000000,-0.00000000,0.60313085,-0.49810951,0.00000000,-0.00000000
-5.86793397,1.52490410,-1.28497313,0.68432799,-0.65457476,0.38924017,-0.28024039,0.11825814,-0.09378800,0.00000000,-0.00000000,0.64185642,-0.52057942,0.00000000,-0.00000000
