energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.20276177,0.00400560,0.00232543,0.05978211,0.03247772,0.08683426,0.00000000,0.02479138,0.03997125
-5.99399700,0.20021048,0.00471274,0.00268931,0.05754057,0.03295497,0.08559101,0.00000000,0.02895900,0.03809490
-5.98799400,0.20044789,0.00553108,0.00313605,0.05605462,0.03387741,0.08549816,0.00000000,0.03391597,0.03666242
-5.98199100,0.20377670,0.00646806,0.00367632,0.05540963,0.03529186,0.08668520,0.00000000,0.03974616,0.03572317
-5.97598799,0.21047379,0.00753083,0.00432114,0.05568317,0.03724068,0.08927033,0.00000000,0.04653529,0.03532036
-5.96998499,0.22078518,0.00872585,0.00508164,0.05694404,0.03976108,0.09335869,0.00000000,0.05436879,0.03549041
-5.96398199,0.23492097,0.01005852,0.00596879,0.05925136,0.04288431,0.09904046,0.00000000,0.06332940,0.03626224
-5.95797899,0.25305019,0.01153280,0.00699311,0.06265356,0.04663496,0.10638901,0.00000000,0.07349443,0.03765665
-5.95197599,0.27529549,0.01315073,0.00816433,0.06718737,0.05103018,0.11545890,0.00000000,0.08493280,0.03968581
-5.94597299,0.30172768,0.01491205,0.00949104,0.07287666,0.05607888,0.12628392,0.00000000,0.09770189,0.04235264
-5.93996998,0.33236029,0.01681384,0.01098027,0.07973121,0.06178100,0.13887491,0.00000000,0.11184421,0.04565031
-5.93396698,0.36714429,0.01885011,0.01263713,0.08774547,0.06812680,0.15321778,0.00000000,0.12738414,0.04956174
-5.92796398,0.40596332,0.02101156,0.01446440,0.09689727,0.07509619,0.16927154,0.00000000,0.14432469,0.05405925
-5.92196098,0.44862962,0.02328533,0.01646218,0.10714664,0.08265826,0.18696664,0.00000000,0.16264451,0.05910423
-5.91595798,0.49488121,0.02565492,0.01862751,0.11843476,0.09077098,0.20620365,0.00000000,0.18229532,0.06464709
-5.90995498,0.54438054,0.02810015,0.02095413,0.13068330,0.09938119,0.22685256,0.00000000,0.20319979,0.07062736
-5.90395198,0.59671515,0.03059736,0.02343222,0.14379397,0.10842489,0.24875275,0.00000000,0.22525018,0.07697412
-5.89794897,0.65140060,0.03311963,0.02604830,0.15764874,0.11782796,0.27171386,0.00000000,0.24830768,0.08360669
-5.89194597,0.70788595,0.03563727,0.02878516,0.17211049,0.12750727,0.29551767,0.00000000,0.27220276,0.09043570
-5.88594297,0.76556202,0.03811839,0.03162191,0.18702438,0.13737232,0.31992100,0.00000000,0.29673644,0.09736455
-5.87993997,0.82377238,0.04052964,0.03453420,0.20221995,0.14732735,0.34465984,0.00000000,0.32168263,0.10429117
-5.87393697,0.88182706,0.04283706,0.03749445,0.21751381,0.15727390,0.36945451,0.00000000,0.34679153,0.11111019
-5.86793397,0.93901864,0.04500707,0.04047226,0.23271312,0.16711376,0.39401587,0.00000000,0.37179403,0.11771531
-5.86193097,0.99464034,0.04700748,0.04343493,0.24761962,0.17675231,0.41805241,0.00000000,0.39640701,0.12400200
-5.85592796,1.04800539,0.04880862,0.04634801,0.26203416,0.18610201,0.44127801,0.00000000,0.42033945,0.12987017
-5.84992496,1.09846718,0.05038431,0.04917600,0.27576158,0.19508601,0.46342005,0.00000000,0.44329916,0.13522706
-5.84392196,1.14543911,0.05171296,0.05188310,0.28861579,0.20364155,0.48422758,0.00000000,0.46499984,0.13998986
