energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.85248115,0.00629586,0.67398964,2.73586264,1.60171069,0.00692067,0.36844504
-5.99399700,2.83310499,0.00655188,0.66307426,2.79422772,1.56207919,0.00767157,0.37958727
-5.98799400,2.82934817,0.00680544,0.65594542,2.86333459,1.53169083,0.00856868,0.39266455
-5.98199100,2.84190767,0.00705681,0.65276709,2.94361006,1.51103268,0.00961453,0.40774509
-5.97598799,2.87122872,0.00730649,0.65363587,3.03530397,1.50043637,0.01081034,0.42487298
-5.96998499,2.91748508,0.00755520,0.65857538,3.13846746,1.50006703,0.01215578,0.44406703
-5.96398199,2.98056318,0.00780376,0.66753192,3.25293429,1.50991479,0.01364873,0.46531969
-5.95797899,3.06005099,0.00805305,0.68037181,3.37830673,1.52978918,0.01528500,0.48859613
-5.95197599,3.15523257,0.00830390,0.69688065,3.51394704,1.55931700,0.01705818,0.51383339
-5.94597299,3.26508954,0.00855696,0.71676473,3.65897597,1.59794412,0.01895941,0.54093980
-5.93996998,3.38830990,0.00881264,0.73965480,3.81227899,1.64494172,0.02097732,0.56979472
-5.93396698,3.52330507,0.00907100,0.76511229,3.97252081,1.69941711,0.02309800,0.60024866
-5.92796398,3.66823513,0.00933165,0.79263794,4.13816840,1.76032935,0.02530497,0.63212390
-5.92196098,3.82104230,0.00959367,0.82168268,4.30752212,1.82650950,0.02757935,0.66521559
-5.91595798,3.97949185,0.00985559,0.85166051,4.47875399,1.89668513,0.02990005,0.69929350
-5.90995498,4.14121950,0.01011534,0.88196299,4.64995191,1.96950855,0.03224402,0.73410429
-5.90395198,4.30378386,0.01037024,0.91197478,4.81916785,2.04358788,0.03458661,0.76937441
-5.89794897,4.46472199,0.01061704,0.94108970,4.98446805,2.11751986,0.03690200,0.80481345
-5.89194597,4.62160611,0.01085201,0.96872658,5.14398284,2.18992336,0.03916363,0.84011802
-5.88594297,4.77209914,0.01107098,0.99434426,5.29595366,2.25947218,0.04134477,0.87497593
-5.87993997,4.91400695,0.01126948,1.01745520,5.43877513,2.32492589,0.04341901,0.90907063
-5.87393697,5.04532514,0.01144287,1.03763685,5.57103002,2.38515745,0.04536081,0.94208580
-5.86793397,5.16427863,0.01158652,1.05454066,5.69151569,2.43917663,0.04714604,0.97370993
-5.86193097,5.26935246,0.01169594,1.06789798,5.79926085,2.48614820,0.04875248,1.00364079
-5.85592796,5.35931314,0.01176700,1.07752307,5.89353226,2.52540443,0.05016024,1.03158971
-5.84992496,5.43321978,0.01179604,1.08331287,5.97383152,2.55645151,0.05135224,1.05728558
-5.84392196,5.49042552,0.01178011,1.08524391,6.03988288,2.57896993,0.05231447,1.08047855
-5.83791896,5.53056963,0.01171701,1.08336646,6.09161338,2.59280932,0.05303625,1.10094331
-5.83191596,5.55356167,0.01160550,1.07779664,6.12912716,2.59797810,0.05351046,1.11848203
-5.82591296,5.55955913,0.01144535,1.06870675,6.15267620,2.59462907,0.05373356,1.13292692
-5.81990995,5.54894035,0.01123738,1.05631465,6.16262961,2.58304191,0.05370566,1.14414240
