energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,6.01694642,0.00581672,0.45291208,3.49643309,2.89945304,0.00798244,1.69451970
-5.99399700,5.69343373,0.00549191,0.42692671,3.32326842,2.74577623,0.00737852,1.60090908
-5.98799400,5.36170386,0.00518328,0.40035714,3.14232522,2.58832968,0.00688358,1.50497090
-5.98199100,5.02556569,0.00489359,0.37343981,2.95597776,2.42906855,0.00649767,1.40770934
-5.97598799,4.68897728,0.00462593,0.34642954,2.76672003,2.27000723,0.00622171,1.31017019
-5.96998499,4.35593176,0.00438363,0.31958968,2.57709058,2.11316417,0.00605740,1.21341040
-5.96398199,4.03034649,0.00417017,0.29318294,2.38959948,1.96050821,0.00600719,1.11846855
-5.95797899,3.71595981,0.00398905,0.26746314,2.20666065,1.81390811,0.00607409,1.02633764
-5.95197599,3.41623904,0.00384367,0.24266814,2.03053154,1.67508721,0.00626155,0.93794113
-5.94597299,3.13430286,0.00373723,0.21901436,1.86326224,1.54558455,0.00657329,0.85411310
-5.93996998,2.87285979,0.00367260,0.19669269,1.70665528,1.42672346,0.00701309,0.77558309
-5.93396698,2.63416436,0.00365221,0.17586620,1.56223669,1.31958825,0.00758461,0.70296577
-5.92796398,2.41999081,0.00367798,0.15666918,1.43123868,1.22500918,0.00829122,0.63675573
-5.92196098,2.23162425,0.00375124,0.13920780,1.31459341,1.14355568,0.00913585,0.57732690
-5.91595798,2.06986789,0.00387268,0.12356183,1.21293714,1.07553743,0.01012084,0.52493633
-5.90995498,1.93506472,0.00404226,0.10978752,1.12662375,1.02101257,0.01124787,0.47973180
-5.90395198,1.82713164,0.00425927,0.09792116,1.05574595,0.97980241,0.01251790,0.44176240
-5.89794897,1.74560357,0.00452225,0.08798315,1.00016298,0.95151155,0.01393121,0.41099150
-5.89194597,1.68968522,0.00482908,0.07998235,0.95953290,0.93555250,0.01548740,0.38731115
-5.88594297,1.65830786,0.00517697,0.07392030,0.93334809,0.93117378,0.01718559,0.37055728
-5.87993997,1.65018889,0.00556254,0.06979534,0.92097209,0.93749041,0.01902452,0.36052481
-5.87393697,1.66389175,0.00598189,0.06760613,0.92167667,0.95351585,0.02100280,0.35698209
-5.86793397,1.69788417,0.00643069,0.06735466,0.93467753,0.97819438,0.02311914,0.35968410
-5.86193097,1.75059293,0.00690427,0.06904847,0.95916770,1.01043299,0.02537265,0.36838382
-5.85592796,1.82045363,0.00739773,0.07270211,0.99434760,1.04913201,0.02776306,0.38284162
-5.84992496,1.90595394,0.00790606,0.07833775,1.03945095,1.09321347,0.03029103,0.40283216
-5.84392196,2.00566958,0.00842420,0.08598496,1.09376624,1.14164682,0.03295836,0.42814893
-5.83791896,2.11829224,0.00894720,0.09567969,1.15665306,1.19347098,0.03576815,0.45860632
-5.83191596,2.24264885,0.00947025,0.10746267,1.22755346,1.24781252,0.03872491,0.49403922
-5.82591296,2.37771246,0.00998879,0.12137710,1.30599809,1.30389942,0.04183457,0.53430058
-5.81990995,2.52260453,0.01049855,0.13746597,1.39160756,1.36107017,0.04510442,0.57925700
-5.81390695,2.67658937,0.01099560,0.15576911,1.48408913,1.41877814,0.04854294,0.62878279
-5.80790395,2.83906140,0.01147635,0.17631999,1.58322933,1.47659133,0.05215945,0.68275294
-5.80190095,3.00952611,0.01193761,0.19914259,1.68888307,1.53418756,0.05596380,0.74103528
-5.79589795,3.18757606,0.01237651,0.22424830,1.80095970,1.59134575,0.05996583,0.80348250
-5.78989495,3.37286295,0.01279055,0.25163312,1.91940687,1.64793359,0.06417486,0.86992415
-5.78389195,3.56506740,0.01317751,0.28127503,2.04419272,1.70389253,0.06859901,0.94015940
-5.77788894,3.76386755,0.01353547,0.31313176,2.17528701,1.75922052,0.07324453,1.01395044
-5.77188594,3.96890799,0.01386277,0.34713883,2.31264175,1.81395362,0.07811514,1.09101726
-5.76588294,4.17977000,0.01415797,0.38320801,2.45617189,1.86814715,0.08321124,1.17103366
-5.75987994,4.39594438,0.01441986,0.42122593,2.60573634,1.92185716,0.08852928,1.25362482
-5.75387694,4.61680749,0.01464741,0.46105303,2.76111969,1.97512299,0.09406107,1.33836635
-5.74787394,4.84160129,0.01483987,0.50252265,2.92201500,2.02795163,0.09979317,1.42478489
-5.74187094,5.06941786,0.01499670,0.54544025,3.08800778,2.08030424,0.10570635,1.51236011
-5.73586793,5.29918855,0.01511764,0.58958277,3.25856142,2.13208539,0.11177518,1.60052804
-5.72986493,5.52967821,0.01520276,0.63469817,3.43300446,2.18313526,0.11796773,1.68868547
-5.72386193,5.75948432,0.01525248,0.68050505,3.61051995,2.23322487,0.12424532,1.77619540
