energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.63443128,-2.09372861,0.06316571,-0.01996960,0.42514819,-0.12899877,0.91627340,-0.54878337,0.68327207,-0.17855069,0.66672201,-0.51643622,0.32705359,-0.09291345,0.15831838,-0.04974961,1.94573589,-1.06093669
-5.99399700,4.72693739,-2.11454010,0.06410818,-0.02164939,0.43742631,-0.13408792,0.92908969,-0.52809785,0.70200601,-0.18245814,0.67375126,-0.52675660,0.33486621,-0.09857439,0.16155203,-0.05142127,1.97762943,-1.06933583
-5.98799400,4.79616152,-2.15804073,0.06466918,-0.02355928,0.44775081,-0.14053708,0.93877553,-0.51356458,0.71759524,-0.18831447,0.67748999,-0.54169964,0.34084246,-0.10530765,0.16386058,-0.05361224,1.99937866,-1.08902927
-5.98199100,4.84101912,-2.22267476,0.06483080,-0.02567075,0.45599695,-0.14827514,0.94519724,-0.50487777,0.72985872,-0.19598468,0.67788262,-0.56093538,0.34489465,-0.11305066,0.16520412,-0.05628260,2.01059368,-1.11921900
-5.97598799,4.86107144,-2.30654710,0.06458412,-0.02795297,0.46209016,-0.15721296,0.94836719,-0.50164572,0.73869765,-0.20530780,0.67497642,-0.58402557,0.34697918,-0.12172604,0.16556398,-0.05938420,2.01117225,-1.15892441
-5.96998499,4.85651919,-2.40745943,0.06392939,-0.03037275,0.46600650,-0.16724478,0.94843732,-0.50340211,0.74409514,-0.21609954,0.66891637,-0.61043343,0.34709755,-0.13124284,0.16494292,-0.06286134,2.00129494,-1.20700196
-5.96398199,4.82817386,-2.52295589,0.06287582,-0.03289475,0.46777130,-0.17825016,0.94568769,-0.50961940,0.74611292,-0.22815571,0.65993647,-0.63953693,0.34529580,-0.14149816,0.16336452,-0.06665179,1.98141047,-1.26216997
-5.95797899,4.77740813,-2.65037701,0.06144120,-0.03548176,0.46745608,-0.19009629,0.94051057,-0.51972387,0.74488522,-0.24125625,0.64834792,-0.67064493,0.34166248,-0.15237919,0.16087191,-0.07068804,1.95221192,-1.32303803
-5.95197599,4.70608780,-2.78692016,0.05965112,-0.03809520,0.46517389,-0.20264063,0.93339091,-0.53311170,0.74061026,-0.25516985,0.63452466,-0.70301595,0.33632511,-0.16376558,0.15752575,-0.07489865,1.91460491,-1.38813997
-5.94597299,4.61648861,-2.92970449,0.05753807,-0.04069569,0.46107342,-0.21573367,0.92488420,-0.54916553,0.73353959,-0.26965882,0.61888710,-0.73587865,0.32944547,-0.17553195,0.15340179,-0.07920979,1.86966932,-1.45596940
-5.93996998,4.51120171,-3.07583807,0.05514024,-0.04324382,0.45533207,-0.22922177,0.91559261,-0.56727099,0.72396611,-0.28448413,0.60188473,-0.76845356,0.32121376,-0.18755066,0.14858795,-0.08354686,1.81861613,-1.52501668
