energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,9.78388585,2.77544177,6.96573845,0.02257634,0.54088329,0.17889134,0.05804072,1.36284740
-5.99399700,9.81197819,2.79690443,6.98102075,0.02251456,0.52794199,0.17779115,0.05939911,1.37768101
-5.98799400,9.84415773,2.81223799,7.00226545,0.02247167,0.51452157,0.17706764,0.06095011,1.39289867
-5.98199100,9.88198685,2.82169220,7.03073544,0.02245721,0.50071773,0.17676106,0.06269871,1.40864681
-5.97598799,9.92707975,2.82564821,7.06767482,0.02248041,0.48663765,0.17690718,0.06465191,1.42508657
-5.96998499,9.98103349,2.82460039,7.11425863,0.02254980,0.47239756,0.17753560,0.06681817,1.44238356
-5.96398199,10.04535445,2.81913334,7.17154135,0.02267297,0.45811992,0.17866818,0.06920675,1.46069664
-5.95797899,10.12138355,2.80989515,7.24040635,0.02285626,0.44393026,0.18031763,0.07182681,1.48016600
-5.95197599,10.21022391,2.79756810,7.32151886,0.02310447,0.42995389,0.18248638,0.07468636,1.50090150
-5.94597299,10.31267499,2.78283836,7.41528497,0.02342073,0.41631248,0.18516573,0.07779119,1.52297176
-5.93996998,10.42917687,2.76636630,7.52181930,0.02380633,0.40312069,0.18833539,0.08114368,1.54639472
-5.93396698,10.55976840,2.74875877,7.64092336,0.02426061,0.39048306,0.19196341,0.08474166,1.57113042
-5.92796398,10.70406227,2.73054516,7.77207672,0.02478105,0.37849114,0.19600658,0.08857741,1.59707634
-5.92196098,10.86123933,2.71215833,7.91444209,0.02536323,0.36722113,0.20041122,0.09263674,1.62406593
-5.91595798,11.03006361,2.69392148,8.06688520,0.02600110,0.35673205,0.20511447,0.09689832,1.65187041
-5.90995498,11.20891843,2.67604190,8.22800920,0.02668707,0.34706457,0.21004585,0.10133329,1.68020401
-5.90395198,11.39586280,2.65861160,8.39620302,0.02741242,0.33824048,0.21512925,0.10590515,1.70873250
-5.89794897,11.58870626,2.64161512,8.56970170,0.02816750,0.33026302,0.22028506,0.11057002,1.73708465
-5.89194597,11.78509906,2.62494376,8.74665664,0.02894220,0.32311777,0.22543260,0.11527719,1.76486626
-5.88594297,11.98263373,2.60841566,8.92521250,0.02972627,0.31677434,0.23049244,0.11997008,1.79167598
-5.87993997,12.17895322,2.59180031,9.10358722,0.03050972,0.31118865,0.23538886,0.12458749,1.81712223
-5.87393697,12.37186036,2.57484636,9.28015136,0.03128322,0.30630571,0.24005207,0.12906505,1.84084047
-5.86793397,12.55942295,2.55731095,9.45350257,0.03203842,0.30206284,0.24442024,0.13333705,1.86250982
-5.86193097,12.74006903,2.53898902,9.62253120,0.03276828,0.29839312,0.24844131,0.13733824,1.88186838
-5.85592796,12.91266711,2.51974099,9.78647353,0.03346728,0.29522898,0.25207435,0.14100584,1.89872629
-5.84992496,13.07658675,2.49951717,9.94494912,0.03413164,0.29250573,0.25529058,0.14428147,1.91297609
-5.84392196,13.23173569,2.47837772,10.09797991,0.03475938,0.29016496,0.25807398,0.14711301,1.92459967
-5.83791896,13.37857107,2.45650686,10.24598932,0.03535039,0.28815750,0.26042138,0.14945623,1.93367155
-5.83191596,13.51808309,2.43422071,10.38978046,0.03590634,0.28644603,0.26234226,0.15127625,1.94035826
-5.82591296,13.65175100,2.41196804,10.53049368,0.03643057,0.28500699,0.26385795,0.15254861,1.94491374
-5.81990995,13.78147265,2.39032386,10.66954456,0.03692785,0.28383185,0.26500062,0.15325998,1.94767105
-5.81390695,13.90946986,2.36997600,10.80854460,0.03740415,0.28292763,0.26581179,0.15340852,1.94903048
-5.80790395,14.03817325,2.35170491,10.94920748,0.03786626,0.28231656,0.26634059,0.15300374,1.94944469
-5.80190095,14.17009125,2.33635761,11.09324493,0.03832146,0.28203491,0.26664181,0.15206601,1.94940128
-5.79589795,14.30766842,2.32481651,11.24225635,0.03877708,0.28213104,0.26677367,0.15062567,1.94940353
-5.78989495,14.45313947,2.31796440,11.39761733,0.03924007,0.28266264,0.26679557,0.14872172,1.94994997
-5.78389195,14.60838516,2.31664679,11.56037209,0.03971659,0.28369328,0.26676569,0.14640036,1.95151352
-5.77788894,14.77479671,2.32163309,11.73113495,0.04021155,0.28528837,0.26673868,0.14371314,1.95452111
-5.77188594,14.95315517,2.33357817,11.91000589,0.04072827,0.28751076,0.26676338,0.14071510,1.95933427
-5.76588294,15.14353152,2.35298571,12.09650460,0.04126805,0.29041597,0.26688077,0.13746276,1.96623185
-5.75987994,15.34521303,2.38017516,12.28952702,0.04182996,0.29404752,0.26712213,0.13401222,1.97539513
-5.75387694,15.55665996,2.41525353,12.48732726,0.04241055,0.29843229,0.26750750,0.13041726,1.98689630
-5.74787394,15.77549605,2.45809358,12.68752701,0.04300378,0.30357644,0.26804464,0.12672774,2.00069071
-5.74187094,15.99853438,2.50831958,12.88715325,0.04360094,0.30946181,0.26872833,0.12298816,2.01661329
-5.73586793,16.22183923,2.56530170,13.08270379,0.04419076,0.31604330,0.26954033,0.11923661,2.03437944
-5.72986493,16.44082246,2.62815967,13.27023906,0.04475956,0.32324720,0.27044975,0.11550398,2.05359064
-5.72386193,16.65037188,2.69577613,13.44549699,0.04529161,0.33097078,0.27141412,0.11181357,2.07374456
-5.71785893,16.84500709,2.76681977,13.60402712,0.04576947,0.33908311,0.27238097,0.10818107,2.09424952
-5.71185593,17.01905723,2.83977761,13.74133851,0.04617455,0.34742724,0.27328992,0.10461488,2.11444288
-5.70585293,17.16685358,2.91299580,13.85305568,0.04648766,0.35582365,0.27407524,0.10111675,2.13361274
-5.69984992,17.28292946,2.98472746,13.93507600,0.04668969,0.36407495,0.27466881,0.09768266,2.15102220
-5.69384692,17.36221890,3.05318592,13.98372187,0.04676227,0.37197156,0.27500318,0.09430395,2.16593513
-5.68784392,17.40024578,3.11660142,13.99588108,0.04668849,0.37929822,0.27501487,0.09096858,2.17764260
-5.68184092,17.39329507,3.17327875,13.96912919,0.04645355,0.38584108,0.27464745,0.08766247,2.18548874
-5.67583792,17.33855896,3.22165358,13.90182859,0.04604538,0.39139490,0.27385444,0.08437085,2.18889497
-5.66983492,17.23425114,3.26034493,13.79319995,0.04545520,0.39577023,0.27260174,0.08107952,2.18738153
-5.66383192,17.07968454,3.28820138,13.64336296,0.04467792,0.39880004,0.27086952,0.07777604,2.18058531
-5.65782891,16.87530915,3.30433890,13.45334494,0.04371247,0.40034566,0.26865340,0.07445071,2.16827333
-5.65182591,16.62270846,3.30816868,13.22505707,0.04256192,0.40030157,0.26596483,0.07109735,2.15035107
-5.64582291,16.32455515,3.29941340,12.96123980,0.04123354,0.39859896,0.26283059,0.06771381,2.12686537
-5.63981991,15.98452847,3.27811150,12.66538029,0.03973859,0.39520778,0.25929158,0.06430230,2.09800196
-5.63381691,15.60719732,3.24460926,12.34160575,0.03809205,0.39013731,0.25540064,0.06086943,2.06407748
-5.62781391,15.19787478,3.19954103,11.99455787,0.03631223,0.38343523,0.25121985,0.05742598,2.02552673
-5.62181091,14.76245079,3.14379906,11.62925386,0.03442016,0.37518513,0.24681720,0.05398657,1.98288562
-5.61580790,14.30721050,3.07849417,11.25094014,0.03243904,0.36550283,0.24226292,0.05056904,1.93677078
-5.60980490,13.83864614,3.00490958,10.86494457,0.03039353,0.35453160,0.23762565,0.04719385,1.88785684
-5.60380190,13.36327003,2.92445023,10.47653306,0.02830904,0.34243656,0.23296879,0.04388323,1.83685237
-5.59779890,12.88743620,2.83858985,10.09077553,0.02621107,0.32939859,0.22834695,0.04066051,1.78447577
-5.59179590,12.41717672,2.74881870,9.71242555,0.02412455,0.31560796,0.22380315,0.03754929,1.73143213
-5.58579290,11.95805832,2.65659393,9.34581707,0.02207323,0.30125819,0.21936649,0.03457274,1.67839192
-5.57978989,11.51506318,2.56329501,8.99478054,0.02007919,0.28654014,0.21505079,0.03175305,1.62597266
-5.57378689,11.09249648,2.47018578,8.66257964,0.01816246,0.27163675,0.21085409,0.02911091,1.57472394
-5.56778389,10.69392206,2.37838441,8.35186903,0.01634065,0.25671860,0.20675904,0.02666519,1.52511646
-5.56178089,10.32212599,2.28884212,8.06467242,0.01462885,0.24194031,0.20273431,0.02443273,1.47753521
-5.55577789,9.97910679,2.20233092,7.80237962,0.01303951,0.22743796,0.19873674,0.02242829,1.43227685
-5.54977489,9.66609016,2.11944009,7.56576067,0.01158247,0.21332750,0.19471421,0.02066462,1.38955116
-5.54377189,9.38356499,2.04058078,7.35499474,0.01026509,0.19970406,0.19060902,0.01915263,1.34948601
-5.53776888,9.13133732,1.96599776,7.16971129,0.00909242,0.18664219,0.18636163,0.01790166,1.31213554
-5.53176588,8.90859845,1.89578690,7.00904076,0.00806747,0.17419679,0.18191441,0.01691979,1.27749065
-5.52576288,8.71400317,1.82991707,6.87167261,0.00719144,0.16240462,0.17721533,0.01621413,1.24549129
-5.51975988,8.54575464,1.76825478,6.75591806,0.00646405,0.15128632,0.17222128,0.01579114,1.21603960
-5.51375688,8.40169237,1.71059002,6.65977573,0.00588380,0.14084863,0.16690082,0.01565686,1.18901328
-5.50775388,8.27938031,1.65666197,6.58099838,0.00544820,0.13108682,0.16123639,0.01581710,1.16427832
-5.50175088,8.17619249,1.60618323,6.51715920,0.00515407,0.12198707,0.15522559,0.01627747,1.14170059
-5.49574787,8.08939414,1.55886146,6.46571655,0.00499765,0.11352881,0.14888175,0.01704335,1.12115568
-5.48974487,8.01621655,1.51441776,6.42407626,0.00497477,0.10568679,0.14223361,0.01811969,1.10253653
-5.48374187,7.95392471,1.47260111,6.38965050,0.00508090,0.09843292,0.13532426,0.01951068,1.08575863
-5.47773887,7.89987666,1.43319872,6.35991276,0.00531123,0.09173786,0.12820935,0.02121935,1.07076271
-5.47173587,7.85157424,1.39604211,6.33244821,0.00566056,0.08557226,0.12095477,0.02324703,1.05751478
