energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.02412626,-2.02412629,0.03679201,-0.03679201,0.42948617,-0.42948617,0.65007051,-0.65007051,0.48396247,-0.48396248,0.65881308,-0.65881309,0.00000000,-0.00000000
-5.99399700,2.13755047,-2.13755051,0.03857668,-0.03857668,0.44573842,-0.44573843,0.68891821,-0.68891822,0.50519039,-0.50519040,0.71054019,-0.71054021,0.00000000,-0.00000000
-5.98799400,2.25036801,-2.25036805,0.04022672,-0.04022672,0.46085739,-0.46085740,0.72796725,-0.72796726,0.52488326,-0.52488326,0.76414048,-0.76414050,0.00000000,-0.00000000
-5.98199100,2.36160574,-2.36160577,0.04172595,-0.04172595,0.47462739,-0.47462739,0.76681313,-0.76681314,0.54280859,-0.54280860,0.81931128,-0.81931130,0.00000000,-0.00000000
-5.97598799,2.47033476,-2.47033480,0.04306185,-0.04306185,0.48685713,-0.48685714,0.80504586,-0.80504586,0.55877204,-0.55877205,0.87573054,-0.87573056,0.00000000,-0.00000000
-5.96998499,2.57569412,-2.57569416,0.04422594,-0.04422594,0.49738588,-0.49738588,0.84225934,-0.84225935,0.57262368,-0.57262368,0.93306231,-0.93306233,0.00000000,-0.00000000
-5.96398199,2.67691088,-2.67691092,0.04521397,-0.04521397,0.50608859,-0.50608859,0.87806090,-0.87806091,0.58426268,-0.58426269,0.99096174,-0.99096177,0.00000000,-0.00000000
-5.95797899,2.77331569,-2.77331573,0.04602593,-0.04602593,0.51287981,-0.51287981,0.91208047,-0.91208048,0.59364007,-0.59364007,1.04907945,-1.04907947,0.00000000,-0.00000000
-5.95197599,2.86435278,-2.86435282,0.04666587,-0.04666587,0.51771618,-0.51771618,0.94397921,-0.94397922,0.60075927,-0.60075928,1.10706476,-1.10706478,0.00000000,-0.00000000
-5.94597299,2.94958385,-2.94958388,0.04714153,-0.04714153,0.52059729,-0.52059729,0.97345699,-0.97345700,0.60567459,-0.60567460,1.16456781,-1.16456784,0.00000000,-0.00000000
-5.93996998,3.02868569,-3.02868572,0.04746380,-0.04746380,0.52156490,-0.52156489,1.00025848,-1.00025849,0.60848748,-0.60848749,1.22124040,-1.22124043,0.00000000,-0.00000000
-5.93396698,3.10144170,-3.10144173,0.04764608,-0.04764608,0.52070059,-0.52070059,1.02417756,-1.02417757,0.60934091,-0.60934091,1.27673556,-1.27673558,0.00000000,-0.00000000
-5.92796398,3.16772793,-3.16772797,0.04770351,-0.04770351,0.51812189,-0.51812189,1.04505983,-1.04505983,0.60841197,-0.60841197,1.33070616,-1.33070619,0.00000000,-0.00000000
-5.92196098,3.22749463,-3.22749466,0.04765210,-0.04765210,0.51397700,-0.51397700,1.06280317,-1.06280317,0.60590327,-0.60590327,1.38280276,-1.38280279,0.00000000,-0.00000000
