energy_ev,total_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.14794177,1.57987525,0.47387807,1.63278591,2.00067068,0.01219678,0.66403032,0.03284140,2.09579126
-5.99399700,5.38115054,1.63319756,0.48802013,1.69873452,2.09732880,0.01324581,0.68801866,0.03456592,2.19973884
-5.98799400,5.62780891,1.69211801,0.50387744,1.76894561,2.19878788,0.01439562,0.71295291,0.03642609,2.30961215
-5.98199100,5.88527055,1.75585017,0.52121061,1.84280952,2.30401748,0.01563366,0.73856316,0.03839699,2.42423705
-5.97598799,6.15050834,1.82354038,0.53975819,1.91955603,2.41184886,0.01694498,0.76453454,0.04044953,2.54228590
-5.96998499,6.42016138,1.89427802,0.55924066,1.99826535,2.52099309,0.01831242,0.79051317,0.04255112,2.66229607
-5.96398199,6.69059585,1.96710666,0.57936487,2.07788546,2.63006426,0.01971689,0.81611401,0.04466633,2.78269391
-5.95797899,6.95797899,2.04103627,0.59982873,2.15725537,2.73760750,0.02113768,0.84093043,0.04675774,2.90182385
-5.95197599,7.21836469,2.11505689,0.62032642,2.23513382,2.84213120,0.02255288,0.86454511,0.04878698,3.01798236
-5.94597299,7.46778874,2.18815392,0.64055389,2.31023253,2.94214281,0.02393990,0.88654192,0.05071568,3.12945597
-5.93996998,7.70237091,2.25932506,0.66021476,2.38125290,3.03618690,0.02527596,0.90651860,0.05250668,3.23456246
-5.93396698,7.91842080,2.32759896,0.67902650,2.44692503,3.12288464,0.02653877,0.92409938,0.05412503,3.33169398
-5.92796398,8.11254382,2.39205537,0.69672676,2.50604755,3.20097301,0.02770708,0.93894747,0.05553914,3.41936080
-5.92196098,8.28174354,2.45184623,0.71307978,2.55752680,3.26934260,0.02876135,0.95077664,0.05672176,3.49623408
-5.91595798,8.42351649,2.50621732,0.72788255,2.60041385,3.32707246,0.02968431,0.95936157,0.05765088,3.56118617
-5.90995498,8.53593557,2.55452953,0.74097073,2.63393794,3.37346052,0.03046158,0.96454642,0.05831042,3.61332668
-5.90395198,8.61771858,2.59627896,0.75222386,2.65753486,3.40804858,0.03108214,0.96625144,0.05869086,3.65203305
-5.89794897,8.66827881,2.63111476,0.76156982,2.67086911,3.43064042,0.03153873,0.96447701,0.05878950,3.67697396
-5.89194597,8.68775511,2.65885376,0.76898812,2.67384879,3.44131256,0.03182816,0.95930517,0.05861063,3.68812464
-5.88594297,8.67701968,2.67949076,0.77451200,2.66663262,3.44041663,0.03195146,0.95089844,0.05816539,3.68577307
-5.87993997,8.63766273,2.69320376,0.77822894,2.64962841,3.42857340,0.03191394,0.93949580,0.05747139,3.67051650
-5.87393697,8.57195366,2.70035321,0.78027963,2.62348316,3.40665821,0.03172505,0.92540616,0.05655219,3.64324820
-5.86793397,8.48277985,2.70147492,0.78085511,2.58906475,3.37577815,0.03139816,0.90899933,0.05543646,3.60513439
-5.86193097,8.37356446,2.69726639,0.78019229,2.54743599,3.33724161,0.03095014,0.89069499,0.05415709,3.55758214
-5.85592796,8.24816594,2.68856663,0.77856769,2.49982180,3.29252104,0.03040090,0.87094989,0.05275008,3.50219885
-5.84992496,8.11076232,2.67633005,0.77628962,2.44757069,3.24321004,0.02977272,0.85024384,0.05125342,3.44074486
-5.84392196,7.96572430,2.66159512,0.77368907,2.39211194,3.19097609,0.02908958,0.82906508,0.04970582,3.37508047
-5.83791896,7.81748133,2.64544897,0.77110942,2.33491004,3.13751059,0.02837642,0.80789547,0.04814554,3.30710928
-5.83191596,7.67038554,2.62898930,0.76889547,2.27741820,3.08447764,0.02765833,0.78719608,0.04660921,3.23871980
-5.82591296,7.52857825,2.61328523,0.76738206,2.22103243,3.03346360,0.02695979,0.76739381,0.04513075,3.17172733
-5.81990995,7.39586382,2.59933873,0.76688273,2.16704819,2.98592884,0.02630389,0.74886948,0.04374040,3.10781833
-5.81390695,7.27559564,2.58804840,0.76767894,2.11662104,2.94316378,0.02571167,0.73194772,0.04246389,3.04849917
-5.80790395,7.17057824,2.58017725,0.77001007,2.07073283,2.90625050,0.02520146,0.71688927,0.04132184,2.99505132
-5.80190095,7.08298922,2.57632597,0.77406487,2.03016466,2.87603165,0.02478838,0.70388563,0.04032931,2.94849456
-5.79589795,7.01432386,2.57691294,0.77997442,1.99547755,2.85308756,0.02448398,0.69305650,0.03949552,2.90955972
-5.78989495,6.96536438,2.58216174,0.78780721,1.96700148,2.83772283,0.02429592,0.68444976,0.03882387,2.87867182
-5.78389195,6.93617484,2.59209691,0.79756621,1.94483299,2.82996254,0.02422788,0.67804409,0.03831203,2.85594448
-5.77788894,6.92612162,2.60654783,0.80918834,1.92884143,2.82955862,0.02427956,0.67375400,0.03795235,2.84118545
-5.77188594,6.93391836,2.62516040,0.82254615,1.91868318,2.83600584,0.02444686,0.67143684,0.03773231,2.83391327
-5.76588294,6.95769334,2.64741590,0.83745179,1.91382326,2.84856700,0.02472212,0.67090160,0.03763520,2.83338410
-5.75987994,6.99507594,2.67265580,0.85366290,1.91356314,2.86630602,0.02509453,0.67191883,0.03764086,2.83862754
-5.75387694,7.04329855,2.70011111,0.87089038,1.91707347,2.88812773,0.02555063,0.67423139,0.03772653,2.84848993
-5.74787394,7.09930931,2.72893482,0.88880749,1.92343014,2.91282240,0.02607485,0.67756539,0.03786770,2.86168310
-5.74187094,7.15989063,2.75823555,0.90706004,1.93165222,2.93911327,0.02665013,0.68164085,0.03803907,2.87683652
-5.73586793,7.22177859,2.78711083,0.92527717,1.94073992,2.96570489,0.02725858,0.68618168,0.03821537,2.89255060
-5.72986493,7.28177806,2.81467844,0.94308229,1.94971124,2.99133014,0.02788207,0.69092447,0.03837221,2.90744882
-5.72386193,7.33686891,2.84010436,0.96010376,1.95763563,3.01479406,0.02850289,0.69562589,0.03848685,2.92022661
-5.71785893,7.38429931,2.86262631,0.97598497,1.96366356,3.03501248,0.02910429,0.70006838,0.03853882,2.92969499
-5.71185593,7.42166267,2.88157214,0.99039335,1.96705108,3.05104418,0.02967100,0.70406410,0.03851045,2.93481741
-5.70585293,7.44695603,2.89637250,1.00302824,1.96717840,3.06211521,0.03018965,0.70745699,0.03838733,2.93473850
-5.69984992,7.45861840,2.90656810,1.01362718,1.96356253,3.06763476,0.03064907,0.71012325,0.03815849,2.92880403
-5.69384692,7.45554898,2.91181151,1.02197081,1.95586357,3.06720230,0.03104056,0.71197014,0.03781661,2.91657167
-5.68784392,7.43710581,2.91186444,1.02788596,1.94388517,3.06060628,0.03135797,0.71293361,0.03735795,2.89781277
-5.68184092,7.40308680,2.90659121,1.03124743,1.92756961,3.04781482,0.03159773,0.71297491,0.03678226,2.87250574
-5.67583792,7.35369549,2.89594936,1.03197815,1.90698818,3.02895973,0.03175883,0.71207665,0.03609255,2.84082196
