energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
2.47623812,2.02792952,0.28617268,0.25492650,0.76525639,0.46705335,0.12923173,0.27440795,0.00000000
2.48224112,2.07507760,0.27493065,0.25137302,0.76795399,0.47474892,0.14302598,0.28743522,0.00000000
2.48824412,2.13148482,0.26302086,0.24827363,0.77240595,0.48487812,0.15864758,0.30206758,0.00000000
2.49424712,2.19789622,0.25056454,0.24579438,0.77883622,0.49766271,0.17608821,0.31837237,0.00000000
2.50025013,2.27487882,0.23768966,0.24409353,0.78742586,0.51327916,0.19532500,0.33639216,0.00000000
2.50625313,2.36277858,0.22452875,0.24331791,0.79830583,0.53184697,0.21631481,0.35613646,0.00000000
2.51225613,2.46168242,0.21121661,0.24359947,0.81155110,0.55341827,0.23898878,0.37757468,0.00000000
2.51825913,2.57138732,0.19788796,0.24505251,0.82717647,0.57796929,0.26324761,0.40063062,0.00000000
2.52426213,2.69137859,0.18467505,0.24777136,0.84513438,0.60539420,0.28895776,0.42517915,0.00000000
2.53026513,2.82081909,0.17170532,0.25182901,0.86531496,0.63550183,0.31594892,0.45104496,0.00000000
2.53626813,2.95855086,0.15909925,0.25727651,0.88754849,0.66801562,0.34401305,0.47800399,0.00000000
2.54227114,3.10311008,0.14696836,0.26414334,0.91161041,0.70257699,0.37290510,0.50578728,0.00000000
2.54827414,3.25275580,0.13541353,0.27243878,0.93722878,0.73875241,0.40234574,0.53408757,0.00000000
2.55427714,3.40551220,0.12452361,0.28215419,0.96409403,0.77604389,0.43202604,0.56256813,0.00000000
2.56028014,3.55922348,0.11437445,0.29326621,0.99187089,0.81390288,0.46161419,0.59087393,0.00000000
2.56628314,3.71161979,0.10502832,0.30574074,1.02021185,0.85174700,0.49076406,0.61864443,0.00000000
2.57228614,3.86039195,0.09653371,0.31953750,1.04877196,0.88897924,0.51912540,0.64552775,0.00000000
2.57828914,4.00327234,0.08892558,0.33461510,1.07722414,0.92500870,0.54635547,0.67119545,0.00000000
