energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,5.14814810,0.09049643,0.02967226,0.37903420,0.19341997,1.54049090,4.54777337,0.41066830,0.00000000
-5.99399700,5.19531863,0.08808528,0.02875725,0.36660015,0.19076100,1.56101980,4.61448233,0.40230375,0.00000000
-5.98799400,5.24622528,0.08559047,0.02791186,0.35452810,0.18812912,1.58309422,4.68379494,0.39461278,0.00000000
-5.98199100,5.29990591,0.08306169,0.02715525,0.34302057,0.18556442,1.60633628,4.75453667,0.38760292,0.00000000
-5.97598799,5.35515686,0.08054434,0.02650332,0.33225201,0.18309629,1.63030197,4.82534579,0.38125054,0.00000000
-5.96998499,5.41056727,0.07807809,0.02596843,0.32236462,0.18074245,1.65449285,4.89471098,0.37550306,0.00000000
-5.96398199,5.46456329,0.07569563,0.02555918,0.31346539,0.17850853,1.67836999,4.96101657,0.37028238,0.00000000
-5.95797899,5.51546029,0.07342189,0.02528031,0.30562447,0.17638830,1.70136960,5.02259342,0.36548929,0.00000000
-5.95197599,5.56152104,0.07127352,0.02513281,0.29887496,0.17436442,1.72291975,5.07777378,0.36100884,0.00000000
-5.94597299,5.60101754,0.06925890,0.02511403,0.29321391,0.17240974,1.74245771,5.12494761,0.35671606,0.00000000
-5.93996998,5.63229409,0.06737839,0.02521797,0.28860457,0.17048906,1.75944722,5.16261863,0.35248213,0.00000000
-5.93396698,5.65382913,0.06562500,0.02543562,0.28497967,0.16856126,1.77339518,5.18945765,0.34818033,0.00000000
-5.92796398,5.66429341,0.06398535,0.02575537,0.28224556,0.16658165,1.78386717,5.20435149,0.34369182,0.00000000
-5.92196098,5.66260248,0.06244086,0.02616347,0.28028702,0.16450448,1.79050137,5.20644563,0.33891074,0.00000000
-5.91595798,5.64796122,0.06096911,0.02664452,0.27897256,0.16228544,1.79302027,5.19517897,0.33374863,0.00000000
-5.90995498,5.61989897,0.05954531,0.02718198,0.27815989,0.15988402,1.79124004,5.17030959,0.32813779,0.00000000
-5.90395198,5.57829375,0.05814376,0.02775862,0.27770147,0.15726569,1.78507701,5.13193042,0.32203371,0.00000000
