energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.63630244,-3.80240498,0.02115263,-0.02183718,0.37478482,-0.33557149,1.19481728,-1.19800798,0.55307577,-0.38672324,0.37139519,-0.53390638,0.00000000,-0.00000000,0.13055596,-0.13714376,1.58591792,-1.88130243
-5.99399700,3.50579749,-3.85572078,0.02005107,-0.02105471,0.36279878,-0.35224077,1.18051238,-1.22898449,0.53138558,-0.40063533,0.36419675,-0.52908277,0.00000000,-0.00000000,0.12289133,-0.13890300,1.52874966,-1.89097976
-5.98799400,3.37404710,-3.90729533,0.01894158,-0.02041061,0.35081426,-0.36860641,1.16831857,-1.25794530,0.50942753,-0.41451485,0.35781289,-0.52517931,0.00000000,-0.00000000,0.11504070,-0.14031020,1.47095563,-1.90001127
-5.98199100,3.24340599,-3.95537488,0.01783185,-0.01990166,0.33915784,-0.38444321,1.15930385,-1.28416601,0.48756903,-0.42812579,0.35232722,-0.52195822,0.00000000,-0.00000000,0.10711365,-0.14134429,1.41344598,-1.90762421
-5.97598799,3.11640105,-3.99815854,0.01673130,-0.01952090,0.32817443,-0.39951892,1.15464223,-1.30694462,0.46620059,-0.44121700,0.34786431,-0.51914816,0.00000000,-0.00000000,0.09921725,-0.14198650,1.35721014,-1.91302624
-5.96998499,2.99568143,-4.03385864,0.01565082,-0.01925802,0.31822069,-0.41359974,1.15559589,-1.32562739,0.44572851,-0.45352894,0.34458851,-0.51645825,0.00000000,-0.00000000,0.09145374,-0.14222073,1.30329706,-1.91543559
-5.96398199,2.88396183,-4.06076181,0.01460243,-0.01909986,0.30965763,-0.42645637,1.16349134,-1.33963437,0.42656668,-0.46480089,0.34270036,-0.51359233,0.00000000,-0.00000000,0.08391852,-0.14203386,1.25279244,-1.91411079
-5.95797899,2.78396035,-4.07728903,0.01359899,-0.01903089,0.30284254,-0.43787051,1.17968964,-1.34848375,0.40912770,-0.47477870,0.34243064,-0.51026320,0.00000000,-0.00000000,0.07669842,-0.14141614,1.20679357,-1.90837923
-5.95197599,2.69833254,-4.08205273,0.01265384,-0.01903384,0.29812035,-0.44764159,1.20555105,-1.35181436,0.39381354,-0.48322271,0.34403236,-0.50620600,0.00000000,-0.00000000,0.06987041,-0.14036144,1.16638245,-1.89766341
-5.94597299,2.62960313,-4.07390935,0.01178047,-0.01909025,0.29581466,-0.45559365,1.24239469,-1.34940531,0.38100603,-0.48991555,0.34777083,-0.50119051,0.00000000,-0.00000000,0.06350059,-0.13886757,1.13259779,-1.88150433
-5.93996998,2.58009756,-4.05200565,0.01099225,-0.01918107,0.29621873,-0.46158194,1.29145425,-1.34119236,0.37105753,-0.49466978,0.35391245,-0.49503173,0.00000000,-0.00000000,0.05764365,-0.13693657,1.10640681,-1.85958115
-5.93396698,2.55187496,-4.01581756,0.01030212,-0.01928730,0.29958652,-0.46549927,1.35383093,-1.32728035,0.36428197,-0.49733480,0.36271232,-0.48759862,0.00000000,-0.00000000,0.05234259,-0.13457496,1.08867743,-1.83172661
-5.92796398,2.54666468,-3.96518030,0.00972240,-0.01939056,0.30612423,-0.46728159,1.43044516,-1.30795132,0.36094661,-0.49780307,0.37440158,-0.47882058,0.00000000,-0.00000000,0.04762882,-0.13179396,1.08015191,-1.79793801
-5.92196098,2.56580843,-3.90030898,0.00926455,-0.01947361,0.31598250,-0.46691287,1.52198893,-1.28366822,0.36126474,-0.49601527,0.38917470,-0.46869173,0.00000000,-0.00000000,0.04352249,-0.12860973,1.08142255,-1.75838322
-5.91595798,2.61020991,-3.82180903,0.00893905,-0.01952094,0.32924961,-0.46442876,1.62888065,-1.25507400,0.36538964,-0.49196421,0.40717747,-0.45727277,0.00000000,-0.00000000,0.04003308,-0.12504342,1.09291034,-1.71340193
-5.90995498,2.68029390,-3.73067627,0.00875526,-0.01951917,0.34594598,-0.45991912,1.75122465,-1.22298625,0.37340986,-0.48569742,0.42849614,-0.44469064,0.00000000,-0.00000000,0.03716007,-0.12112128,1.11484745,-1.66350208
-5.90395198,2.77597660,-3.62828648,0.00872130,-0.01945746,0.36602014,-0.45352912,1.88877744,-1.18838749,0.38534627,-0.47731816,0.45314831,-0.43113591,0.00000000,-0.00000000,0.03489384,-0.11687458,1.14726402,-1.60935167
-5.89794897,2.89664866,-3.51637503,0.00884403,-0.01932786,0.38934663,-0.44545882,2.04092271,-1.15241157,0.40115069,-0.46698496,0.48107596,-0.41685833,0.00000000,-0.00000000,0.03321656,-0.11233949,1.18998007,-1.55176637
-5.89194597,3.04117220,-3.39700685,0.00912892,-0.01912549,0.41572580,-0.43596123,2.20665708,-1.11632639,0.42070648,-0.45490959,0.51214103,-0.40216063,0.00000000,-0.00000000,0.03210310,-0.10755681,1.24260291,-1.49169339
-5.88594297,3.20789261,-3.27253782,0.00958005,-0.01884874,0.44488585,-0.42533884,2.38458782,-1.08151343,0.44383102,-0.44135353,0.54612381,-0.38739083,0.00000000,-0.00000000,0.03152202,-0.10257155,1.30453038,-1.43019203
-5.87993997,3.39466541,-3.14556850,0.01020003,-0.01849928,0.47648708,-0.41393853,2.57294399,-1.04944449,0.47027991,-0.42662300,0.58272431,-0.37293352,0.00000000,-0.00000000,0.03143643,-0.09743243,1.37496012,-1.36841154
-5.87393697,3.59889808,-3.01889129,0.01098996,-0.01808205,0.51012844,-0.40214521,2.76960131,-1.02165606,0.49975307,-0.41106280,0.62156667,-0.35920023,0.00000000,-0.00000000,0.03180489,-0.09219123,1.45290465,-1.30756700
-5.86793397,3.81760603,-2.89543252,0.01194939,-0.01760510,0.54535617,-0.39037406,2.97212095,-0.99972166,0.53190230,-0.39504901,0.66220640,-0.34661934,0.00000000,-0.00000000,0.03258220,-0.08690200,1.53721209,-1.24891363
-5.86193097,4.04748126,-2.77819055,0.01307624,-0.01707939,0.58167450,-0.37906170,3.17780143,-0.98522250,0.56634022,-0.37898088,0.70414035,-0.33562568,0.00000000,-0.00000000,0.03372024,-0.08162025,1.62659194,-1.19372033
-5.85592796,4.28497171,-2.67017148,0.01436680,-0.01651848,0.61855793,-0.36865646,3.38374235,-0.97971678,0.60265025,-0.36327200,0.74681900,-0.32665017,0.00000000,-0.00000000,0.03516864,-0.07640195,1.71964517,-1.14324288
-5.84992496,4.52636887,-2.57432364,0.01581563,-0.01593818,0.65546483,-0.35960789,3.58691812,-0.98470784,0.64039712,-0.34834111,0.78966048,-0.32010959,0.00000000,-0.00000000,0.03687553,-0.07130260,1.81489760,-1.09869741
-5.84392196,4.76790047,-2.49347221,0.01741558,-0.01535611,0.69185185,-0.35235588,3.78425888,-1.00161152,0.67913776,-0.33460270,0.83206596,-0.31639680,0.00000000,-0.00000000,0.03878821,-0.06637617,1.91083553,-1.06123456
