energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.65033292,0.95925646,2.58433107,0.01886293,0.27664705,1.88808919,0.00000000,0.97184790,0.38971233
-5.99399700,4.64780290,0.97173547,2.54786428,0.01879950,0.28344676,1.90000569,0.00000000,0.99485690,0.39781384
-5.98799400,4.63680808,0.98098568,2.50618917,0.01878144,0.28986675,1.90857578,0.00000000,1.01599916,0.40562455
-5.98199100,4.61629086,0.98661686,2.45934528,0.01879352,0.29569401,1.91310029,0.00000000,1.03475292,0.41293509
-5.97598799,4.58532698,0.98830343,2.40742843,0.01882088,0.30072589,1.91294908,0.00000000,1.05062979,0.41954150
-5.96998499,4.54315809,0.98579532,2.35059273,0.01884934,0.30477680,1.90758147,0.00000000,1.06318889,0.42525109
-5.96398199,4.48921996,0.97892655,2.28905160,0.01886564,0.30768435,1.89656397,0.00000000,1.07204970,0.42988814
-5.95797899,4.42316542,0.96762127,2.22307784,0.01885769,0.30931456,1.87958449,0.00000000,1.07690311,0.43329902
-5.95197599,4.34488111,0.95189690,2.15300271,0.01881475,0.30956598,1.85646280,0.00000000,1.07752023,0.43535674
-5.94597299,4.25449752,0.93186434,2.07921379,0.01872759,0.30837273,1.82715685,0.00000000,1.07375883,0.43596460
-5.93996998,4.15239178,0.90772520,2.00215167,0.01858855,0.30570604,1.79176464,0.00000000,1.06556703,0.43505893
-5.93396698,4.03918299,0.87976616,1.92230547,0.01839167,0.30157458,1.75052189,0.00000000,1.05298422,0.43261079
-5.92796398,3.91572035,0.84835077,1.84020700,0.01813270,0.29602336,1.70379531,0.00000000,1.03613927,0.42862645
-5.92196098,3.78306418,0.81390897,1.75642377,0.01780910,0.28913141,1.65207202,0.00000000,1.01524598,0.42314678
-5.91595798,3.64246060,0.77692485,1.67155085,0.01742000,0.28100829,1.59594547,0.00000000,0.99059610,0.41624552
-5.90995498,3.49531083,0.73792303,1.58620180,0.01696617,0.27178969,1.53609833,0.00000000,0.96255020,0.40802639
-5.90395198,3.34313598,0.69745439,1.50099868,0.01644990,0.26163223,1.47328317,0.00000000,0.93152677,0.39861935
-5.89794897,3.18753886,0.65608162,1.41656170,0.01587490,0.25070784,1.40830155,0.00000000,0.89798990,0.38817595
-5.89194597,3.03016402,0.61436508,1.33349850,0.01524612,0.23919780,1.34198237,0.00000000,0.86243622,0.37686420
-5.88594297,2.87265771,0.57284968,1.25239364,0.01456961,0.22728691,1.27516032,0.00000000,0.82538147,0.36486293
-5.87993997,2.71662902,0.53205301,1.17379849,0.01385232,0.21515787,1.20865509,0.00000000,0.78734726,0.35235612
-5.87393697,2.56361376,0.49245528,1.09822193,0.01310191,0.20298613,1.14325222,0.00000000,0.74884854,0.33952725
-5.86793397,2.41504234,0.45449124,1.02612218,0.01232652,0.19093547,1.07968614,0.00000000,0.71038217,0.32655405
-5.86193097,2.27221265,0.41854423,0.95790000,0.01153457,0.17915438,1.01862588,0.00000000,0.67241710,0.31360381
-5.85592796,2.13626883,0.38494257,0.89389358,0.01073453,0.16777340,0.96066406,0.00000000,0.63538632,0.30082943
-5.84992496,2.00818649,0.35395804,0.83437517,0.00993477,0.15690343,0.90630905,0.00000000,0.59968093,0.28836642
-5.84392196,1.88876467,0.32580654,0.77954962,0.00914330,0.14663502,0.85598081,0.00000000,0.56564635,0.27633086
-5.83791896,1.77862433,0.30065050,0.72955476,0.00836769,0.13703862,0.81000992,0.00000000,0.53358074,0.26481850
-5.83191596,1.67821325,0.27860298,0.68446361,0.00761484,0.12816569,0.76863996,0.00000000,0.50373549,0.25390486
-5.82591296,1.58781650,0.25973294,0.64428816,0.00689094,0.12005053,0.73203263,0.00000000,0.47631766,0.24364635
-5.81990995,1.50757174,0.24407139,0.60898467,0.00620135,0.11271268,0.70027525,0.00000000,0.45149393,0.23408229
-5.81390695,1.43748827,0.23161814,0.57845993,0.00555056,0.10615970,0.67339014,0.00000000,0.42939592,0.22523765
-5.80790395,1.37746856,0.22234856,0.55257845,0.00494216,0.10039024,0.65134516,0.00000000,0.41012623,0.21712628
-5.80190095,1.32733108,0.21622024,0.53117004,0.00437886,0.09539701,0.63406488,0.00000000,0.39376490,0.20975455
-5.79589795,1.28683308,0.21317899,0.51403743,0.00386249,0.09116970,0.62144165,0.00000000,0.38037580,0.20312496
-5.78989495,1.25569211,0.21316404,0.50096374,0.00339410,0.08769752,0.61334604,0.00000000,0.37001240,0.19723969
-5.78389195,1.23360518,0.21611222,0.49171921,0.00297400,0.08497131,0.60963608,0.00000000,0.36272259,0.19210374
-5.77788894,1.22026453,0.22196071,0.48606722,0.00260184,0.08298504,0.61016477,0.00000000,0.35855220,0.18772747
-5.77188594,1.21536933,0.23064858,0.48376913,0.00227674,0.08173665,0.61478560,0.00000000,0.35754677,0.18412850
-5.76588294,1.21863271,0.24211676,0.48458790,0.00199735,0.08122830,0.62335580,0.00000000,0.35975161,0.18133268
-5.75987994,1.22978392,0.25630657,0.48829037,0.00176193,0.08146575,0.63573711,0.00000000,0.36520984,0.17937413
-5.75387694,1.24856570,0.27315700,0.49464825,0.00156851,0.08245726,0.65179430,0.00000000,0.37395864,0.17829445
-5.74787394,1.27472695,0.29260062,0.50343777,0.00141492,0.08421177,0.67139137,0.00000000,0.38602368,0.17814082
