energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,7.37010475,0.04670530,0.86668618,0.16226042,3.14284930,3.23198564,1.18602621,0.18579801,1.39890948
-5.99399700,7.30315355,0.04707572,0.84857761,0.15533771,3.13929719,3.19621314,1.18266304,0.18487897,1.36118822
-5.98799400,7.23174118,0.04737504,0.82985619,0.14838058,3.13239448,3.15878467,1.17857375,0.18357635,1.32434518
-5.98199100,7.15624188,0.04761107,0.81072481,0.14146307,3.12226379,3.12006909,1.17377983,0.18191224,1.28837113
-5.97598799,7.07709551,0.04779327,0.79138332,0.13465532,3.10906800,3.08041266,1.16832233,0.17991570,1.25325889
-5.96998499,6.99478138,0.04793213,0.77202264,0.12802216,3.09300029,3.04012798,1.16225738,0.17762148,1.21900027
-5.96398199,6.90979015,0.04803859,0.75281919,0.12162186,3.07427281,2.99948392,1.15565084,0.17506859,1.18558335
-5.95797899,6.82259567,0.04812346,0.73393004,0.11550504,3.05310453,2.95869745,1.14857225,0.17229867,1.15299013
-5.95197599,6.73362820,0.04819677,0.71548883,0.10971386,3.02970927,2.91792770,1.14108871,0.16935426,1.12119475
-5.94597299,6.64325083,0.04826724,0.69760274,0.10428137,3.00428455,2.87727273,1.13325882,0.16627710,1.09016236
-5.93996998,6.55174057,0.04834182,0.68035073,0.09923114,2.97700197,2.83676949,1.12512731,0.16310659,1.05984861
-5.93396698,6.45927515,0.04842526,0.66378281,0.09457717,2.94799983,2.79639679,1.11672069,0.15987839,1.03019994
-5.92796398,6.36592662,0.04851986,0.64792075,0.09032406,2.91737841,2.75608148,1.10804402,0.15662326,1.00115463
-5.92196098,6.27166203,0.04862535,0.63275984,0.08646741,2.88519820,2.71570748,1.09907933,0.15336628,0.97264457
-5.91595798,6.17635134,0.04873887,0.61827181,0.08299445,2.85148123,2.67512729,1.08978559,0.15012634,0.94459761
-5.90995498,6.07978206,0.04885508,0.60440867,0.07988493,2.81621548,2.63417545,1.08010039,0.14691601,0.91694055
-5.90395198,5.98167998,0.04896648,0.59110729,0.07711217,2.77936201,2.59268329,1.06994317,0.14374174,0.88960235
-5.89794897,5.88173480,0.04906371,0.57829450,0.07464424,2.74086452,2.55049429,1.05922001,0.14060437,0.86251759
-5.89194597,5.77962916,0.04913609,0.56589256,0.07244531,2.70066072,2.50747920,1.04782952,0.13749992,0.83562988
-5.88594297,5.67506978,0.04917205,0.55382464,0.07047700,2.65869485,2.46355034,1.03566976,0.13442056,0.80889506
-5.87993997,5.56781870,0.04915981,0.54202017,0.06869980,2.61493068,2.41867433,1.02264559,0.13135573,0.78228391
-5.87393697,5.45772311,0.04908788,0.53041981,0.06707444,2.56936416,2.37288254,1.00867626,0.12829338,0.75578438
-5.86793397,5.34474212,0.04894568,0.51897982,0.06556323,2.52203501,2.32627898,0.99370269,0.12522118,0.72940299
-5.86193097,5.22896891,0.04872404,0.50767576,0.06413120,2.47303658,2.27904504,0.97769407,0.12212765,0.70316556
-5.85592796,5.11064704,0.04841563,0.49650522,0.06274721,2.42252325,2.23144096,0.96065345,0.11900326,0.67711691
-5.84992496,4.99017996,0.04801541,0.48548963,0.06138473,2.37071500,2.18380386,0.94262196,0.11584128,0.65131983
-5.84392196,4.86813292,0.04752080,0.47467498,0.06002256,2.31789864,2.13654242,0.92368132,0.11263850,0.62585318
