energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.62074998,0.00464747,0.19789096,0.52908976,1.44185139,0.01334138,0.58825385,0.52738369,0.13264733
-5.99399700,2.64133471,0.00482891,0.20050472,0.52301569,1.45862608,0.01349351,0.59362075,0.53235541,0.13218346
-5.98799400,2.66522885,0.00504537,0.20323400,0.51682219,1.47731869,0.01372899,0.59946017,0.53823978,0.13198489
-5.98199100,2.69184226,0.00530049,0.20600425,0.51056840,1.49757663,0.01404326,0.60564586,0.54494181,0.13200769
-5.97598799,2.72056801,0.00559820,0.20874134,0.50433744,1.51900660,0.01443133,0.61207277,0.55237548,0.13220919
-5.96998499,2.75081201,0.00594260,0.21137459,0.49823638,1.54119330,0.01488790,0.61866342,0.56046882,0.13254959
-5.96398199,2.78202189,0.00633781,0.21383958,0.49239493,1.56371928,0.01540751,0.62537327,0.56916791,0.13299348
-5.95797899,2.81371353,0.00678779,0.21608055,0.48696309,1.58618471,0.01598465,0.63219468,0.57843972,0.13351113
-5.95197599,2.84549376,0.00729617,0.21805236,0.48210749,1.60822612,0.01661377,0.63915901,0.58827342,0.13407951
-5.94597299,2.87707752,0.00786598,0.21972184,0.47800665,1.62953301,0.01728938,0.64633678,0.59867992,0.13468301
-5.93996998,2.90829867,0.00849947,0.22106853,0.47484514,1.64986146,0.01800598,0.65383553,0.60968971,0.13531369
-5.93396698,2.93911331,0.00919780,0.22208469,0.47280689,1.66904384,0.01875812,0.66179547,0.62134888,0.13597119
-5.92796398,2.96959526,0.00996085,0.22277471,0.47206772,1.68699412,0.01954023,0.67038285,0.63371359,0.13666208
-5.92196098,2.99992369,0.01078701,0.22315381,0.47278763,1.70370834,0.02034658,0.67978131,0.64684305,0.13739891
-5.91595798,3.03036337,0.01167294,0.22324626,0.47510279,1.71926012,0.02117117,0.69018150,0.66079155,0.13819876
-5.90995498,3.06123833,0.01261346,0.22308311,0.47911794,1.73379152,0.02200759,0.70176942,0.67559984,0.13908156
-5.90395198,3.09290039,0.01360144,0.22269960,0.48489926,1.74749947,0.02284890,0.71471395,0.69128642,0.14006810
-5.89794897,3.12569422,0.01462777,0.22213237,0.49246830,1.76061873,0.02368754,0.72915423,0.70783928,0.14117794
-5.89194597,3.15992080,0.01568141,0.22141672,0.50179713,1.77340218,0.02451527,0.74518760,0.72520861,0.14242729
-5.88594297,3.19580161,0.01674948,0.22058397,0.51280511,1.78609953,0.02532312,0.76285863,0.74330108,0.14382702
-5.87993997,3.23344552,0.01781752,0.21965905,0.52535750,1.79893580,0.02610144,0.78214999,0.76197609,0.14538086
-5.87393697,3.27282081,0.01886973,0.21865867,0.53926619,1.81209076,0.02683991,0.80297571,0.78104446,0.14708392
-5.86793397,3.31373385,0.01988933,0.21758990,0.55429245,1.82568065,0.02752777,0.82517727,0.80026981,0.14892173
-5.86193097,3.35581642,0.02085904,0.21644945,0.57015203,1.83974317,0.02815392,0.84852302,0.81937276,0.15086967
-5.85592796,3.39852255,0.02176150,0.21522358,0.58652217,1.85422704,0.02870720,0.87271088,0.83803799,0.15289304
-5.84992496,3.44113578,0.02257983,0.21388878,0.60305070,1.86898647,0.02917671,0.89737463,0.85592391,0.15494770
-5.84392196,3.48278669,0.02329814,0.21241301,0.61936672,1.88378136,0.02955207,0.92209347,0.87267475,0.15698125
-5.83791896,3.52248049,0.02390207,0.21075763,0.63509258,1.89828324,0.02982382,0.94640460,0.88793451,0.15893474
-5.83191596,3.55913339,0.02437926,0.20887978,0.64985682,1.91208667,0.02998374,0.96981841,0.90136216,0.16074481
-5.82591296,3.59161642,0.02471984,0.20673514,0.66330738,1.92472593,0.03002520,0.99183551,0.91264749,0.16234629
-5.81990995,3.61880443,0.02491675,0.20428090,0.67512479,1.93569586,0.02994346,1.01196516,0.92152683,0.16367486
-5.81390695,3.63962828,0.02496604,0.20147886,0.68503467,1.94447608,0.02973597,1.02974404,0.92779775,0.16466998
-5.80790395,3.65312730,0.02486705,0.19829833,0.69281901,1.95055728,0.02940255,1.04475473,0.93133224,0.16527767
-5.80190095,3.65849974,0.02462247,0.19471882,0.69832582,1.95346819,0.02894553,1.05664300,0.93208738,0.16545321
-5.79589795,3.65514844,0.02423828,0.19073231,0.70147667,1.95280196,0.02836983,1.06513317,0.93011305,0.16516343
-5.78989495,3.64271949,0.02372355,0.18634499,0.70227176,1.94824038,0.02768295,1.07004092,0.92555628,0.16438869
-5.78389195,3.62113185,0.02309021,0.18157832,0.70079233,1.93957488,0.02689484,1.07128280,0.91866165,0.16312429
-5.77788894,3.59059630,0.02235263,0.17646947,0.69720014,1.92672312,0.02601775,1.06888226,0.90976790,0.16138127
-5.77188594,3.55162264,0.02152718,0.17107093,0.69173410,1.90974020,0.02506591,1.06297170,0.89930048,0.15918670
-5.76588294,3.50501477,0.02063172,0.16544952,0.68470408,1.88882407,0.02405527,1.05379059,0.88776047,0.15658318
-5.75987994,3.45185343,0.01968502,0.15968465,0.67648207,1.86431471,0.02300307,1.04167956,0.87571011,0.15362787
-5.75387694,3.39346746,0.01870620,0.15386599,0.66749101,1.83668699,0.02192746,1.02707088,0.86375547,0.15039083
-5.74787394,3.33139457,0.01771417,0.14809071,0.65819166,1.80653776,0.02084697,1.01047553,0.85252694,0.14695292
-5.74187094,3.26733322,0.01672712,0.14246029,0.64906794,1.77456737,0.01978014,0.99246736,0.84265827,0.14340329
-5.73586793,3.20308764,0.01576197,0.13707716,0.64061131,1.74155677,0.01874501,0.97366511,0.83476490,0.13983652
-5.72986493,3.14050808,0.01483403,0.13204124,0.63330469,1.70834087,0.01775870,0.95471267,0.82942254,0.13634955
-5.72386193,3.08142882,0.01395658,0.12744658,0.62760647,1.67577951,0.01683702,0.93625867,0.82714672,0.13303861
-5.71785893,3.02760632,0.01314068,0.12337820,0.62393522,1.64472720,0.01599411,0.91893574,0.82837408,0.12999609
-5.71185593,2.98065982,0.01239496,0.11990927,0.62265560,1.61600276,0.01524214,0.90334054,0.83344624,0.12730766
-5.70585293,2.94201692,0.01172555,0.11709875,0.62406593,1.59036030,0.01459111,0.89001500,0.84259675,0.12504956
-5.69984992,2.91286581,0.01113614,0.11498956,0.62838796,1.56846246,0.01404867,0.87942962,0.85594168,0.12328628
-5.69384692,2.89411620,0.01062799,0.11360733,0.63575907,1.55085712,0.01362004,0.87196914,0.87347417,0.12206867
-5.68784392,2.88637013,0.01020020,0.11295978,0.64622727,1.53795832,0.01330798,0.86792138,0.89506316,0.12143252
-5.68184092,2.88990366,0.00984984,0.11303675,0.65974909,1.53003220,0.01311286,0.86746928,0.92045643,0.12139767
-5.67583792,2.90466006,0.00957232,0.11381076,0.67619056,1.52718828,0.01303280,0.87068663,0.94928763,0.12196762
-5.66983492,2.93025446,0.00936165,0.11523822,0.69533109,1.52937655,0.01306379,0.87753739,0.98108728,0.12312976
-5.66383192,2.96598971,0.00921082,0.11726105,0.71687029,1.53639021,0.01319994,0.88787876,1.01529711,0.12485599
-5.65782891,3.01088266,0.00911211,0.11980876,0.74043723,1.54787402,0.01343377,0.90146765,1.05128729,0.12710400
-5.65182591,3.06369964,0.00905750,0.12280079,0.76560208,1.56333785,0.01375643,0.91797045,1.08837581,0.12981875
-5.64582291,3.12299972,0.00903894,0.12614910,0.79188943,1.58217471,0.01415806,0.93697546,1.12584934,0.13293453
-5.63981991,3.18718390,0.00904872,0.12976083,0.81879299,1.60368274,0.01462805,0.95800764,1.16298458,0.13637709
-5.63381691,3.25454824,0.00907972,0.13354093,0.84579087,1.62709004,0.01515537,0.98054507,1.19906942,0.14006610
-5.62781391,3.32333876,0.00912562,0.13739471,0.87236114,1.65158146,0.01572883,1.00403626,1.23342301,0.14391755
