energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,2.20983115,0.13020387,0.00000000,0.54005807,0.39658958,0.06721993,1.61549051
-5.99399700,2.30847939,0.14123591,0.00000000,0.56096062,0.41316121,0.06930234,1.68071147
-5.98799400,2.41159334,0.15349093,0.00000000,0.58217426,0.42997814,0.07145629,1.74862056
-5.98199100,2.51813655,0.16683008,0.00000000,0.60346319,0.44687258,0.07368218,1.81857359
-5.97598799,2.62695834,0.18109328,0.00000000,0.62458667,0.46366518,0.07597934,1.88983958
-5.96998499,2.73679713,0.19609946,0.00000000,0.64529905,0.48016550,0.07834495,1.96160429
-5.96398199,2.84628751,0.21164739,0.00000000,0.66534994,0.49617296,0.08077297,2.03297628
-5.95797899,2.95397154,0.22751736,0.00000000,0.68448485,0.51147837,0.08325318,2.10299612
-5.95197599,3.05831493,0.24347357,0.00000000,0.70244638,0.52586618,0.08577029,2.17064877
-5.94597299,3.15772820,0.25926752,0.00000000,0.71897623,0.53911744,0.08830339,2.23487919
-5.93996998,3.25059278,0.27464223,0.00000000,0.73381798,0.55101343,0.09082559,2.29461115
-5.93396698,3.33529158,0.28933719,0.00000000,0.74672069,0.56133999,0.09330402,2.34876877
-5.92796398,3.41024348,0.30309410,0.00000000,0.75744338,0.56989237,0.09570019,2.39630036
-5.92196098,3.47394042,0.31566301,0.00000000,0.76576007,0.57648044,0.09797065,2.43620375
-5.91595798,3.52498614,0.32680875,0.00000000,0.77146543,0.58093403,0.10006805,2.46755234
-5.90995498,3.56213488,0.33631749,0.00000000,0.77438065,0.58310830,0.10194248,2.48952080
-5.90395198,3.58432850,0.34400292,0.00000000,0.77435939,0.58288869,0.10354306,2.50140955
-5.89794897,3.59073050,0.34971206,0.00000000,0.77129343,0.58019542,0.10481970,2.50266679
-5.89194597,3.58075526,0.35333027,0.00000000,0.76511778,0.57498711,0.10572496,2.49290725
-5.88594297,3.55409124,0.35478520,0.00000000,0.75581502,0.56726356,0.10621595,2.47192682
-5.87993997,3.51071689,0.35404968,0.00000000,0.74341846,0.55706726,0.10625612,2.43971220
-5.87393697,3.45090842,0.35114316,0.00000000,0.72801408,0.54448375,0.10581682,2.39644528
-5.86793397,3.37523899,0.34613183,0.00000000,0.70974104,0.52964070,0.10487871,2.34250183
-5.86193097,3.28456910,0.33912725,0.00000000,0.68879058,0.51270570,0.10343277,2.27844453
-5.85592796,3.18002852,0.33028361,0.00000000,0.66540340,0.49388285,0.10148089,2.20501051
-5.84992496,3.06299029,0.31979376,0.00000000,0.63986556,0.47340831,0.09903618,2.12309397
-5.84392196,2.93503794,0.30788406,0.00000000,0.61250287,0.45154497,0.09612272,2.03372435
-5.83791896,2.79792693,0.29480840,0.00000000,0.58367419,0.42857633,0.09277496,1.93804096
-5.83191596,2.65354203,0.28084160,0.00000000,0.55376365,0.40480009,0.08903672,1.83726513
-5.82591296,2.50385212,0.26627238,0.00000000,0.52317222,0.38052143,0.08495988,1.73267063
-5.81990995,2.35086412,0.25139633,0.00000000,0.49230879,0.35604636,0.08060280,1.62555368
-5.81390695,2.19657776,0.23650906,0.00000000,0.46158126,0.33167536,0.07602847,1.51720352
-5.80790395,2.04294269,0.22189982,0.00000000,0.43138776,0.30769759,0.07130270,1.40887433
-5.80190095,1.89181946,0.20784580,0.00000000,0.40210845,0.28438567,0.06649213,1.30175969
-5.79589795,1.74494540,0.19460736,0.00000000,0.37409805,0.26199144,0.06166243,1.19697005
-5.78989495,1.60390658,0.18242426,0.00000000,0.34767951,0.24074259,0.05687653,1.09551388
-5.78389195,1.47011622,0.17151303,0.00000000,0.32313876,0.22084032,0.05219309,0.99828292
-5.77788894,1.34480015,0.16206550,0.00000000,0.30072096,0.20245812,0.04766525,0.90604174
-5.77188594,1.22898922,0.15424848,0.00000000,0.28062807,0.18574145,0.04333957,0.81942161
-5.76588294,1.12351849,0.14820454,0.00000000,0.26301794,0.17080846,0.03925538,0.73891856
-5.75987994,1.02903261,0.14405376,0.00000000,0.24800481,0.15775159,0.03544434,0.66489548
-5.75387694,0.94599686,0.14189626,0.00000000,0.23566116,0.14663980,0.03193037,0.59758759
-5.74787394,0.87471261,0.14181543,0.00000000,0.22602072,0.13752143,0.02872979,0.53711106
-5.74187094,0.81533642,0.14388149,0.00000000,0.21908250,0.13042747,0.02585176,0.48347407
-5.73586793,0.76790149,0.14815527,0.00000000,0.21481563,0.12537499,0.02329888,0.43658955
-5.72986493,0.73234025,0.15469186,0.00000000,0.21316471,0.12237058,0.02106795,0.39628929
-5.72386193,0.70850685,0.16354397,0.00000000,0.21405544,0.12141365,0.01915086,0.36233840
-5.71785893,0.69619859,0.17476464,0.00000000,0.21740022,0.12249932,0.01753551,0.33444987
