energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.54860217,0.02569549,0.87680354,2.52466155,1.87236636,1.44919004,0.00000000,0.47371059,0.10157590
-5.99399700,4.50569840,0.02487864,0.87476820,2.50744244,1.85564957,1.43260329,0.00000000,0.47539598,0.09886839
-5.98799400,4.46094031,0.02406511,0.87166987,2.48603395,1.83861574,1.41553479,0.00000000,0.47700842,0.09633572
-5.98199100,4.41418775,0.02325963,0.86737578,2.46041213,1.82113990,1.39803882,0.00000000,0.47850528,0.09398581
-5.97598799,4.36538231,0.02246824,0.86178323,2.43064577,1.80312958,1.38018781,0.00000000,0.47984512,0.09182473
-5.96998499,4.31455809,0.02169813,0.85482247,2.39689832,1.78453066,1.36207443,0.00000000,0.48098980,0.08985705
-5.96398199,4.26185088,0.02095762,0.84645871,2.35942758,1.76533261,1.34381369,0.00000000,0.48190677,0.08808612
-5.95797899,4.20750521,0.02025598,0.83669331,2.31858308,1.74557279,1.32554479,0.00000000,0.48257134,0.08651443
-5.95197599,4.15187871,0.01960331,0.82556404,2.27480101,1.72533969,1.30743260,0.00000000,0.48296904,0.08514381
-5.94597299,4.09544316,0.01901028,0.81314433,2.22859678,1.70477476,1.28966841,0.00000000,0.48309763,0.08397568
-5.93996998,4.03878165,0.01848799,0.79954154,2.18055502,1.68407257,1.27246977,0.00000000,0.48296882,0.08301115
-5.93396698,3.98258129,0.01804768,0.78489429,2.13131730,1.66347893,1.25607896,0.00000000,0.48260937,0.08225106
-5.92796398,3.92762102,0.01770049,0.76936868,2.08156758,1.64328694,1.24076017,0.00000000,0.48206152,0.08169600
-5.92196098,3.87475450,0.01745717,0.75315370,2.03201573,1.62383063,1.22679490,0.00000000,0.48138254,0.08134609
-5.91595798,3.82488799,0.01732783,0.73645574,1.98337947,1.60547636,1.21447579,0.00000000,0.48064350,0.08120085
-5.90995498,3.77895376,0.01732160,0.71949244,1.93636524,1.58861198,1.20409874,0.00000000,0.47992697,0.08125887
-5.90395198,3.73787979,0.01744635,0.70248604,1.89164848,1.57363417,1.19595374,0.00000000,0.47932399,0.08151746
-5.89794897,3.70255691,0.01770839,0.68565645,1.84985424,1.56093433,1.19031452,0.00000000,0.47893023,0.08197228
-5.89194597,3.67380471,0.01811217,0.66921441,1.81153864,1.55088367,1.18742762,0.00000000,0.47884156,0.08261698
-5.88594297,3.65233804,0.01866001,0.65335481,1.77717215,1.54381819,1.18750148,0.00000000,0.47914927,0.08344278
-5.87993997,3.63873580,0.01935192,0.63825076,1.74712543,1.54002427,1.19069606,0.00000000,0.47993530,0.08443821
-5.87393697,3.63341391,0.02018534,0.62404845,1.72165849,1.53972590,1.19711383,0.00000000,0.48126752,0.08558886
-5.86793397,3.63660425,0.02115511,0.61086319,1.70091379,1.54307397,1.20679265,0.00000000,0.48319572,0.08687729
-5.86193097,3.64834096,0.02225334,0.59877680,1.68491383,1.55013868,1.21970124,0.00000000,0.48574830,0.08828306
-5.85592796,3.66845544,0.02346954,0.58783657,1.67356345,1.56090528,1.23573761,0.00000000,0.48893003,0.08978293
-5.84992496,3.69658065,0.02479069,0.57805573,1.66665695,1.57527378,1.25473094,0.00000000,0.49272114,0.09135119
-5.84392196,3.73216486,0.02620152,0.56941553,1.66388989,1.59306248,1.27644683,0.00000000,0.49707772,0.09296021
