energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.61879084,0.66077755,0.17739706,0.09832952,0.01327988,0.91689601,0.00000000
-5.99399700,1.61028158,0.64641910,0.17736947,0.09152250,0.01329299,0.91537850,0.00000000
-5.98799400,1.59543519,0.63038913,0.17668747,0.08541314,0.01326051,0.90873775,0.00000000
-5.98199100,1.57487385,0.61304009,0.17542661,0.08009934,0.01318843,0.89719943,0.00000000
-5.97598799,1.54940720,0.59477749,0.17368336,0.07567181,0.01308459,0.88111108,0.00000000
-5.96998499,1.52001695,0.57605410,0.17157286,0.07221478,0.01295853,0.86093355,0.00000000
-5.96398199,1.48783389,0.55736173,0.16922594,0.06980644,0.01282127,0.83722808,0.00000000
-5.95797899,1.45410791,0.53922098,0.16678522,0.06851920,0.01268505,0.81063945,0.00000000
-5.95197599,1.42017186,0.52216909,0.16440060,0.06841957,0.01256299,0.78187600,0.00000000
-5.94597299,1.38740071,0.50674619,0.16222435,0.06956752,0.01246866,0.75168720,0.00000000
-5.93996998,1.35716721,0.49348053,0.16040570,0.07201539,0.01241564,0.72083972,0.00000000
-5.93396698,1.33079599,0.48287304,0.15908548,0.07580630,0.01241701,0.69009304,0.00000000
-5.92796398,1.30951747,0.47538183,0.15839079,0.08097208,0.01248487,0.66017539,0.00000000
-5.92196098,1.29442377,0.47140700,0.15843002,0.08753077,0.01262980,0.63176112,0.00000000
-5.91595798,1.28642791,0.47127652,0.15928829,0.09548390,0.01286044,0.60545024,0.00000000
-5.90995498,1.28622812,0.47523348,0.16102371,0.10481362,0.01318299,0.58175088,0.00000000
-5.90395198,1.29427868,0.48342530,0.16366443,0.11547986,0.01360090,0.56106528,0.00000000
-5.89794897,1.31076822,0.49589529,0.16720661,0.12741774,0.01411453,0.54367968,0.00000000
-5.89194597,1.33560676,0.51257693,0.17161360,0.14053542,0.01472096,0.52975842,0.00000000
-5.88594297,1.36842171,0.53329105,0.17681612,0.15471257,0.01541394,0.51934237,0.00000000
