energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.10845874,0.02291272,0.00000455,0.04396127,0.00000000,0.02752837,0.03292058
-5.99399700,0.10370109,0.02312553,0.00000381,0.03993325,0.00000000,0.02486330,0.03164391
-5.98799400,0.09995771,0.02327652,0.00000327,0.03677509,0.00000000,0.02279171,0.03063369
-5.98199100,0.09698558,0.02334261,0.00000292,0.03433744,0.00000000,0.02122281,0.02982149
-5.97598799,0.09458706,0.02330573,0.00000274,0.03249688,0.00000000,0.02008238,0.02915161
-5.96998499,0.09260910,0.02315289,0.00000272,0.03115511,0.00000000,0.01931230,0.02858096
-5.96398199,0.09094172,0.02287623,0.00000286,0.03023766,0.00000000,0.01886996,0.02807868
-5.95797899,0.08951560,0.02247290,0.00000317,0.02969227,0.00000000,0.01872724,0.02762558
-5.95197599,0.08829919,0.02194482,0.00000365,0.02948703,0.00000000,0.01886943,0.02721333
-5.94597299,0.08729521,0.02129834,0.00000432,0.02960832,0.00000000,0.01929388,0.02684349
-5.93996998,0.08653673,0.02054381,0.00000518,0.03005857,0.00000000,0.02000861,0.02652644
-5.93396698,0.08608294,0.01969511,0.00000626,0.03085389,0.00000000,0.02103067,0.02628013
-5.92796398,0.08601467,0.01876909,0.00000760,0.03202169,0.00000000,0.02238451,0.02612882
-5.92196098,0.08642971,0.01778506,0.00000920,0.03359815,0.00000000,0.02410017,0.02610173
-5.91595798,0.08743822,0.01676420,0.00001112,0.03562578,0.00000000,0.02621148,0.02623171
-5.90995498,0.08915802,0.01572910,0.00001339,0.03815089,0.00000000,0.02875414,0.02655386
-5.90395198,0.09171015,0.01470326,0.00001605,0.04122121,0.00000000,0.03176390,0.02710429
-5.89794897,0.09521463,0.01371078,0.00001914,0.04488352,0.00000000,0.03527465,0.02791884
-5.89194597,0.09978660,0.01277599,0.00002271,0.04918148,0.00000000,0.03931666,0.02903199
-5.88594297,0.10553284,0.01192331,0.00002681,0.05415367,0.00000000,0.04391491,0.03047586
-5.87993997,0.11254891,0.01117710,0.00003149,0.05983179,0.00000000,0.04908761,0.03227936
-5.87393697,0.12091676,0.01056169,0.00003681,0.06623927,0.00000000,0.05484499,0.03446750
-5.86793397,0.13070313,0.01010137,0.00004281,0.07339017,0.00000000,0.06118830,0.03706089
-5.86193097,0.14195850,0.00982055,0.00004956,0.08128847,0.00000000,0.06810926,0.04007539
-5.85592796,0.15471684,0.00974389,0.00005710,0.08992789,0.00000000,0.07558981,0.04352201
-5.84992496,0.16899598,0.00989648,0.00006551,0.09929201,0.00000000,0.08360238,0.04740689
-5.84392196,0.18479859,0.01030394,0.00007483,0.10935500,0.00000000,0.09211050,0.05173151
-5.83791896,0.20211383,0.01099253,0.00008513,0.12008265,0.00000000,0.10106996,0.05649298
-5.83191596,0.22091927,0.01198922,0.00009645,0.13143391,0.00000000,0.11043025,0.06168449
-5.82591296,0.24118332,0.01332155,0.00010885,0.14336269,0.00000000,0.12013651,0.06729575
-5.81990995,0.26286767,0.01501751,0.00012238,0.15581989,0.00000000,0.13013167,0.07331352
-5.81390695,0.28592981,0.01710520,0.00013708,0.16875570,0.00000000,0.14035882,0.07972213
-5.80790395,0.31032546,0.01961240,0.00015299,0.18212182,0.00000000,0.15076368,0.08650387
-5.80190095,0.33601055,0.02256600,0.00017013,0.19587364,0.00000000,0.16129710,0.09363941
-5.79589795,0.36294290,0.02599134,0.00018852,0.20997227,0.00000000,0.17191734,0.10110804
-5.78989495,0.39108329,0.02991137,0.00020816,0.22438628,0.00000000,0.18259218,0.10888781
-5.78389195,0.42039593,0.03434580,0.00022904,0.23909300,0.00000000,0.19330061,0.11695555
-5.77788894,0.45084831,0.03931022,0.00025111,0.25407946,0.00000000,0.20403417,0.12528674
-5.77188594,0.48241048,0.04481511,0.00027433,0.26934277,0.00000000,0.21479769,0.13385538
-5.76588294,0.51505376,0.05086499,0.00029861,0.28489008,0.00000000,0.22560956,0.14263364
-5.75987994,0.54874905,0.05745759,0.00032383,0.30073801,0.00000000,0.23650148,0.15159166
-5.75387694,0.58346488,0.06458308,0.00034987,0.31691164,0.00000000,0.24751761,0.16069726
-5.74787394,0.61916529,0.07222357,0.00037654,0.33344313,0.00000000,0.25871332,0.16991575
-5.74187094,0.65580783,0.08035264,0.00040367,0.35037001,0.00000000,0.27015351,0.17920986
-5.73586793,0.69334163,0.08893517,0.00043103,0.36773321,0.00000000,0.28191062,0.18853985
-5.72986493,0.73170585,0.09792732,0.00045837,0.38557499,0.00000000,0.29406234,0.19786369
-5.72386193,0.77082842,0.10727675,0.00048543,0.40393667,0.00000000,0.30668921,0.20713749
-5.71785893,0.81062526,0.11692305,0.00051192,0.42285636,0.00000000,0.31987211,0.21631610
-5.71185593,0.85099968,0.12679830,0.00053756,0.44236663,0.00000000,0.33368969,0.22535372
-5.70585293,0.89184226,0.13682789,0.00056204,0.46249218,0.00000000,0.34821578,0.23420472
-5.69984992,0.93303071,0.14693144,0.00058508,0.48324747,0.00000000,0.36351684,0.24282439
-5.69384692,0.97442983,0.15702377,0.00060639,0.50463436,0.00000000,0.37964938,0.25116963
-5.68784392,1.01589134,0.16701608,0.00062571,0.52663969,0.00000000,0.39665735,0.25919964
-5.68184092,1.05725341,0.17681707,0.00064280,0.54923281,0.00000000,0.41456961,0.26687626
-5.67583792,1.09833991,0.18633412,0.00065746,0.57236315,0.00000000,0.43339719,0.27416424
-5.66983492,1.13895924,0.19547454,0.00066951,0.59595781,0.00000000,0.45313069,0.28103119
-5.66383192,1.17890292,0.20414673,0.00067882,0.61991929,0.00000000,0.47373762,0.28744730
-5.65782891,1.21794392,0.21226144,0.00068531,0.64412345,0.00000000,0.49515978,0.29338484
-5.65182591,1.25583511,0.21973294,0.00068893,0.66841794,0.00000000,0.51731086,0.29881751
-5.64582291,1.29230800,0.22648031,0.00068969,0.69262120,0.00000000,0.54007438,0.30371967
-5.63981991,1.32707210,0.23242863,0.00068763,0.71652224,0.00000000,0.56330208,0.30806560
-5.63381691,1.35981543,0.23751038,0.00068285,0.73988154,0.00000000,0.58681306,0.31182890
-5.62781391,1.39020629,0.24166670,0.00067545,0.76243303,0.00000000,0.61039372,0.31498202
-5.62181091,1.41789684,0.24484885,0.00066561,0.78388755,0.00000000,0.63379897,0.31749623
-5.61580790,1.44252859,0.24701955,0.00065350,0.80393770,0.00000000,0.65675459,0.31934192
-5.60980490,1.46373996,0.24815449,0.00063934,0.82226421,0.00000000,0.67896109,0.32048938
-5.60380190,1.48117597,0.24824366,0.00062333,0.83854376,0.00000000,0.70009908,0.32091008
-5.59779890,1.49449975,0.24729267,0.00060572,0.85245802,0.00000000,0.71983606,0.32057843
-5.59179590,1.50340572,0.24532390,0.00058674,0.86370373,0.00000000,0.73783470,0.31947394
-5.58579290,1.50763383,0.24237746,0.00056664,0.87200351,0.00000000,0.75376227,0.31758369
-5.57978989,1.50698433,0.23851180,0.00054564,0.87711684,0.00000000,0.76730099,0.31490508
-5.57378689,1.50133233,0.23380403,0.00052399,0.87885089,0.00000000,0.77815894,0.31144851
-5.56778389,1.49064130,0.22834970,0.00050191,0.87707061,0.00000000,0.78608109,0.30724002
-5.56178089,1.47497492,0.22226222,0.00047963,0.87170761,0.00000000,0.79085991,0.30232357
-5.55577789,1.45450620,0.21567159,0.00045734,0.86276727,0.00000000,0.79234510,0.29676286
-5.54977489,1.42952353,0.20872271,0.00043525,0.85033383,0.00000000,0.79045191,0.29064251
-5.54377189,1.40043278,0.20157303,0.00041355,0.83457292,0.00000000,0.78516760,0.28406843
-5.53776888,1.36775531,0.19438973,0.00039242,0.81573140,0.00000000,0.77655566,0.27716737
-5.53176588,1.33212152,0.18734634,0.00037204,0.79413450,0.00000000,0.76475742,0.27008550
-5.52576288,1.29425997,0.18061904,0.00035256,0.77017996,0.00000000,0.74999096,0.26298603
-5.51975988,1.25498238,0.17438257,0.00033414,0.74432974,0.00000000,0.73254717,0.25604604
-5.51375688,1.21516473,0.16880598,0.00031691,0.71709913,0.00000000,0.71278312,0.24945232
-5.50775388,1.17572523,0.16404822,0.00030102,0.68904398,0.00000000,0.69111283,0.24339666
-5.50175088,1.13759985,0.16025394,0.00028656,0.66074626,0.00000000,0.66799596,0.23807054
-5.49574787,1.10171621,0.15754934,0.00027366,0.63279857,0.00000000,0.64392462,0.23365950
-5.48974487,1.06896689,0.15603846,0.00026238,0.60578811,0.00000000,0.61940901,0.23033730
-5.48374187,1.04018303,0.15579994,0.00025279,0.58028071,0.00000000,0.59496239,0.22826028
-5.47773887,1.01610926,0.15688436,0.00024495,0.55680538,0.00000000,0.57108592,0.22756194
-5.47173587,0.99738095,0.15931230,0.00023888,0.53584002,0.00000000,0.54825411,0.22834807
-5.46573287,0.98450444,0.16307329,0.00023457,0.51779857,0.00000000,0.52690136,0.23069255
-5.45972986,0.97784123,0.16812550,0.00023202,0.50302025,0.00000000,0.50741005,0.23463420
-5.45372686,0.97759653,0.17439654,0.00023118,0.49176092,0.00000000,0.49010082,0.24017446
-5.44772386,0.98381282,0.18178502,0.00023199,0.48418710,0.00000000,0.47522517,0.24727644
-5.44172086,0.99636856,0.19016316,0.00023437,0.48037261,0.00000000,0.46296074,0.25586514
-5.43571786,1.01498218,0.19938026,0.00023824,0.48029799,0.00000000,0.45340941,0.26582889
-5.42971486,1.03922148,0.20926690,0.00024348,0.48385281,0.00000000,0.44659823,0.27702217
-5.42371186,1.06851788,0.21963995,0.00024999,0.49084059,0.00000000,0.44248307,0.28926959
-5.41770885,1.10218538,0.23030802,0.00025766,0.50098642,0.00000000,0.44095483,0.30237098
-5.41170585,1.13944360,0.24107740,0.00026638,0.51394686,0.00000000,0.44184793,0.31610750
-5.40570285,1.17944395,0.25175808,0.00027607,0.52932202,0.00000000,0.44495068,0.33024841
-5.39969985,1.22129843,0.26216988,0.00028665,0.54666931,0.00000000,0.45001721,0.34455851
-5.39369685,1.26410971,0.27214831,0.00029805,0.56551848,0.00000000,0.45678028,0.35880573
-5.38769385,1.30700167,0.28154991,0.00031026,0.58538754,0.00000000,0.46496464,0.37276881
-5.38169085,1.34914908,0.29025707,0.00032327,0.60579894,0.00000000,0.47430028,0.38624459
-5.37568784,1.38980546,0.29818186,0.00033711,0.62629543,0.00000000,0.48453509,0.39905468
-5.36968484,1.42832780,0.30526891,0.00035184,0.64645519,0.00000000,0.49544629,0.41105119
-5.36368184,1.46419723,0.31149705,0.00036755,0.66590537,0.00000000,0.50685034,0.42212134
-5.35767884,1.49703468,0.31687971,0.00038435,0.68433373,0.00000000,0.51861068,0.43219049
-5.35167584,1.52661074,0.32146396,0.00040236,0.70149776,0.00000000,0.53064309,0.44122373
-5.34567284,1.55284920,0.32532817,0.00042172,0.71723087,0.00000000,0.54291831,0.44922560
-5.33966983,1.57582404,0.32857845,0.00044256,0.73144537,0.00000000,0.55546179,0.45623812
-5.33366683,1.59574978,0.33134387,0.00046501,0.74413204,0.00000000,0.56835059,0.46233715
-5.32766383,1.61296557,0.33377064,0.00048916,0.75535616,0.00000000,0.58170733,0.46762705
-5.32166083,1.62791358,0.33601552,0.00051507,0.76525036,0.00000000,0.59569163,0.47223407
-5.31565783,1.64111259,0.33823867,0.00054276,0.77400423,0.00000000,0.61048911,0.47629865
-5.30965483,1.65312787,0.34059622,0.00057218,0.78185142,0.00000000,0.62629863,0.47996695
-5.30365183,1.66453883,0.34323289,0.00060321,0.78905466,0.00000000,0.64331814,0.48338214
-5.29764882,1.67590574,0.34627496,0.00063568,0.79588937,0.00000000,0.66172982,0.48667574
-5.29164582,1.68773721,0.34982394,0.00066931,0.80262667,0.00000000,0.68168520,0.48995953
-5.28564282,1.70045994,0.35395108,0.00070376,0.80951662,0.00000000,0.70329088,0.49331845
-5.27963982,1.71439227,0.35869321,0.00073861,0.81677239,0.00000000,0.72659567,0.49680484
-5.27363682,1.72972269,0.36404985,0.00077336,0.82455633,0.00000000,0.75157962,0.50043427
