energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.77591919,2.56307944,0.78557515,0.02821523,0.73870238,4.00072492,3.43996773,0.08548587,3.63484196
-5.99399700,8.68875404,2.58732437,0.77915892,0.02782108,0.73237247,4.00606615,3.39244406,0.08396889,3.60441065
-5.98799400,8.59790344,2.61062304,0.77222326,0.02739397,0.72558667,4.00926875,3.34513761,0.08235698,3.57208592
-5.98199100,8.50476389,2.63322410,0.76503482,0.02694034,0.71836758,4.01053434,3.29867786,0.08067094,3.53854349
-5.97598799,8.41102169,2.65551304,0.75788053,0.02646749,0.71077223,4.01024514,3.25377590,0.07893401,3.50457669
-5.96998499,8.31860562,2.67799205,0.75105839,0.02598332,0.70289081,4.00895762,3.21120617,0.07717120,3.47107341
-5.96398199,8.22962546,2.70125301,0.74486735,0.02549599,0.69484362,4.00738620,3.17178383,0.07540857,3.43898730
-5.95797899,8.14629854,2.72594511,0.73959686,0.02501365,0.68677656,4.00637752,3.13633842,0.07367246,3.40930443
-5.95197599,8.07086723,2.75273826,0.73551636,0.02454408,0.67885510,4.00687609,3.10568483,0.07198869,3.38300669
-5.94597299,8.00551079,2.78228420,0.73286528,0.02409436,0.67125712,4.00988286,3.08059266,0.07038176,3.36103343
-5.93996998,7.95225531,2.81517705,0.73184389,0.02367060,0.66416497,4.01640837,3.06175525,0.06887411,3.34424306
-5.93396698,7.91288584,2.85191530,0.73260540,0.02327768,0.65775688,4.02742294,3.04975977,0.06748541,3.33337624
-5.92796398,7.88886459,2.89286712,0.73524976,0.02291907,0.65219846,4.04380607,3.04505956,0.06623203,3.32902244
-5.92196098,7.88125915,2.93824071,0.73981927,0.02259668,0.64763442,4.06629773,3.04795023,0.06512648,3.33159130
-5.91595798,7.89068398,2.98806133,0.74629636,0.02231079,0.64418104,4.09545405,3.05855050,0.06417717,3.34129016
-5.90995498,7.91725827,3.04215611,0.75460345,0.02206011,0.64191985,4.13160966,3.07678891,0.06338811,3.35810885
-5.90395198,7.96058211,3.10014756,0.76460502,0.02184184,0.64089269,4.17484887,3.10239711,0.06275894,3.38181244
-5.89794897,8.01973227,3.16145613,0.77611166,0.02165179,0.64109858,4.22498728,3.13491020,0.06228499,3.41194231
-5.89194597,8.09327820,3.22531183,0.78888600,0.02148468,0.64249251,4.28156487,3.17367430,0.06195756,3.44782546
-5.88594297,8.17931739,3.29077432,0.80265008,0.02133433,0.64498621,4.34385130,3.21786114,0.06176425,3.48859174
-5.87993997,8.27552894,3.35676063,0.81709403,0.02119399,0.64845104,4.41086319,3.26648921,0.06168949,3.53319817
-5.87393697,8.37924281,3.42207918,0.83188542,0.02105664,0.65272268,4.48139286,3.31845061,0.06171511,3.58045926
-5.86793397,8.48752200,3.48546854,0.84667910,0.02091535,0.65760760,4.55404717,3.37254254,0.06182099,3.62908206
-5.86193097,8.59725398,3.54563909,0.86112695,0.02076355,0.66289083,4.62729473,3.42750220,0.06198573,3.67770444
-5.85592796,8.70524762,3.60131574,0.87488735,0.02059534,0.66834484,4.69951941,3.48204355,0.06218742,3.72493500
-5.84992496,8.80833155,3.65127977,0.88763387,0.02040575,0.67373894,4.76907748,3.53489449,0.06240426,3.76939309
