energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.96847353,0.71361663,0.85542765,0.00149447,0.07546186,0.18178741,0.70643942,0.26546164,0.00000000
-5.99399700,1.87633896,0.66992669,0.80843848,0.00135143,0.07268195,0.17618173,0.68528514,0.24961442,0.00000000
-5.98799400,1.79475209,0.62933596,0.76562501,0.00122031,0.07008478,0.17188876,0.66803836,0.23568588,0.00000000
-5.98199100,1.72449815,0.59241992,0.72731891,0.00110200,0.06773009,0.16895100,0.65486206,0.22386807,0.00000000
-5.97598799,1.66611198,0.55966841,0.69373570,0.00099716,0.06567172,0.16738900,0.64583690,0.21431800,0.00000000
-5.96998499,1.61988632,0.53148277,0.66497958,0.00090621,0.06395651,0.16720259,0.64096598,0.20715781,0.00000000
-5.96398199,1.58588673,0.50817581,0.64105161,0.00082936,0.06262344,0.16837261,0.64018154,0.20247572,0.00000000
-5.95797899,1.56397209,0.48997384,0.62186064,0.00076668,0.06170313,0.17086295,0.64335325,0.20032753,0.00000000
-5.95197599,1.55381925,0.47702064,0.60723629,0.00071811,0.06121759,0.17462282,0.65029755,0.20073855,0.00000000
-5.94597299,1.55495041,0.46938257,0.59694322,0.00068350,0.06118034,0.17958915,0.66078763,0.20370568,0.00000000
-5.93996998,1.56676197,0.46705446,0.59069593,0.00066266,0.06159682,0.18568901,0.67456359,0.20919959,0.00000000
-5.93396698,1.58855331,0.46996562,0.58817358,0.00065539,0.06246494,0.19284180,0.69134237,0.21716680,0.00000000
-5.92796398,1.61955447,0.47798575,0.58903393,0.00066154,0.06377600,0.20096138,0.71082710,0.22753148,0.00000000
-5.92196098,1.65895159,0.49093011,0.59292608,0.00068103,0.06551555,0.20995774,0.73271555,0.24019703,0.00000000
-5.91595798,1.70590940,0.50856402,0.59950154,0.00071388,0.06766448,0.21973848,0.75670755,0.25504720,0.00000000
-5.90995498,1.75959005,0.53060628,0.60842327,0.00076022,0.07020006,0.23020976,0.78251108,0.27194690,0.00000000
-5.90395198,1.81916814,0.55673174,0.61937260,0.00082031,0.07309688,0.24127695,0.80984721,0.29074269,0.00000000
-5.89794897,1.88384171,0.58657305,0.63205398,0.00089457,0.07632781,0.25284486,0.83845358,0.31126294,0.00000000
-5.89194597,1.95283938,0.61972183,0.64619755,0.00098352,0.07986467,0.26481766,0.86808676,0.33331786,0.00000000
-5.88594297,2.02542389,0.65572958,0.66155979,0.00108781,0.08367883,0.27709854,0.89852340,0.35669952,0.00000000
-5.87993997,2.10089257,0.69410874,0.67792251,0.00120818,0.08774152,0.28958912,0.92956030,0.38118189,0.00000000
-5.87393697,2.17857519,0.73433429,0.69509034,0.00134539,0.09202399,0.30218890,0.96101362,0.40652125,0.00000000
-5.86793397,2.25782991,0.77584627,0.71288727,0.00150023,0.09649747,0.31479459,0.99271727,0.43245696,0.00000000
-5.86193097,2.33803784,0.81805358,0.73115244,0.00167339,0.10113287,0.32729964,1.02452063,0.45871272,0.00000000
-5.85592796,2.41859701,0.86033932,0.74973563,0.00186546,0.10590046,0.33959397,1.05628573,0.48499863,0.00000000
-5.84992496,2.49891614,0.90206787,0.76849273,0.00207680,0.11076932,0.35156396,1.08788402,0.51101380,0.00000000
-5.84392196,2.57840886,0.94259370,0.78728151,0.00230751,0.11570685,0.36309288,1.11919281,0.53644985,0.00000000
-5.83791896,2.65648874,0.98127185,0.80595787,0.00255731,0.12067823,0.37406162,1.15009146,0.56099509,0.00000000
-5.83191596,2.73256554,1.01746981,0.82437292,0.00282552,0.12564593,0.38434994,1.18045760,0.58433933,0.00000000
-5.82591296,2.80604288,1.05058049,0.84237080,0.00311094,0.13056938,0.39383808,1.21016325,0.60617926,0.00000000
-5.81990995,2.87631755,1.08003574,0.85978750,0.00341184,0.13540477,0.40240879,1.23907125,0.62622427,0.00000000
-5.81390695,2.94278057,1.10531996,0.87645069,0.00372591,0.14010503,0.40994962,1.26703208,0.64420229,0.00000000
-5.80790395,3.00482004,1.12598306,0.89218040,0.00405024,0.14462007,0.41635549,1.29388113,0.65986578,0.00000000
-5.80190095,3.06182577,1.14165234,0.90679074,0.00438136,0.14889725,0.42153136,1.31943695,0.67299731,0.00000000
-5.79589795,3.11319564,1.15204254,0.92009233,0.00471522,0.15288203,0.42539495,1.34350029,0.68341468,0.00000000
-5.78989495,3.15834374,1.15696375,0.93189553,0.00504729,0.15651897,0.42787937,1.36585455,0.69097540,0.00000000
-5.78389195,3.19670994,1.15632659,0.94201431,0.00537266,0.15975280,0.42893556,1.38626747,0.69558018,0.00000000
-5.77788894,3.22777101,1.15014458,0.95027060,0.00568610,0.16252971,0.42853435,1.40449444,0.69717547,0.00000000
-5.77188594,3.25105289,1.13853348,0.95649895,0.00598225,0.16479877,0.42666828,1.42028334,0.69575486,0.00000000
-5.76588294,3.26614400,1.12170769,0.96055152,0.00625572,0.16651338,0.42335287,1.43338107,0.69135936,0.00000000
-5.75987994,3.27270923,1.09997387,0.96230307,0.00650128,0.16763274,0.41862738,1.44354148,0.68407648,0.00000000
-5.75387694,3.27050418,1.07372213,0.96165589,0.00671405,0.16812324,0.41255505,1.45053468,0.67403829,0.00000000
-5.74787394,3.25938930,1.04341525,0.95854450,0.00688960,0.16795976,0.40522284,1.45415732,0.66141849,0.00000000
-5.74187094,3.23934318,1.00957633,0.95293989,0.00702417,0.16712676,0.39674057,1.45424343,0.64642858,0.00000000
-5.73586793,3.21047463,0.97277550,0.94485319,0.00711477,0.16561915,0.38723953,1.45067540,0.62931340,0.00000000
-5.72986493,3.17303263,0.93361623,0.93433846,0.00715929,0.16344288,0.37687063,1.44339448,0.61034607,0.00000000
-5.72386193,3.12741350,0.89272168,0.92149458,0.00715661,0.16061525,0.36580206,1.43241017,0.58982262,0.00000000
-5.71785893,3.07416470,0.85072162,0.90646593,0.00710665,0.15716482,0.35421654,1.41780795,0.56805627,0.00000000
-5.71185593,3.01398442,0.80824021,0.88944173,0.00701034,0.15313110,0.34230814,1.39975471,0.54537177,0.00000000
-5.70585293,2.94771648,0.76588498,0.87065397,0.00686966,0.14856378,0.33027885,1.37850137,0.52209956,0.00000000
-5.69984992,2.87634014,0.72423707,0.85037381,0.00668754,0.14352175,0.31833469,1.35438230,0.49857021,0.00000000
-5.69384692,2.80095447,0.68384289,0.82890646,0.00646778,0.13807178,0.30668174,1.32781111,0.47510884,0.00000000
-5.68784392,2.72275748,0.64520719,0.80658451,0.00621490,0.13228702,0.29552182,1.29927296,0.45202993,0.00000000
-5.68184092,2.64302006,0.60878728,0.78376004,0.00593408,0.12624527,0.28504812,1.26931309,0.42963221,0.00000000
-5.67583792,2.56305544,0.57498846,0.76079540,0.00563089,0.12002717,0.27544069,1.23852222,0.40819402,0.00000000
-5.66983492,2.48418493,0.54416046,0.73805325,0.00531119,0.11371431,0.26686201,1.20751888,0.38796886,0.00000000
-5.66383192,2.40770111,0.51659464,0.71588596,0.00498096,0.10738736,0.25945270,1.17692967,0.36918140,0.00000000
-5.65782891,2.33482976,0.49252188,0.69462493,0.00464609,0.10112432,0.25332737,1.14736798,0.35202389,0.00000000
-5.65182591,2.26669210,0.47211110,0.67457020,0.00431228,0.09499884,0.24857104,1.11941217,0.33665316,0.00000000
-5.64582291,2.20426890,0.45546836,0.65598081,0.00398488,0.08907882,0.24523594,1.09358426,0.32318813,0.00000000
-5.63981991,2.14836827,0.44263652,0.63906638,0.00366875,0.08342520,0.24333913,1.07033007,0.31170813,0.00000000
-5.63381691,2.09959853,0.43359550,0.62398032,0.00336826,0.07809103,0.24286093,1.05000185,0.30225191,0.00000000
-5.62781391,2.05834773,0.42826341,0.61081507,0.00308714,0.07312090,0.24374432,1.03284423,0.29481765,0.00000000
-5.62181091,2.02477105,0.42649851,0.59959960,0.00282852,0.06855059,0.24589549,1.01898438,0.28936388,0.00000000
-5.61580790,1.99878677,0.42810222,0.59029940,0.00259488,0.06440711,0.24918555,1.00842681,0.28581146,0.00000000
-5.60980490,1.98008145,0.43282336,0.58281905,0.00238813,0.06070894,0.25345350,1.00105325,0.28404658,0.00000000
-5.60380190,1.96812423,0.44036366,0.57700722,0.00220961,0.05746665,0.25851040,0.99662770,0.28392481,0.00000000
-5.59779890,1.96218993,0.45038458,0.57266403,0.00206019,0.05468355,0.26414462,0.99480639,0.28527605,0.00000000
-5.59179590,1.96138991,0.46251550,0.56955044,0.00194035,0.05235669,0.27012819,0.99515238,0.28791036,0.00000000
-5.58579290,1.96470956,0.47636307,0.56739909,0.00185027,0.05047783,0.27622389,0.99715399,0.29162443,0.00000000
-5.57978989,1.97105059,0.49152156,0.56592642,0.00178996,0.04903453,0.28219293,1.00024625,0.29620840,0.00000000
-5.57378689,1.97927631,0.50758395,0.56484510,0.00175934,0.04801122,0.28780293,1.00383431,0.30145302,0.00000000
