energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.23056450,-1.23056439,0.00286630,-0.00286630,0.30843800,-0.30843796,0.55409319,-0.55409317,0.48674382,-0.48674375,0.25678965,-0.25678965,0.00000000,-0.00000000,0.26132835,-0.26132834,0.05190420,-0.05190420
-5.99399700,1.19131174,-1.19131164,0.00285744,-0.00285744,0.29631972,-0.29631969,0.55051520,-0.55051519,0.45834763,-0.45834756,0.25434727,-0.25434726,0.00000000,-0.00000000,0.25144508,-0.25144507,0.05147353,-0.05147353
-5.98799400,1.15932584,-1.15932576,0.00284868,-0.00284868,0.28672324,-0.28672321,0.55088861,-0.55088860,0.43330149,-0.43330143,0.25281421,-0.25281421,0.00000000,-0.00000000,0.24211769,-0.24211768,0.05118068,-0.05118068
-5.98199100,1.13477195,-1.13477188,0.00283903,-0.00283903,0.27971037,-0.27971034,0.55520099,-0.55520098,0.41177541,-0.41177536,0.25220610,-0.25220609,0.00000000,-0.00000000,0.23341011,-0.23341010,0.05101207,-0.05101207
-5.97598799,1.11760480,-1.11760474,0.00282755,-0.00282755,0.27526763,-0.27526761,0.56333425,-0.56333425,0.39383167,-0.39383162,0.25251507,-0.25251507,0.00000000,-0.00000000,0.22537149,-0.22537148,0.05095156,-0.05095156
-5.96998499,1.10758577,-1.10758573,0.00281353,-0.00281353,0.27330987,-0.27330986,0.57507168,-0.57507168,0.37943047,-0.37943043,0.25371326,-0.25371326,0.00000000,-0.00000000,0.21804013,-0.21804012,0.05098164,-0.05098164
-5.96398199,1.10430510,-1.10430507,0.00279646,-0.00279645,0.27368578,-0.27368577,0.59010770,-0.59010771,0.36843850,-0.36843846,0.25575687,-0.25575687,0.00000000,-0.00000000,0.21144767,-0.21144766,0.05108469,-0.05108469
-5.95797899,1.10720805,-1.10720803,0.00277613,-0.00277613,0.27618511,-0.27618510,0.60805989,-0.60805990,0.36063957,-0.36063955,0.25859058,-0.25859058,0.00000000,-0.00000000,0.20562340,-0.20562339,0.05124407,-0.05124407
-5.95197599,1.11562390,-1.11562389,0.00275267,-0.00275267,0.28054735,-0.28054734,0.62848279,-0.62848281,0.35574720,-0.35574718,0.26215213,-0.26215214,0.00000000,-0.00000000,0.20059807,-0.20059807,0.05144515,-0.05144515
-5.94597299,1.12879642,-1.12879642,0.00272660,-0.00272660,0.28647138,-0.28647138,0.65088312,-0.65088313,0.35341825,-0.35341824,0.26637670,-0.26637670,0.00000000,-0.00000000,0.19640723,-0.19640723,0.05167620,-0.05167620
-5.93996998,1.14591465,-1.14591465,0.00269876,-0.00269876,0.29362604,-0.29362604,0.67473571,-0.67473572,0.35326742,-0.35326741,0.27120086,-0.27120087,0.00000000,-0.00000000,0.19309355,-0.19309355,0.05192896,-0.05192896
-5.93396698,1.16614281,-1.16614282,0.00267039,-0.00267039,0.30166103,-0.30166103,0.69949982,-0.69949984,0.35488183,-0.35488183,0.27656606,-0.27656606,0.00000000,-0.00000000,0.19070816,-0.19070816,0.05219908,-0.05219908
-5.92796398,1.18864838,-1.18864839,0.00264301,-0.00264301,0.31021792,-0.31021793,0.72463516,-0.72463518,0.35783544,-0.35783544,0.28242113,-0.28242113,0.00000000,-0.00000000,0.18931073,-0.18931073,0.05248625,-0.05248625
-5.92196098,1.21262728,-1.21262730,0.00261844,-0.00261844,0.31894095,-0.31894096,0.74961702,-0.74961704,0.36170270,-0.36170270,0.28872405,-0.28872406,0.00000000,-0.00000000,0.18896829,-0.18896829,0.05279406,-0.05279406
-5.91595798,1.23732556,-1.23732558,0.00259868,-0.00259868,0.32748722,-0.32748722,0.77395023,-0.77395024,0.36607116,-0.36607117,0.29544258,-0.29544258,0.00000000,-0.00000000,0.18975285,-0.18975285,0.05312961,-0.05312961
-5.90995498,1.26205680,-1.26205682,0.00258585,-0.00258585,0.33553599,-0.33553600,0.79718119,-0.79718120,0.37055274,-0.37055274,0.30255389,-0.30255389,0.00000000,-0.00000000,0.19173778,-0.19173778,0.05350294,-0.05350294
-5.90395198,1.28621495,-1.28621497,0.00258207,-0.00258207,0.34279692,-0.34279692,0.81890779,-0.81890780,0.37479317,-0.37479318,0.31004318,-0.31004318,0.00000000,-0.00000000,0.19499332,-0.19499332,0.05392620,-0.05392620
-5.89794897,1.30928234,-1.30928236,0.00258940,-0.00258940,0.34901676,-0.34901677,0.83878673,-0.83878674,0.37847979,-0.37847979,0.31790129,-0.31790130,0.00000000,-0.00000000,0.19958118,-0.19958118,0.05441268,-0.05441268
-5.89194597,1.33083282,-1.33083282,0.00260969,-0.00260969,0.35398466,-0.35398466,0.85653817,-0.85653818,0.38134714,-0.38134715,0.32612160,-0.32612160,0.00000000,-0.00000000,0.20554877,-0.20554877,0.05497573,-0.05497573
-5.88594297,1.35053025,-1.35053026,0.00264452,-0.00264452,0.35753559,-0.35753559,0.87194751,-0.87194751,0.38318068,-0.38318069,0.33469615,-0.33469615,0.00000000,-0.00000000,0.21292319,-0.21292319,0.05562763,-0.05562763
-5.87993997,1.36812289,-1.36812289,0.00269510,-0.00269510,0.35955218,-0.35955218,0.88486437,-0.88486437,0.38381835,-0.38381835,0.34361148,-0.34361148,0.00000000,-0.00000000,0.22170542,-0.22170542,0.05637846,-0.05637846
-5.87393697,1.38343402,-1.38343401,0.00276216,-0.00276216,0.35996474,-0.35996474,0.89519908,-0.89519908,0.38315027,-0.38315027,0.35284430,-0.35284429,0.00000000,-0.00000000,0.23186500,-0.23186500,0.05723503,-0.05723503
-5.86793397,1.39634993,-1.39634991,0.00284592,-0.00284592,0.35874963,-0.35874962,0.90291679,-0.90291677,0.38111663,-0.38111663,0.36235727,-0.36235727,0.00000000,-0.00000000,0.24333559,-0.24333560,0.05819989,-0.05819990
-5.86193097,1.40680592,-1.40680591,0.00294606,-0.00294606,0.35592617,-0.35592616,0.90802978,-0.90802976,0.37770407,-0.37770407,0.37209534,-0.37209534,0.00000000,-0.00000000,0.25601178,-0.25601178,0.05927061,-0.05927061
-5.85592796,1.41477157,-1.41477155,0.00306167,-0.00306167,0.35155229,-0.35155228,0.91058858,-0.91058856,0.37294075,-0.37294075,0.38198272,-0.38198272,0.00000000,-0.00000000,0.26974721,-0.26974721,0.06043916,-0.06043916
-5.84992496,1.42023610,-1.42023608,0.00319125,-0.00319125,0.34571916,-0.34571914,0.91067234,-0.91067232,0.36689050,-0.36689050,0.39192102,-0.39192102,0.00000000,-0.00000000,0.28435457,-0.28435458,0.06169162,-0.06169162
-5.84392196,1.42319511,-1.42319508,0.00333280,-0.00333280,0.33854510,-0.33854508,0.90837923,-0.90837920,0.35964639,-0.35964638,0.40178853,-0.40178852,0.00000000,-0.00000000,0.29960732,-0.29960733,0.06300821,-0.06300822
-5.83791896,1.42363944,-1.42363941,0.00348381,-0.00348381,0.33016921,-0.33016919,0.90381745,-0.90381742,0.35132401,-0.35132400,0.41144101,-0.41144101,0.00000000,-0.00000000,0.31524331,-0.31524331,0.06436356,-0.06436356
-5.83191596,1.42154712,-1.42154708,0.00364139,-0.00364139,0.32074487,-0.32074485,0.89709747,-0.89709744,0.34205488,-0.34205487,0.42071403,-0.42071403,0.00000000,-0.00000000,0.33097033,-0.33097033,0.06572727,-0.06572727
-5.82591296,1.41687886,-1.41687882,0.00380234,-0.00380234,0.31043356,-0.31043354,0.88832597,-0.88832593,0.33198026,-0.33198025,0.42942675,-0.42942675,0.00000000,-0.00000000,0.34647338,-0.34647339,0.06706487,-0.06706487
-5.81990995,1.40957754,-1.40957750,0.00396328,-0.00396328,0.29939920,-0.29939919,0.87760176,-0.87760172,0.32124565,-0.32124564,0.43738730,-0.43738730,0.00000000,-0.00000000,0.36142350,-0.36142350,0.06833896,-0.06833896
-5.81390695,1.39957178,-1.39957174,0.00412079,-0.00412079,0.28780329,-0.28780327,0.86501409,-0.86501405,0.30999614,-0.30999612,0.44439936,-0.44439935,0.00000000,-0.00000000,0.37548774,-0.37548774,0.06951055,-0.06951055
-5.80790395,1.38678330,-1.38678326,0.00427156,-0.00427156,0.27580094,-0.27580093,0.85064316,-0.85064312,0.29837285,-0.29837284,0.45026982,-0.45026981,0.00000000,-0.00000000,0.38834009,-0.38834009,0.07054064,-0.07054064
-5.80190095,1.37113774,-1.37113770,0.00441248,-0.00441248,0.26353800,-0.26353798,0.83456287,-0.83456284,0.28651050,-0.28651049,0.45481713,-0.45481712,0.00000000,-0.00000000,0.39967273,-0.39967274,0.07139182,-0.07139182
-5.79589795,1.35257808,-1.35257804,0.00454085,-0.00454085,0.25114920,-0.25114918,0.81684541,-0.81684537,0.27453599,-0.27453598,0.45787994,-0.45787993,0.00000000,-0.00000000,0.40920727,-0.40920727,0.07202994,-0.07202994
-5.78989495,1.33107990,-1.33107986,0.00465442,-0.00465442,0.23875736,-0.23875735,0.79756730,-0.79756726,0.26256818,-0.26256817,0.45932562,-0.45932561,0.00000000,-0.00000000,0.41670531,-0.41670531,0.07242568,-0.07242568
-5.78389195,1.30666732,-1.30666728,0.00475159,-0.00475159,0.22647359,-0.22647357,0.77681639,-0.77681635,0.25071851,-0.25071850,0.45905821,-0.45905820,0.00000000,-0.00000000,0.42197811,-0.42197811,0.07255599,-0.07255599
-5.77788894,1.27942862,-1.27942858,0.00483142,-0.00483142,0.21439817,-0.21439815,0.75469914,-0.75469911,0.23909240,-0.23909239,0.45702532,-0.45702531,0.00000000,-0.00000000,0.42489468,-0.42489468,0.07240538,-0.07240538
-5.77188594,1.24953040,-1.24953036,0.00489372,-0.00489372,0.20262221,-0.20262219,0.73134759,-0.73134755,0.22779128,-0.22779127,0.45322369,-0.45322368,0.00000000,-0.00000000,0.42538801,-0.42538801,0.07196679,-0.07196679
-5.76588294,1.21722926,-1.21722923,0.00493911,-0.00493911,0.19122965,-0.19122964,0.70692540,-0.70692537,0.21691491,-0.21691490,0.44770299,-0.44770298,0.00000000,-0.00000000,0.42345920,-0.42345920,0.07124229,-0.07124229
-5.75987994,1.18288023,-1.18288019,0.00496896,-0.00496896,0.18029951,-0.18029950,0.68163252,-0.68163249,0.20656386,-0.20656385,0.44056763,-0.44056762,0.00000000,-0.00000000,0.41917924,-0.41917924,0.07024336,-0.07024335
-5.75387694,1.14694116,-1.14694113,0.00498542,-0.00498542,0.16990818,-0.16990817,0.65570784,-0.65570781,0.19684190,-0.19684190,0.43197655,-0.43197654,0.00000000,-0.00000000,0.41268833,-0.41268833,0.06899071,-0.06899071
-5.74787394,1.10997286,-1.10997284,0.00499131,-0.00499131,0.16013154,-0.16013153,0.62942978,-0.62942975,0.18785820,-0.18785820,0.42214080,-0.42214079,0.00000000,-0.00000000,0.40419289,-0.40419289,0.06751388,-0.06751388
-5.74187094,1.07263459,-1.07263457,0.00499010,-0.00499010,0.15104680,-0.15104679,0.60311445,-0.60311442,0.17972901,-0.17972900,0.41131913,-0.41131913,0.00000000,-0.00000000,0.39396022,-0.39396022,0.06585039,-0.06585039
-5.73586793,1.03567522,-1.03567520,0.00498574,-0.00498574,0.14273390,-0.14273389,0.57711149,-0.57711146,0.17257888,-0.17257888,0.39981174,-0.39981174,0.00000000,-0.00000000,0.38231125,-0.38231124,0.06404455,-0.06404455
-5.72986493,0.99992026,-0.99992024,0.00498257,-0.00498257,0.13527639,-0.13527638,0.55179767,-0.55179765,0.16654127,-0.16654127,0.38795236,-0.38795235,0.00000000,-0.00000000,0.36961150,-0.36961150,0.06214610,-0.06214610
-5.72386193,0.96625537,-0.96625536,0.00498520,-0.00498520,0.12876179,-0.12876179,0.52756863,-0.52756861,0.16175849,-0.16175849,0.37609920,-0.37609920,0.00000000,-0.00000000,0.35626080,-0.35626080,0.06020859,-0.06020859
-5.71785893,0.93560701,-0.93560700,0.00499834,-0.00499834,0.12328137,-0.12328136,0.50482899,-0.50482897,0.15838094,-0.15838095,0.36462506,-0.36462506,0.00000000,-0.00000000,0.34268205,-0.34268205,0.05828764,-0.05828764
-5.71185593,0.90892104,-0.90892104,0.00502670,-0.00502670,0.11892935,-0.11892935,0.48398152,-0.48398151,0.15656577,-0.15656578,0.35390698,-0.35390698,0.00000000,-0.00000000,0.32930952,-0.32930952,0.05643919,-0.05643919
-5.70585293,0.88714018,-0.88714019,0.00507483,-0.00507483,0.11580173,-0.11580173,0.46541573,-0.46541571,0.15647489,-0.15647490,0.34431592,-0.34431592,0.00000000,-0.00000000,0.31657712,-0.31657712,0.05471771,-0.05471771
-5.69984992,0.87118101,-0.87118102,0.00514699,-0.00514699,0.11399451,-0.11399451,0.44949650,-0.44949649,0.15827244,-0.15827245,0.33620695,-0.33620695,0.00000000,-0.00000000,0.30490695,-0.30490695,0.05317460,-0.05317460
-5.69384692,0.86191153,-0.86191155,0.00524712,-0.00524712,0.11360178,-0.11360178,0.43655334,-0.43655333,0.16212177,-0.16212179,0.32991005,-0.32991006,0.00000000,-0.00000000,0.29469858,-0.29469857,0.05185662,-0.05185662
-5.68784392,0.86012977,-0.86012980,0.00537865,-0.00537865,0.11471340,-0.11471340,0.42687067,-0.42687067,0.16818208,-0.16818210,0.32572210,-0.32572211,0.00000000,-0.00000000,0.28631920,-0.28631920,0.05080467,-0.05080467
-5.68184092,0.86654418,-0.86654422,0.00554452,-0.00554452,0.11741259,-0.11741260,0.42067964,-0.42067964,0.17660461,-0.17660463,0.32390006,-0.32390007,0.00000000,-0.00000000,0.28009507,-0.28009507,0.05005269,-0.05005269
-5.67583792,0.88175610,-0.88175615,0.00574707,-0.00574707,0.12177351,-0.12177352,0.41815177,-0.41815177,0.18752871,-0.18752873,0.32465557,-0.32465558,0.00000000,-0.00000000,0.27630412,-0.27630412,0.04962686,-0.04962686
-5.66983492,0.90624481,-0.90624486,0.00598803,-0.00598803,0.12785880,-0.12785881,0.41939467,-0.41939468,0.20107767,-0.20107769,0.32815103,-0.32815105,0.00000000,-0.00000000,0.27517010,-0.27517010,0.04954514,-0.04954514
-5.66383192,0.94035519,-0.94035526,0.00626850,-0.00626850,0.13571730,-0.13571731,0.42445003,-0.42445004,0.21735455,-0.21735458,0.33449710,-0.33449712,0.00000000,-0.00000000,0.27685807,-0.27685807,0.04981698,-0.04981698
-5.65782891,0.98428824,-0.98428831,0.00658890,-0.00658890,0.14538194,-0.14538195,0.43329380,-0.43329381,0.23643800,-0.23643803,0.34375152,-0.34375155,0.00000000,-0.00000000,0.28147135,-0.28147135,0.05044331,-0.05044331
-5.65182591,1.03809432,-1.03809440,0.00694900,-0.00694900,0.15686800,-0.15686801,0.44583858,-0.44583860,0.25837826,-0.25837829,0.35591924,-0.35591927,0.00000000,-0.00000000,0.28904983,-0.28904984,0.05141679,-0.05141680
-5.64582291,1.10166924,-1.10166933,0.00734793,-0.00734793,0.17017162,-0.17017163,0.46193803,-0.46193805,0.28319340,-0.28319344,0.37095352,-0.37095355,0.00000000,-0.00000000,0.29956958,-0.29956959,0.05272224,-0.05272224
-5.63981991,1.17475302,-1.17475313,0.00778409,-0.00778409,0.18526881,-0.18526883,0.48139302,-0.48139304,0.31086605,-0.31086610,0.38875796,-0.38875799,0.00000000,-0.00000000,0.31294366,-0.31294367,0.05433717,-0.05433717
-5.63381691,1.25693139,-1.25693151,0.00825523,-0.00825523,0.20211493,-0.20211495,0.50395928,-0.50395930,0.34134059,-0.34134064,0.40918920,-0.40918923,0.00000000,-0.00000000,0.32902411,-0.32902412,0.05623253,-0.05623253
-5.62781391,1.34763977,-1.34763989,0.00875841,-0.00875841,0.22064461,-0.22064464,0.52935616,-0.52935618,0.37452108,-0.37452114,0.43206015,-0.43206018,0.00000000,-0.00000000,0.34760494,-0.34760496,0.05837349,-0.05837349
-5.62181091,1.44616995,-1.44617009,0.00928995,-0.00928995,0.24077230,-0.24077233,0.55727605,-0.55727608,0.41027013,-0.41027019,0.45714355,-0.45714359,0.00000000,-0.00000000,0.36842619,-0.36842621,0.06072028,-0.06072028
-5.61580790,1.55167929,-1.55167944,0.00984547,-0.00984547,0.26239331,-0.26239334,0.58739423,-0.58739426,0.44840861,-0.44840867,0.48417583,-0.48417587,0.00000000,-0.00000000,0.39117885,-0.39117886,0.06322910,-0.06322910
-5.60980490,1.66320236,-1.66320251,0.01041985,-0.01041986,0.28538542,-0.28538545,0.61937853,-0.61937857,0.48871655,-0.48871662,0.51286110,-0.51286114,0.00000000,-0.00000000,0.41551066,-0.41551068,0.06585300,-0.06585300
-5.60380190,1.77966515,-1.77966530,0.01100726,-0.01100726,0.30961096,-0.30961099,0.65289865,-0.65289869,0.53093529,-0.53093536,0.54287528,-0.54287532,0.00000000,-0.00000000,0.44103284,-0.44103286,0.06854280,-0.06854280
-5.59779890,1.89990160,-1.89990176,0.01160114,-0.01160114,0.33491940,-0.33491943,0.68763456,-0.68763460,0.57477067,-0.57477074,0.57387035,-0.57387040,0.00000000,-0.00000000,0.46732739,-0.46732741,0.07124796,-0.07124797
-5.59179590,2.02267244,-2.02267260,0.01219427,-0.01219427,0.36115024,-0.36115028,0.72328388,-0.72328392,0.61989759,-0.61989766,0.60547871,-0.60547876,0.00000000,-0.00000000,0.49395520,-0.49395522,0.07391752,-0.07391753
-5.58579290,2.14668599,-2.14668616,0.01277880,-0.01277880,0.38813626,-0.38813630,0.75956791,-0.75956795,0.66596562,-0.66596569,0.63731770,-0.63731774,0.00000000,-0.00000000,0.52046471,-0.52046473,0.07650090,-0.07650091
-5.57978989,2.27062069,-2.27062086,0.01334640,-0.01334640,0.41570679,-0.41570683,0.79623606,-0.79623611,0.71260557,-0.71260564,0.66899433,-0.66899437,0.00000000,-0.00000000,0.54640091,-0.54640094,0.07894880,-0.07894881
-5.57378689,2.39314887,-2.39314905,0.01388835,-0.01388835,0.44369113,-0.44369117,0.83306870,-0.83306875,0.75943688,-0.75943695,0.70011029,-0.70011033,0.00000000,-0.00000000,0.57131478,-0.57131480,0.08121403,-0.08121403
-5.56778389,2.51296131,-2.51296149,0.01439570,-0.01439570,0.47192170,-0.47192174,0.86987831,-0.86987836,0.80607550,-0.80607557,0.73026715,-0.73026719,0.00000000,-0.00000000,0.59477264,-0.59477266,0.08325230,-0.08325230
-5.56178089,2.62879185,-2.62879202,0.01485951,-0.01485951,0.50023704,-0.50023708,0.90650893,-0.90650899,0.85214196,-0.85214204,0.75907194,-0.75907198,0.00000000,-0.00000000,0.61636549,-0.61636551,0.08502306,-0.08502306
