energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.93512633,0.02297911,0.01702360,0.01286450,0.61272918,0.25278690,0.16973422,0.28770656,0.05968855
-5.99399700,0.88046083,0.02118162,0.01630811,0.01232526,0.57621420,0.23080304,0.16263291,0.26717962,0.05598579
-5.98799400,0.82561990,0.01944304,0.01554645,0.01173955,0.53974485,0.21018604,0.15495146,0.24717319,0.05234196
-5.98199100,0.77100469,0.01777195,0.01474840,0.01111502,0.50357799,0.19098918,0.14678441,0.22779157,0.04877572
-5.97598799,0.71704574,0.01617555,0.01392512,0.01045993,0.46798954,0.17325957,0.13823740,0.20913557,0.04530888
-5.96998499,0.66419417,0.01465978,0.01308895,0.00978291,0.43326909,0.15704008,0.12942382,0.19130193,0.04196583
-5.96398199,0.61291267,0.01322936,0.01225298,0.00909274,0.39971440,0.14237146,0.12046146,0.17438281,0.03877297
-5.95797899,0.56366675,0.01188797,0.01143083,0.00839810,0.36762609,0.12929434,0.11146916,0.15846541,0.03575813
-5.95197599,0.51691640,0.01063835,0.01063630,0.00770739,0.33730255,0.11785105,0.10256375,0.14363158,0.03295007
-5.94597299,0.47310864,0.00948237,0.00988312,0.00702849,0.30903534,0.10808731,0.09385716,0.12995767,0.03037795
-5.93996998,0.43267100,0.00842115,0.00918470,0.00636862,0.28310521,0.10005344,0.08545409,0.11751441,0.02807093
-5.93396698,0.39600617,0.00745519,0.00855393,0.00573419,0.25977876,0.09380532,0.07745003,0.10636695,0.02605772
-5.92796398,0.36348793,0.00658449,0.00800302,0.00513072,0.23930580,0.08940472,0.06992989,0.09657508,0.02436630
-5.92196098,0.33545819,0.00580861,0.00754336,0.00456274,0.22191737,0.08691934,0.06296709,0.08819346,0.02302361
-5.91595798,0.31222514,0.00512682,0.00718541,0.00403382,0.20782440,0.08642207,0.05662323,0.08127200,0.02205528
-5.90995498,0.29406222,0.00453821,0.00693868,0.00354655,0.19721674,0.08798984,0.05094814,0.07585619,0.02148545
-5.90395198,0.28120782,0.00404180,0.00681167,0.00310258,0.19026252,0.09170175,0.04598043,0.07198737,0.02133651
-5.89794897,0.27386526,0.00363664,0.00681182,0.00270274,0.18710770,0.09763669,0.04174830,0.06970293,0.02162891
-5.89194597,0.27220278,0.00332189,0.00694557,0.00234706,0.18787539,0.10587028,0.03827060,0.06903626,0.02238094
-5.88594297,0.27635345,0.00309691,0.00721828,0.00203493,0.19266512,0.11647132,0.03555806,0.07001639,0.02360842
-5.87993997,0.28641452,0.00296134,0.00763429,0.00176520,0.20155167,0.12949775,0.03361459,0.07266742,0.02532442
-5.87393697,0.30244619,0.00291508,0.00819687,0.00153629,0.21458343,0.14499226,0.03243848,0.07700744,0.02753894
-5.86793397,0.32446976,0.00295830,0.00890825,0.00134627,0.23178037,0.16297758,0.03202363,0.08304723,0.03025850
-5.86193097,0.35246493,0.00309146,0.00976956,0.00119304,0.25313150,0.18345183,0.03236050,0.09078845,0.03348576
-5.85592796,0.38636659,0.00331519,0.01078084,0.00107432,0.27859196,0.20638384,0.03343699,0.10022163,0.03721908
-5.84992496,0.42606109,0.00363021,0.01194098,0.00098781,0.30807998,0.23170887,0.03523901,0.11132386,0.04145214
-5.84392196,0.47138226,0.00403719,0.01324771,0.00093119,0.34147368,0.25932489,0.03775091,0.12405635,0.04617354
-5.83791896,0.52210752,0.00453664,0.01469755,0.00090218,0.37860814,0.28908949,0.04095561,0.13836199,0.05136647
-5.83191596,0.57795438,0.00512867,0.01628578,0.00089860,0.41927285,0.32081791,0.04483456,0.15416302,0.05700848
-5.82591296,0.63857755,0.00581288,0.01800642,0.00091830,0.46320992,0.35428210,0.04936759,0.17135902,0.06307133
-5.81990995,0.70356730,0.00658810,0.01985223,0.00095927,0.51011308,0.38921114,0.05453254,0.18982527,0.06952094
-5.81390695,0.77244903,0.00745229,0.02181467,0.00101953,0.55962793,0.42529301,0.06030486,0.20941182,0.07631754
-5.80790395,0.84468459,0.00840233,0.02388393,0.00109717,0.61135344,0.46217787,0.06665714,0.22994320,0.08341588
-5.80190095,0.91967540,0.00943394,0.02604895,0.00119032,0.66484489,0.49948278,0.07355868,0.25121904,0.09076568
-5.79589795,0.99676759,0.01054157,0.02829748,0.00129712,0.71961831,0.53679775,0.08097509,0.27301559,0.09831217
-5.78989495,1.07525915,0.01171840,0.03061610,0.00141572,0.77515647,0.57369313,0.08886799,0.29508825,0.10599678
-5.78389195,1.15440906,0.01295633,0.03299031,0.00154425,0.83091621,0.60972798,0.09719488,0.31717504,0.11375800
-5.77788894,1.23344831,0.01424613,0.03540465,0.00168079,0.88633715,0.64445934,0.10590908,0.33900104,0.12153231
-5.77188594,1.31159250,0.01557753,0.03784277,0.00182341,0.94085152,0.67745199,0.11495994,0.36028362,0.12925518
-5.76588294,1.38805583,0.01693941,0.04028764,0.00197016,0.99389471,0.70828842,0.12429317,0.38073834,0.13686223
-5.75987994,1.46206591,0.01832011,0.04272166,0.00211907,1.04491654,0.73657876,0.13385140,0.40008544,0.14429031
-5.75387694,1.53287919,0.01970763,0.04512686,0.00226817,1.09339259,0.76197016,0.14357482,0.41805646,0.15147871
-5.74787394,1.59979635,0.02108998,0.04748519,0.00241553,1.13883544,0.78415548,0.15340204,0.43440099,0.15837026
-5.74187094,1.66217724,0.02245544,0.04977872,0.00255927,1.18080537,0.80288078,0.16327102,0.44889310,0.16491246
-5.73586793,1.71945476,0.02379285,0.05198996,0.00269764,1.21892012,0.81795153,0.17312003,0.46133733,0.17105852
-5.72986493,1.77114743,0.02509185,0.05410219,0.00282896,1.25286350,0.82923724,0.18288872,0.47157389,0.17676832
-5.72386193,1.81686988,0.02634309,0.05609978,0.00295175,1.28239235,0.83667427,0.19251907,0.47948281,0.18200929
-5.71785893,1.85634127,0.02753837,0.05796863,0.00306470,1.30734186,0.84026689,0.20195637,0.48498703,0.18675719
-5.71185593,1.88939099,0.02867068,0.05969651,0.00316670,1.32762880,0.84008647,0.21115002,0.48805410,0.19099669
-5.70585293,1.91596181,0.02973418,0.06127344,0.00325687,1.34325287,0.83626883,0.22005429,0.48869652,0.19472190
-5.69984992,1.93611015,0.03072419,0.06269213,0.00333457,1.35429589,0.82900998,0.22862891,0.48697067,0.19793673
-5.69384692,1.95000372,0.03163693,0.06394831,0.00339938,1.36091905,0.81856031,0.23683950,0.48297441,0.20065511
-5.68784392,1.95791656,0.03246942,0.06504103,0.00345109,1.36335848,0.80521767,0.24465793,0.47684348,0.20290102
-5.68184092,1.96022188,0.03321917,0.06597299,0.00348971,1.36191909,0.78931939,0.25206251,0.46874682,0.20470843
-5.67583792,1.95738300,0.03388397,0.06675068,0.00351546,1.35696737,0.77123379,0.25903812,0.45888108,0.20612107
-5.66983492,1.94994289,0.03446162,0.06738453,0.00352869,1.34892311,0.75135136,0.26557627,0.44746459,0.20719206
-5.66383192,1.93851262,0.03494972,0.06788890,0.00352990,1.33825066,0.73007613,0.27167510,0.43473105,0.20798336
-5.65782891,1.92375940,0.03534549,0.06828201,0.00351971,1.32545004,0.70781733,0.27733942,0.42092325,0.20856511
-5.65182591,1.90639452,0.03564567,0.06858570,0.00349883,1.31104805,0.68498178,0.28258070,0.40628705,0.20901480
-5.64582291,1.88716147,0.03584653,0.06882506,0.00346804,1.29558989,0.66196723,0.28741708,0.39106586,0.20941626
-5.63981991,1.86682476,0.03594391,0.06902801,0.00342817,1.27963136,0.63915669,0.29187336,0.37549595,0.20985855
-5.63381691,1.84615940,0.03593337,0.06922465,0.00338010,1.26373166,0.61691403,0.29598095,0.35980255,0.21043461
-5.62781391,1.82594117,0.03581045,0.06944656,0.00332477,1.24844711,0.59558068,0.29977779,0.34419694,0.21123977
-5.62181091,1.80693772,0.03557096,0.06972598,0.00326319,1.23432538,0.57547352,0.30330807,0.32887452,0.21237012
-5.61580790,1.78990031,0.03521138,0.07009488,0.00319640,1.22190038,0.55688377,0.30662186,0.31401393,0.21392071
-5.60980490,1.77555597,0.03472917,0.07058399,0.00312558,1.21168758,0.54007670,0.30977447,0.29977695,0.21598356
-5.60380190,1.76460002,0.03412324,0.07122181,0.00305198,1.20417946,0.52529199,0.31282558,0.28630916,0.21864562
-5.59779890,1.75768853,0.03339426,0.07203357,0.00297700,1.19984101,0.51274450,0.31583809,0.27374127,0.22198664
-5.59179590,1.75543079,0.03254501,0.07304027,0.00290218,1.19910516,0.50262522,0.31887667,0.26219080,0.22607701
-5.58579290,1.75838155,0.03158059,0.07425779,0.00282923,1.20236785,0.49510217,0.32200608,0.25176394,0.23097563
-5.57978989,1.76703313,0.03050863,0.07569608,0.00276006,1.20998300,0.49032113,0.32528923,0.24255754,0.23672796
-5.57378689,1.78180748,0.02933931,0.07735854,0.00269672,1.22225717,0.48840605,0.32878522,0.23466096,0.24336425
-5.56778389,1.80304856,0.02808533,0.07924160,0.00264148,1.23944420,0.48945905,0.33254722,0.22815760,0.25089800
-5.56178089,1.83101517,0.02676180,0.08133445,0.00259672,1.26174016,0.49356009,0.33662055,0.22312621,0.25932496
-5.55577789,1.86587497,0.02538592,0.08361914,0.00256498,1.28927865,0.50076627,0.34104087,0.21964172,0.26862247
-5.54977489,1.90769985,0.02397674,0.08607081,0.00254888,1.32212702,0.51111090,0.34583285,0.21777565,0.27874936
-5.54377189,1.95646326,0.02255474,0.08865829,0.00255106,1.36028378,0.52460252,0.35100920,0.21759613,0.28964649
-5.53776888,2.01203992,0.02114138,0.09134493,0.00257416,1.40367742,0.54122397,0.35657025,0.21916750,0.30123784
-5.53176588,2.07420812,0.01975867,0.09408963,0.00262068,1.45216705,0.56093165,0.36250422,0.22254964,0.31343222
-5.52576288,2.14265473,0.01842872,0.09684819,0.00269297,1.50554489,0.58365527,0.36878805,0.22779696,0.32612552
-5.51975988,2.21698307,0.01717327,0.09957467,0.00279311,1.56354059,0.60929793,0.37538889,0.23495721,0.33920349
-5.51375688,2.29672315,0.01601326,0.10222304,0.00292284,1.62582748,0.63773684,0.38226614,0.24407012,0.35254482
-5.50775388,2.38134406,0.01496851,0.10474874,0.00308344,1.69203023,0.66882465,0.38937385,0.25516602,0.36602458
-5.50175088,2.47026787,0.01405734,0.10711033,0.00327570,1.76173385,0.70239115,0.39666353,0.26826422,0.37951768
-5.49574787,2.56288428,0.01329634,0.10927094,0.00349980,1.83449324,0.73824554,0.40408694,0.28337150,0.39290231
-5.48974487,2.65856520,0.01270009,0.11119971,0.00375526,1.90984300,0.77617890,0.41159895,0.30048049,0.40606314
-5.48374187,2.75667846,0.01228102,0.11287285,0.00404091,1.98730678,0.81596676,0.41915996,0.31956796,0.41889420
-5.47773887,2.85659980,0.01204925,0.11427460,0.00435481,2.06640570,0.85737166,0.42673799,0.34059317,0.43130119
-5.47173587,2.95772241,0.01201245,0.11539772,0.00469426,2.14666526,0.90014534,0.43431010,0.36349603,0.44320321
-5.46573287,3.05946357,0.01217576,0.11624368,0.00505581,2.22762036,0.94403064,0.44186311,0.38819539,0.45453378
-5.45972986,3.16126788,0.01254167,0.11682257,0.00543528,2.30881829,0.98876271,0.44939347,0.41458720,0.46524113
-5.45372686,3.26260715,0.01310997,0.11715252,0.00582779,2.38981938,1.03406980,0.45690633,0.44254280,0.47528780
-5.44772386,3.36297705,0.01387761,0.11725885,0.00622787,2.47019572,1.07967328,0.46441386,0.47190735,0.48464955
-5.44172086,3.46189093,0.01483865,0.11717294,0.00662957,2.54952784,1.12528728,0.47193282,0.50249844,0.49331363
-5.43571786,3.55887147,0.01598418,0.11693075,0.00702653,2.62740020,1.17061787,0.47948166,0.53410518,0.50127672
-5.42971486,3.65344110,0.01730224,0.11657127,0.00741217,2.70339569,1.21536212,0.48707718,0.56648771,0.50854240
-5.42371186,3.74511205,0.01877777,0.11613474,0.00777984,2.77709009,1.25920719,0.49473114,0.59937744,0.51511859
-5.41770885,3.83337714,0.02039266,0.11566095,0.00812298,2.84804702,1.30182979,0.50244689,0.63247808,0.52101497
-5.41170585,3.91770238,0.02212576,0.11518742,0.00843529,2.91581415,1.34289624,0.51021642,0.66546765,0.52624053
-5.40570285,3.99752217,0.02395301,0.11474788,0.00871091,2.97992133,1.38206342,0.51801785,0.69800153,0.53080158
-5.39969985,4.07223811,0.02584768,0.11437079,0.00894459,3.03988109,1.41898073,0.52581372,0.72971660,0.53470005
-5.39369685,4.14122165,0.02778066,0.11407819,0.00913184,3.09519185,1.45329340,0.53355013,0.76023658,0.53793251
-5.38769385,4.20382115,0.02972084,0.11388483,0.00926903,3.14534408,1.48464691,0.54115685,0.78917837,0.54048966
-5.38169085,4.25937304,0.03163565,0.11379764,0.00935353,3.18982929,1.51269283,0.54854838,0.81615939,0.54235652
-5.37568784,4.30721697,0.03349165,0.11381553,0.00938377,3.22815151,1.53709565,0.55562602,0.84080575,0.54351315
-5.36968484,4.34671407,0.03525520,0.11392959,0.00935928,3.25984084,1.55754055,0.56228073,0.86276086,0.54393600
-5.36368184,4.37726758,0.03689324,0.11412359,0.00928067,3.28446848,1.57374182,0.56839679,0.88169437,0.54359955
-5.35767884,4.39834469,0.03837409,0.11437481,0.00914966,3.30166219,1.58545135,0.57385584,0.89731099,0.54247842
-5.35167584,4.40949834,0.03966828,0.11465512,0.00896892,3.31112152,1.59246707,0.57854136,0.90935887,0.54054952
-5.34567284,4.41038777,0.04074931,0.11493225,0.00874208,3.31263187,1.59464061,0.58234305,0.91763713,0.53779434
-5.33966983,4.40079648,0.04159447,0.11517129,0.00847352,3.30607633,1.59188396,0.58516114,0.92200233,0.53420108
-5.33366683,4.38064663,0.04218551,0.11533611,0.00816828,3.29144477,1.58417461,0.58691016,0.92237334,0.52976653
-5.32766383,4.35000887,0.04250917,0.11539097,0.00783186,3.26883942,1.57155889,0.58752218,0.91873457,0.52449763
-5.32166083,4.30910701,0.04255767,0.11530188,0.00747008,3.23847663,1.55415338,0.58694922,0.91113731,0.51841256
-5.31565783,4.25831721,0.04232894,0.11503802,0.00708891,3.20068449,1.53214396,0.58516480,0.89969902,0.51154136
-5.30965483,4.19816169,0.04182675,0.11457285,0.00669429,3.15589656,1.50578292,0.58216458,0.88460068,0.50392606
-5.30365183,4.12929724,0.04106062,0.11388505,0.00629199,3.10464189,1.47538378,0.57796608,0.86608223,0.49562018
-5.29764882,4.05249926,0.04004553,0.11295925,0.00588746,3.04753194,1.44131440,0.57260758,0.84443634,0.48668794
-5.29164582,3.96864215,0.03880154,0.11178647,0.00548573,2.98524498,1.40398850,0.56614627,0.82000068,0.47720292
-5.28564282,3.87867712,0.03735320,0.11036431,0.00509129,2.91850904,1.36385595,0.55865595,0.79314922,0.46724647
-5.27963982,3.78360864,0.03572881,0.10869688,0.00470805,2.84808404,1.32139247,0.55022417,0.76428271,0.45690589
-5.27363682,3.68447078,0.03395965,0.10679452,0.00433931,2.77474417,1.27708892,0.54094938,0.73381893,0.44627252
