energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.40707625,-2.40707625,0.01807205,-0.01807205,0.26088979,-0.26088979,0.82306009,-0.82306009,0.45606602,-0.45606602,0.07330217,-0.07330217,1.01501720,-1.01501720
-5.99399700,2.33974733,-2.33974733,0.01625591,-0.01625591,0.25981258,-0.25981258,0.83240338,-0.83240338,0.43437425,-0.43437425,0.06922702,-0.06922702,0.98314663,-0.98314663
-5.98799400,2.28156879,-2.28156879,0.01474940,-0.01474940,0.25947857,-0.25947857,0.84219516,-0.84219515,0.41615201,-0.41615201,0.06527445,-0.06527445,0.95482863,-0.95482863
-5.98199100,2.23245639,-2.23245639,0.01353099,-0.01353099,0.25980369,-0.25980369,0.85237168,-0.85237168,0.40136134,-0.40136134,0.06146866,-0.06146866,0.93015975,-0.93015975
-5.97598799,2.19246421,-2.19246421,0.01258036,-0.01258036,0.26072943,-0.26072943,0.86297153,-0.86297153,0.38997085,-0.38997085,0.05783550,-0.05783550,0.90928792,-0.90928792
-5.96998499,2.16177419,-2.16177419,0.01187883,-0.01187883,0.26222426,-0.26222426,0.87413174,-0.87413174,0.38195578,-0.38195578,0.05440145,-0.05440145,0.89240366,-0.89240366
-5.96398199,2.14067754,-2.14067754,0.01140959,-0.01140959,0.26428365,-0.26428365,0.88607956,-0.88607956,0.37729642,-0.37729642,0.05119261,-0.05119261,0.87972871,-0.87972871
-5.95797899,2.12954954,-2.12954954,0.01115775,-0.01115775,0.26692849,-0.26692849,0.89912036,-0.89912036,0.37597532,-0.37597532,0.04823376,-0.04823376,0.87150263,-0.87150263
-5.95197599,2.12881875,-2.12881875,0.01111029,-0.01111029,0.27020236,-0.27020236,0.91362189,-0.91362189,0.37797338,-0.37797338,0.04554755,-0.04554755,0.86796802,-0.86796801
-5.94597299,2.13893243,-2.13893243,0.01125582,-0.01125582,0.27416746,-0.27416746,0.92999582,-0.92999582,0.38326511,-0.38326510,0.04315384,-0.04315384,0.86935512,-0.86935512
-5.93996998,2.16031997,-2.16031997,0.01158430,-0.01158430,0.27889968,-0.27889968,0.94867722,-0.94867722,0.39181354,-0.39181354,0.04106914,-0.04106914,0.87586659,-0.87586659
-5.93396698,2.19335630,-2.19335630,0.01208664,-0.01208664,0.28448287,-0.28448287,0.97010287,-0.97010286,0.40356511,-0.40356511,0.03930635,-0.03930635,0.88766307,-0.88766307
-5.92796398,2.23832715,-2.23832715,0.01275426,-0.01275426,0.29100284,-0.29100283,0.99468963,-0.99468963,0.41844485,-0.41844485,0.03787457,-0.03787457,0.90485047,-0.90485046
-5.92196098,2.29539814,-2.29539813,0.01357862,-0.01357862,0.29854115,-0.29854115,1.02281364,-1.02281364,0.43635232,-0.43635231,0.03677913,-0.03677913,0.92746949,-0.92746949
-5.91595798,2.36458939,-2.36458938,0.01455076,-0.01455076,0.30716929,-0.30716929,1.05479143,-1.05479143,0.45715865,-0.45715865,0.03602180,-0.03602180,0.95548808,-0.95548808
-5.90995498,2.44575704,-2.44575704,0.01566092,-0.01566092,0.31694325,-0.31694325,1.09086381,-1.09086381,0.48070494,-0.48070494,0.03560108,-0.03560108,0.98879711,-0.98879711
-5.90395198,2.53858279,-2.53858279,0.01689815,-0.01689815,0.32789903,-0.32789903,1.13118324,-1.13118324,0.50680223,-0.50680223,0.03551272,-0.03551272,1.02720968,-1.02720967
-5.89794897,2.64257205,-2.64257204,0.01825008,-0.01825008,0.34004916,-0.34004916,1.17580523,-1.17580523,0.53523315,-0.53523314,0.03575017,-0.03575018,1.07046400,-1.07046399
-5.89194597,2.75706089,-2.75706088,0.01970276,-0.01970276,0.35338040,-0.35338040,1.22468400,-1.22468400,0.56575538,-0.56575537,0.03630525,-0.03630525,1.11822988,-1.11822987
-5.88594297,2.88123143,-2.88123142,0.02124063,-0.02124063,0.36785276,-0.36785276,1.27767255,-1.27767255,0.59810671,-0.59810671,0.03716873,-0.03716873,1.17011835,-1.17011835
-5.87993997,3.01413478,-3.01413477,0.02284662,-0.02284662,0.38339982,-0.38339982,1.33452682,-1.33452682,0.63201160,-0.63201159,0.03833098,-0.03833098,1.22569398,-1.22569397
-5.87393697,3.15472020,-3.15472019,0.02450236,-0.02450236,0.39993036,-0.39993036,1.39491362,-1.39491362,0.66718882,-0.66718882,0.03978253,-0.03978253,1.28448916,-1.28448915
-5.86793397,3.30186869,-3.30186867,0.02618853,-0.02618853,0.41733108,-0.41733108,1.45842168,-1.45842167,0.70335999,-0.70335999,0.04151464,-0.04151464,1.34601957,-1.34601956
-5.86193097,3.45442913,-3.45442912,0.02788526,-0.02788526,0.43547031,-0.43547031,1.52457495,-1.52457495,0.74025832,-0.74025832,0.04351967,-0.04351967,1.40979986,-1.40979985
-5.85592796,3.61125459,-3.61125458,0.02957261,-0.02957261,0.45420246,-0.45420246,1.59284738,-1.59284738,0.77763720,-0.77763719,0.04579144,-0.04579144,1.47535854,-1.47535853
-5.84992496,3.77123653,-3.77123652,0.03123117,-0.03123117,0.47337290,-0.47337290,1.66267820,-1.66267820,0.81527802,-0.81527801,0.04832534,-0.04832534,1.54225125,-1.54225124
