energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,7.20250160,0.00781480,0.58358752,3.31495395,2.95170428,0.06952535,2.25428431
-5.99399700,7.16961373,0.00753743,0.57569315,3.29667416,2.95405577,0.06991507,2.23258824
-5.98799400,7.12218437,0.00728921,0.56677507,3.27108108,2.94986460,0.07024226,2.20695938
-5.98199100,7.06043900,0.00707029,0.55697150,3.23868121,2.93905381,0.07049446,2.17746664
-5.97598799,6.98483326,0.00688031,0.54643755,3.20011076,2.92168401,0.07065868,2.14421007
-5.96998499,6.89607659,0.00671861,0.53534496,3.15613156,2.89796960,0.07072234,2.10732711
-5.96398199,6.79515107,0.00658428,0.52388208,3.10762588,2.86829093,0.07067430,2.06699843
-5.95797899,6.68332439,0.00647632,0.51225402,3.05559043,2.83320172,0.07050583,2.02345309
-5.95197599,6.56215615,0.00639373,0.50068277,3.00112942,2.79343133,0.07021156,1.97697266
-5.94597299,6.43349641,0.00633568,0.48940734,2.94544682,2.74988144,0.06979030,1.92789423
-5.93996998,6.29947611,0.00630154,0.47868352,2.88983737,2.70361714,0.06924574,1.87661189
-5.93396698,6.16248876,0.00629099,0.46878326,2.83567616,2.65585222,0.06858693,1.82357674
-5.92796398,6.02516296,0.00630410,0.45999339,2.78440620,2.60792898,0.06782854,1.76929506
-5.92196098,5.89032573,0.00634130,0.45261349,2.73752323,2.56129277,0.06699087,1.71432465
-5.91595798,5.76095636,0.00640342,0.44695282,2.69655738,2.51746152,0.06609961,1.65926918
-5.90995498,5.64013117,0.00649164,0.44332606,2.66305084,2.47799094,0.06518539,1.60477047
-5.90395198,5.53095940,0.00660745,0.44204782,2.63853115,2.44443589,0.06428299,1.55149866
-5.89794897,5.43651112,0.00675252,0.44342590,2.62447982,2.41830858,0.06343043,1.50014042
-5.89194597,5.35973809,0.00692859,0.44775333,2.62229629,2.40103465,0.06266779,1.45138511
-5.88594297,5.30338929,0.00713735,0.45529920,2.63325761,2.39390795,0.06203590,1.40590937
-5.87993997,5.26992302,0.00738023,0.46629869,2.65847464,2.39804530,0.06157496,1.36436017
-5.87393697,5.26141806,0.00765825,0.48094243,2.69884601,2.41434249,0.06132301,1.32733710
-5.86793397,5.27948688,0.00797184,0.49936555,2.75501143,2.44343292,0.06131446,1.29537407
-5.86193097,5.32519418,0.00832068,0.52163707,2.82730643,2.48565061,0.06157866,1.26892146
-5.85592796,5.39898443,0.00870351,0.54774988,2.91572080,2.54099898,0.06213858,1.24832914
-5.84992496,5.50062207,0.00911805,0.57761206,3.01986316,2.60912718,0.06300962,1.23383133
-5.84392196,5.62914811,0.00956089,0.61103997,3.13893421,2.68931546,0.06419867,1.22553411
-5.83791896,5.78285650,0.01002743,0.64775377,3.27171096,2.78047087,0.06570340,1.22340614
-5.83191596,5.95929318,0.01051192,0.68737562,3.41654396,2.88113463,0.06751191,1.22727356
-5.82591296,6.15527988,0.01100749,0.72943121,3.57136926,2.98950156,0.06960265,1.23681942
-5.81990995,6.36696404,0.01150627,0.77335477,3.73373587,3.10345222,0.07194469,1.25158800
-5.81390695,6.58989476,0.01199959,0.81849755,3.90084916,3.22059719,0.07449839,1.27099427
-5.80790395,6.81912375,0.01247816,0.86414001,4.06962961,3.33833298,0.07721632,1.29433839
-5.80190095,7.04932881,0.01293235,0.90950726,4.23678550,3.45390793,0.08004457,1.32082468
-5.79589795,7.27495616,0.01335247,0.95378740,4.39889740,3.56449630,0.08292430,1.34958475
-5.78989495,7.49037680,0.01372911,0.99615230,4.55251167,3.66727804,0.08579346,1.37970372
-5.78389195,7.69005116,0.01405343,1.03577992,4.69423921,3.75952137,0.08858872,1.41024846
-5.77788894,7.86869545,0.01431747,1.07187750,4.82085584,3.83866494,0.09124742,1.44029680
-5.77188594,8.02144308,0.01451447,1.10370457,4.92939980,3.90239646,0.09370953,1.46896629
-5.76588294,8.14399412,0.01463906,1.13059485,5.01726243,3.94872437,0.09591952,1.49544122
-5.75987994,8.23274648,0.01468752,1.15197619,5.08226787,3.97603962,0.09782799,1.51899676
-5.75387694,8.28490297,0.01465789,1.16738753,5.12273838,3.98316488,0.09939316,1.53901898
-5.74787394,8.29854973,0.01455007,1.17649226,5.13754225,3.96938908,0.10058199,1.55501999
-5.74187094,8.27270264,0.01436581,1.17908733,5.12612243,3.93448589,0.10137092,1.56664756
-5.73586793,8.20731998,0.01410866,1.17510772,5.08850458,3.87871527,0.10174628,1.57368885
-5.72986493,8.10328128,0.01378387,1.16462612,5.02528448,3.80280842,0.10170431,1.57606836
-5.72386193,7.96233389,0.01339819,1.14784786,4.93759575,3.70793676,0.10125077,1.57384032
-5.71785893,7.78701030,0.01295965,1.12510144,4.82705960,3.59566667,0.10040023,1.56717626
-5.71185593,7.58052083,0.01247729,1.09682504,4.69571930,3.46790221,0.09917506,1.55634857
-5.70585293,7.34662704,0.01196088,1.06354989,4.54596276,3.32681844,0.09760417,1.54171113
-5.69984992,7.08950214,0.01142061,1.02588101,4.38043689,3.17478853,0.09572162,1.52367816
-5.69384692,6.81358506,0.01086677,0.98447666,4.20195780,3.01430777,0.09356511,1.50270263
-5.68784392,6.52343475,0.01030949,0.94002698,4.01342086,2.84791774,0.09117451,1.47925516
-5.68184092,6.22359075,0.00975845,0.89323311,3.81771440,2.67813368,0.08859039,1.45380474
-5.67583792,5.91844563,0.00922265,0.84478743,3.61764040,2.50737769,0.08585272,1.42680183
-5.66983492,5.61213368,0.00871018,0.79535583,3.41584496,2.33792008,0.08299980,1.39866474
-5.66383192,5.30843912,0.00822811,0.74556238,3.21476065,2.17183045,0.08006727,1.36976948
-5.65782891,5.01072587,0.00778234,0.69597713,3.01656200,2.01093971,0.07708752,1.34044323
-5.65182591,4.72188967,0.00737750,0.64710693,2.82313475,1.85681347,0.07408925,1.31096140
-5.64582291,4.44433210,0.00701699,0.59938967,2.63605856,1.71073681,0.07109727,1.28154772
-5.63981991,4.17995487,0.00670290,0.55319156,2.45660246,1.57370977,0.06813253,1.25237711
-5.63381691,3.93017241,0.00643611,0.50880731,2.28573147,1.44645262,0.06521234,1.22358048
-5.62781391,3.69593939,0.00621629,0.46646283,2.12412279,1.32941959,0.06235067,1.19525089
-5.62181091,3.47779021,0.00604205,0.42631999,1.97218948,1.22281948,0.05955863,1.16745046
-5.61580790,3.27588698,0.00591101,0.38848281,1.83010937,1.12664148,0.05684489,1.14021731
-5.60980490,3.09007260,0.00581993,0.35300480,1.69785744,1.04068471,0.05421621,1.11357216
-5.60380190,2.91992604,0.00576480,0.31989671,1.57523942,0.96458956,0.05167789,1.08752411
-5.59779890,2.76481716,0.00574106,0.28913437,1.46192528,0.89786982,0.04923414,1.06207545
-5.59179590,2.62395900,0.00574364,0.26066619,1.35748098,0.83994391,0.04688849,1.03722541
-5.58579290,2.49645593,0.00576719,0.23442013,1.26139779,0.79016457,0.04464398,1.01297283
