energy_ev,total_up,total_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.59635469,-5.59635467,0.20726763,-0.20726763,0.04635285,-0.04635285,0.52041220,-0.52041220,0.84734182,-0.84734181,0.89163405,-0.89163405,0.10458069,-0.10458069,2.61843903,-2.61843901
-5.99399700,5.84913762,-5.84913759,0.22286637,-0.22286637,0.04902708,-0.04902708,0.52209758,-0.52209758,0.89615407,-0.89615406,0.92621467,-0.92621466,0.10713529,-0.10713529,2.77486219,-2.77486217
-5.98799400,6.09894010,-6.09894007,0.23891387,-0.23891387,0.05177707,-0.05177707,0.52286895,-0.52286895,0.94478784,-0.94478784,0.96109206,-0.96109206,0.10978241,-0.10978241,2.93074500,-2.93074498
-5.98199100,6.34197394,-6.34197392,0.25519427,-0.25519427,0.05456823,-0.05456823,0.52263140,-0.52263140,0.99259485,-0.99259485,0.99577249,-0.99577248,0.11247397,-0.11247397,3.08387461,-3.08387460
-5.97598799,6.57437739,-6.57437736,0.27148146,-0.27148146,0.05736249,-0.05736249,0.52131450,-0.52131450,1.03890494,-1.03890494,1.02974257,-1.02974257,0.11515518,-0.11515518,3.23195477,-3.23195475
-5.96998499,6.79231818,-6.79231815,0.28754315,-0.28754314,0.06011930,-0.06011929,0.51887710,-0.51887710,1.08304388,-1.08304387,1.06248360,-1.06248359,0.11776612,-0.11776612,3.37266253,-3.37266251
-5.96398199,6.99210281,-6.99210279,0.30314555,-0.30314555,0.06279666,-0.06279666,0.51531136,-0.51531136,1.12435238,-1.12435238,1.09348704,-1.09348703,0.12024353,-0.12024353,3.50370992,-3.50370990
-5.95797899,7.17028764,-7.17028763,0.31805853,-0.31805853,0.06535234,-0.06535234,0.51064576,-0.51064576,1.16220585,-1.16220585,1.12227076,-1.12227075,0.12252293,-0.12252294,3.62290830,-3.62290829
-5.95197599,7.32378709,-7.32378707,0.33206092,-0.33206092,0.06774508,-0.06774508,0.50494685,-0.50494685,1.19603388,-1.19603387,1.14839513,-1.14839512,0.12454090,-0.12454090,3.72823286,-3.72823285
-5.94597299,7.44997418,-7.44997417,0.34494597,-0.34494597,0.06993584,-0.06993584,0.49831961,-0.49831961,1.22533885,-1.22533884,1.17147829,-1.17147828,0.12623732,-0.12623732,3.81788466,-3.81788465
-5.93996998,7.54676892,-7.54676891,0.35652656,-0.35652655,0.07188898,-0.07188898,0.49090612,-0.49090612,1.24971271,-1.24971271,1.19120981,-1.19120980,0.12755768,-0.12755768,3.89034750,-3.89034749
-5.93396698,7.61271015,-7.61271014,0.36664001,-0.36664000,0.07357335,-0.07357335,0.48288274,-0.48288274,1.26885132,-1.26885132,1.20736206,-1.20736206,0.12845515,-0.12845515,3.94443715,-3.94443715
-5.92796398,7.64700759,-7.64700758,0.37515239,-0.37515239,0.07496318,-0.07496318,0.47445568,-0.47445568,1.28256550,-1.28256550,1.21979868,-1.21979867,0.12889244,-0.12889244,3.97934072,-3.97934071
-5.92196098,7.64957133,-7.64957132,0.38196197,-0.38196197,0.07603886,-0.07603886,0.46585511,-0.46585511,1.29078851,-1.29078851,1.22847963,-1.22847962,0.12884327,-0.12884327,3.99464417,-3.99464417
-5.91595798,7.62101721,-7.62101720,0.38700175,-0.38700175,0.07678739,-0.07678739,0.45732817,-0.45732817,1.29357941,-1.29357941,1.23346264,-1.23346263,0.12829343,-0.12829343,3.99034691,-3.99034691
