energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.09363159,0.13217912,0.00000000,2.20359128,3.40250877,0.01474471,3.41179790
-5.99399700,6.10961436,0.12761019,0.00000000,2.19620801,3.44941148,0.01409758,3.44248527
-5.98799400,6.12192989,0.12332002,0.00000000,2.19014904,3.49114811,0.01347779,3.46993142
-5.98199100,6.12685983,0.11925041,0.00000000,2.18399269,3.52554065,0.01288139,3.49197499
-5.97598799,6.12077361,0.11534051,0.00000000,2.17629087,3.55049905,0.01230420,3.50650693
-5.96998499,6.10027835,0.11152996,0.00000000,2.16563272,3.56410389,0.01174209,3.51155659
-5.96398199,6.06235930,0.10776160,0.00000000,2.15070575,3.56468434,0.01119123,3.50537340
-5.95797899,6.00450495,0.10398402,0.00000000,2.13035206,3.55088782,0.01064828,3.48650070
-5.95197599,5.92481171,0.10015358,0.00000000,2.10361716,3.52173873,0.01011051,3.45383854
-5.94597299,5.82206385,0.09623592,0.00000000,2.06978955,3.47668335,0.00957597,3.40669292
-5.93996998,5.69578596,0.09220703,0.00000000,2.02842972,3.41561939,0.00904349,3.34480946
-5.93396698,5.54626615,0.08805371,0.00000000,1.97938736,3.33890895,0.00851269,3.26839031
-5.92796398,5.37454987,0.08377355,0.00000000,1.92280686,3.24737444,0.00798398,3.17809394
-5.92196098,5.18240539,0.07937439,0.00000000,1.85912094,3.14227806,0.00745845,3.07501809
-5.91595798,4.97226332,0.07487337,0.00000000,1.78903338,3.02528583,0.00693778,2.96066702
-5.90995498,4.74713352,0.07029571,0.00000000,1.71349195,2.89841805,0.00642414,2.83690471
-5.90395198,4.51050366,0.06567311,0.00000000,1.63365309,2.76398830,0.00592003,2.70589646
-5.89794897,4.26622416,0.06104212,0.00000000,1.55084018,2.62453384,0.00542814,2.57004124
-5.89194597,4.01838467,0.05644233,0.00000000,1.46649734,2.48274012,0.00495124,2.43189793
-5.88594297,3.77118697,0.05191461,0.00000000,1.38214081,2.34136233,0.00449205,2.29410819
-5.87993997,3.52881939,0.04749952,0.00000000,1.29930987,2.20314687,0.00405311,2.15931883
-5.87393697,3.29533691,0.04323576,0.00000000,1.21951897,2.07075529,0.00363671,2.03010648
-5.86793397,3.07455075,0.03915891,0.00000000,1.14421291,1.94669301,0.00324482,1.90890663
-5.86193097,2.86993059,0.03530041,0.00000000,1.07472616,1.83324479,0.00287907,1.79794927
-5.85592796,2.68452157,0.03168681,0.00000000,1.01224744,1.73241836,0.00254068,1.69920249
-5.84992496,2.52087762,0.02833926,0.00000000,0.95779036,1.64589740,0.00223054,1.61432541
-5.84392196,2.38101199,0.02527335,0.00000000,0.91217057,1.57500465,0.00194917,1.54463096
-5.83791896,2.26636501,0.02249915,0.00000000,0.87598949,1.52067534,0.00169682,1.49105920
-5.83191596,2.17778894,0.02002147,0.00000000,0.84962496,1.48344134,0.00147350,1.45416120
-5.82591296,2.11554906,0.01784035,0.00000000,0.83322826,1.46342565,0.00127910,1.43409342
-5.81990995,2.07934001,0.01595173,0.00000000,0.82672764,1.46034726,0.00111343,1.43062239
-5.81390695,2.06831635,0.01434817,0.00000000,0.82983763,1.47353565,0.00097637,1.44313922
-5.80790395,2.08113577,0.01301972,0.00000000,0.84207401,1.50195483,0.00086795,1.47068360
-5.80190095,2.11601382,0.01195482,0.00000000,0.86277369,1.54423603,0.00078847,1.51197647
-5.79589795,2.17078849,0.01114126,0.00000000,0.89111916,1.59871847,0.00073857,1.56546087
-5.78989495,2.24299324,0.01056703,0.00000000,0.92616689,1.66349744,0.00071937,1.62934994
-5.78389195,2.32993665,0.01022126,0.00000000,0.96687893,1.73647871,0.00073256,1.70168108
-5.77788894,2.42878699,0.01009499,0.00000000,1.01215700,1.81543794,0.00078045,1.78037514
