energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.79223326,0.03625307,2.29818710,0.04835994,0.00000000,2.82225078,0.80444202
-5.99399700,3.75318573,0.03601347,2.27837441,0.04656416,0.00000000,2.79416629,0.80437089
-5.98799400,3.72038107,0.03587007,2.26344305,0.04488119,0.00000000,2.76997428,0.80576975
-5.98199100,3.69271879,0.03580867,2.25266669,0.04330172,0.00000000,2.74896840,0.80836472
-5.97598799,3.66904641,0.03581315,2.24525645,0.04181461,0.00000000,2.73043665,0.81185955
-5.96998499,3.64819991,0.03586603,2.24038836,0.04040762,0.00000000,2.71368792,0.81594451
-5.96398199,3.62903759,0.03594902,2.23722772,0.03906809,0.00000000,2.69807202,0.82030435
-5.95797899,3.61046664,0.03604355,2.23494988,0.03778354,0.00000000,2.68299275,0.82462541
-5.95197599,3.59146236,0.03613128,2.23275712,0.03654212,0.00000000,2.66791434,0.82860165
-5.94597299,3.57108056,0.03619458,2.22989182,0.03533305,0.00000000,2.65236186,0.83193962
-5.93996998,3.54846410,0.03621691,2.22564608,0.03414685,0.00000000,2.63591655,0.83436262
-5.93396698,3.52284457,0.03618315,2.21936848,0.03297553,0.00000000,2.61820746,0.83561400
-5.92796398,3.49354076,0.03607998,2.21046843,0.03181274,0.00000000,2.59890087,0.83545987
-5.92196098,3.45995509,0.03589603,2.19841890,0.03065371,0.00000000,2.57768886,0.83369141
-5.91595798,3.42156955,0.03562211,2.18275822,0.02949529,0.00000000,2.55427868,0.83012685
-5.90995498,3.37794217,0.03525130,2.16309133,0.02833583,0.00000000,2.52838393,0.82461334
-5.90395198,3.32870500,0.03477910,2.13909131,0.02717513,0.00000000,2.49971881,0.81702877
-5.89794897,3.27356416,0.03420339,2.11050105,0.02601428,0.00000000,2.46799578,0.80728355
-5.89194597,3.21230218,0.03352449,2.07713566,0.02485561,0.00000000,2.43292732,0.79532239
-5.88594297,3.14478257,0.03274511,2.03888522,0.02370255,0.00000000,2.39423135,0.78112597
-5.87993997,3.07095625,0.03187026,1.99571797,0.02255961,0.00000000,2.35164031,0.76471245
-5.87393697,2.99086912,0.03090720,1.94768351,0.02143231,0.00000000,2.30491295,0.74613865
-5.86793397,2.90467019,0.02986530,1.89491570,0.02032712,0.00000000,2.25384803,0.72550087
