energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.44309786,0.00624207,0.18688351,0.28433029,0.79261733,0.49136989,0.67273076,0.00000000
-5.99399700,1.42979102,0.00617507,0.18611420,0.28006290,0.79692306,0.48771771,0.66380679,0.00000000
-5.98799400,1.41233888,0.00607994,0.18455204,0.27510676,0.79744503,0.48348036,0.65254804,0.00000000
-5.98199100,1.39079807,0.00595769,0.18218516,0.26942535,0.79412346,0.47877142,0.63891258,0.00000000
-5.97598799,1.36539298,0.00581011,0.17902445,0.26300962,0.78700365,0.47376062,0.62293645,0.00000000
-5.96998499,1.33651143,0.00563966,0.17510348,0.25587906,0.77623598,0.46866997,0.60473318,0.00000000
-5.96398199,1.30469221,0.00544948,0.17047749,0.24808115,0.76207147,0.46376670,0.58448995,0.00000000
-5.95797899,1.27060499,0.00524318,0.16522133,0.23968945,0.74485318,0.45935333,0.56246031,0.00000000
-5.95197599,1.23502391,0.00502480,0.15942665,0.23080029,0.72500382,0.45575526,0.53895429,0.00000000
-5.94597299,1.19879584,0.00479861,0.15319840,0.22152843,0.70301016,0.45330648,0.51432621,0.00000000
-5.93996998,1.16280530,0.00456900,0.14665081,0.21200192,0.67940519,0.45233391,0.48896097,0.00000000
-5.93396698,1.12793743,0.00434029,0.13990317,0.20235641,0.65474877,0.45314124,0.46325966,0.00000000
-5.92796398,1.09504110,0.00411663,0.13307545,0.19272939,0.62960773,0.45599294,0.43762498,0.00000000
-5.92196098,1.06489381,0.00390183,0.12628412,0.18325446,0.60453649,0.46109928,0.41244740,0.00000000
-5.91595798,1.03817001,0.00369927,0.11963825,0.17405608,0.58005896,0.46860291,0.38809254,0.00000000
-5.90995498,1.01541436,0.00351183,0.11323618,0.16524510,0.55665258,0.47856797,0.36489046,0.00000000
-5.90395198,0.99702112,0.00334180,0.10716272,0.15691509,0.53473520,0.49097200,0.34312701,0.00000000
-5.89794897,0.98322047,0.00319090,0.10148719,0.14913979,0.51465532,0.50570132,0.32303786,0.00000000
-5.89194597,0.97407237,0.00306023,0.09626215,0.14197175,0.49668587,0.52255007,0.30480503,0.00000000
-5.88594297,0.96946810,0.00295036,0.09152303,0.13544210,0.48102185,0.54122310,0.28855608,0.00000000
-5.87993997,0.96913935,0.00286139,0.08728842,0.12956150,0.46778158,0.56134275,0.27436586,0.00000000
-5.87393697,0.97267420,0.00279301,0.08356121,0.12432218,0.45701143,0.58245923,0.26226045,0.00000000
-5.86793397,0.97953934,0.00274468,0.08033026,0.11970089,0.44869352,0.60406429,0.25222306,0.00000000
-5.86193097,0.98910735,0.00271574,0.07757267,0.11566258,0.44275586,0.62560774,0.24420145,0.00000000
-5.85592796,1.00068774,0.00270559,0.07525635,0.11216467,0.43908430,0.64651608,0.23811643,0.00000000
-5.84992496,1.01356034,0.00271383,0.07334291,0.10916168,0.43753552,0.66621256,0.23387094,0.00000000
-5.84392196,1.02700955,0.00274049,0.07179058,0.10660989,0.43795038,0.68413781,0.23135932,0.00000000
-5.83791896,1.04035790,0.00278615,0.07055717,0.10447200,0.44016681,0.69977027,0.23047626,0.00000000
-5.83191596,1.05299750,0.00285214,0.06960274,0.10272139,0.44403175,0.71264536,0.23112500,0.00000000
-5.82591296,1.06441794,0.00294070,0.06889207,0.10134593,0.44941133,0.72237289,0.23322455,0.00000000
-5.81990995,1.07422968,0.00305509,0.06839673,0.10035114,0.45619902,0.72865170,0.23671556,0.00000000
-5.81390695,1.08218177,0.00319972,0.06809658,0.09976252,0.46432125,0.73128098,0.24156464,0.00000000
-5.80790395,1.08817335,0.00338018,0.06798091,0.09962702,0.47374049,0.73016796,0.24776699,0.00000000
-5.80190095,1.09225853,0.00360332,0.06804885,0.10001354,0.48445557,0.72533144,0.25534736,0.00000000
-5.79589795,1.09464449,0.00387716,0.06830937,0.10101240,0.49649936,0.71690120,0.26435921,0.00000000
-5.78989495,1.09568296,0.00421087,0.06878066,0.10273383,0.50993417,0.70511325,0.27488225,0.00000000
-5.78389195,1.09585560,0.00461460,0.06948898,0.10530541,0.52484502,0.69030121,0.28701848,0.00000000
-5.77788894,1.09575384,0.00509928,0.07046718,0.10886862,0.54133128,0.67288428,0.30088682,0.00000000
-5.77188594,1.09605410,0.00567634,0.07175268,0.11357439,0.55949713,0.65335221,0.31661664,0.00000000
-5.76588294,1.09748948,0.00635738,0.07338528,0.11957797,0.57944141,0.63224796,0.33434033,0.00000000
-5.75987994,1.10081890,0.00715377,0.07540474,0.12703299,0.60124724,0.61014897,0.35418529,0.00000000
-5.75387694,1.10679504,0.00807618,0.07784817,0.13608508,0.62497206,0.58764742,0.37626548,0.00000000
-5.74787394,1.11613220,0.00913407,0.08074755,0.14686510,0.65063842,0.56533068,0.40067293,0.00000000
-5.74187094,1.12947531,0.01033519,0.08412726,0.15948214,0.67822597,0.54376236,0.42746940,0.00000000
-5.73586793,1.14737122,0.01168496,0.08800183,0.17401667,0.70766500,0.52346481,0.45667859,0.00000000
-5.72986493,1.17024324,0.01318598,0.09237401,0.19051388,0.73883178,0.50490363,0.48827910,0.00000000
-5.72386193,1.19836999,0.01483751,0.09723316,0.20897770,0.77154588,0.48847463,0.52219849,0.00000000
-5.71785893,1.23186918,0.01663497,0.10255422,0.22936553,0.80556957,0.47449371,0.55830869,0.00000000
-5.71185593,1.27068700,0.01856962,0.10829706,0.25158421,0.84060945,0.46318983,0.59642308,0.00000000
-5.70585293,1.31459364,0.02062827,0.11440653,0.27548724,0.87632013,0.45470119,0.63629538,0.00000000
-5.69984992,1.36318507,0.02279314,0.12081303,0.30087368,0.91231004,0.44907477,0.67762069,0.00000000
-5.69384692,1.41589118,0.02504196,0.12743374,0.32748885,0.94814919,0.44626890,0.72003873,0.00000000
-5.68784392,1.47199020,0.02734812,0.13417442,0.35502693,0.98337864,0.44615885,0.76313934,0.00000000
-5.68184092,1.53062888,0.02968107,0.14093178,0.38313558,1.01752151,0.44854501,0.80647033,0.00000000
-5.67583792,1.59084794,0.03200693,0.14759634,0.41142254,1.05009530,0.45316336,0.84954748,0.00000000
-5.66983492,1.65161193,0.03428923,0.15405568,0.43946408,1.08062495,0.45969771,0.89186650,0.00000000
-5.66383192,1.71184248,0.03648977,0.16019797,0.46681512,1.10865652,0.46779324,0.93291657,0.00000000
-5.65782891,1.77045364,0.03856973,0.16591572,0.49302064,1.13377079,0.47707080,0.97219502,0.00000000
-5.65182591,1.82638810,0.04049073,0.17110938,0.51762819,1.15559652,0.48714141,1.00922260,0.00000000
-5.64582291,1.87865261,0.04221602,0.17569096,0.54020072,1.17382256,0.49762043,1.04355856,0.00000000
-5.63981991,1.92635130,0.04371165,0.17958721,0.56032960,1.18820856,0.50814075,1.07481503,0.00000000
-5.63381691,1.96871525,0.04494759,0.18274241,0.57764696,1.19859356,0.51836470,1.10266975,0.00000000
-5.62781391,2.00512695,0.04589872,0.18512047,0.59183716,1.20490207,0.52799400,1.12687653,0.00000000
-5.62181091,2.03513864,0.04654568,0.18670639,0.60264661,1.20714713,0.53677766,1.14727290,0.00000000
-5.61580790,2.05848329,0.04687555,0.18750691,0.60989177,1.20543024,0.54451727,1.16378424,0.00000000
-5.60980490,2.07507800,0.04688231,0.18755020,0.61346483,1.19993777,0.55106988,1.17642419,0.00000000
-5.60380190,2.08501935,0.04656698,0.18688484,0.61333700,1.19093402,0.55634809,1.18529122,0.00000000
-5.59779890,2.08857106,0.04593757,0.18557787,0.60955918,1.17875092,0.56031779,1.19056122,0.00000000
-5.59179590,2.08614452,0.04500879,0.18371214,0.60226010,1.16377497,0.56299348,1.19247673,0.00000000
-5.58579290,2.07827339,0.04380150,0.18138301,0.59164216,1.14643171,0.56443177,1.19133309,0.00000000
-5.57978989,2.06558342,0.04234189,0.17869455,0.57797502,1.12716850,0.56472337,1.18746233,0.00000000
-5.57378689,2.04875936,0.04066063,0.17575550,0.56158747,1.10643644,0.56398399,1.18121578,0.00000000
-5.56778389,2.02851073,0.03879178,0.17267502,0.54285791,1.08467225,0.56234497,1.17294620,0.00000000
-5.56178089,2.00553821,0.03677169,0.16955856,0.52220386,1.06228108,0.55994395,1.16299060,0.00000000
-5.55577789,1.98050274,0.03463782,0.16650404,0.50007099,1.03962106,0.55691619,1.15165479,0.00000000
-5.54977489,1.95399874,0.03242767,0.16359838,0.47692203,1.01699046,0.55338710,1.13920033,0.00000000
-5.54377189,1.92653291,0.03017774,0.16091467,0.45322601,0.99461810,0.54946628,1.12583492,0.00000000
-5.53776888,1.89850962,0.02792258,0.15851006,0.42944812,0.97265748,0.54524336,1.11170651,0.00000000
-5.53176588,1.87022346,0.02569403,0.15642437,0.40604036,0.95118489,0.54078581,1.09690151,0.00000000
-5.52576288,1.84185900,0.02352067,0.15467955,0.38343326,0.93020167,0.53613876,1.08144714,0.00000000
-5.51975988,1.81349740,0.02142731,0.15327994,0.36202857,0.90964019,0.53132664,1.06531752,0.00000000
-5.51375688,1.78512919,0.01943485,0.15221326,0.34219317,0.88937342,0.52635647,1.04844319,0.00000000
-5.50775388,1.75667193,0.01756013,0.15145227,0.32425386,0.86922726,0.52122244,1.03072311,0.00000000
-5.50175088,1.72799145,0.01581610,0.15095696,0.30849315,0.84899505,0.51591133,1.01203851,0.00000000
-5.49574787,1.69892502,0.01421199,0.15067716,0.29514588,0.82845329,0.51040842,0.99226741,0.00000000
-5.48974487,1.66930483,0.01275371,0.15055539,0.28439653,0.80737769,0.50470332,0.97129899,0.00000000
-5.48374187,1.63898030,0.01144419,0.15052980,0.27637714,0.78555875,0.49879533,0.94904682,0.00000000
-5.47773887,1.60783762,0.01028392,0.15053706,0.27116579,0.76281589,0.49269791,0.92546005,0.00000000
-5.47173587,1.57581554,0.00927138,0.15051503,0.26878562,0.73900962,0.48644207,0.90053206,0.00000000
-5.46573287,1.54291657,0.00840355,0.15040519,0.26920444,0.71405088,0.48007832,0.87430593,0.00000000
-5.45972986,1.50921296,0.00767628,0.15015459,0.27233493,0.68790757,0.47367712,0.84687666,0.00000000
-5.45372686,1.47484755,0.00708474,0.14971740,0.27803566,0.66060767,0.46732795,0.81839005,0.00000000
-5.44772386,1.44002966,0.00662370,0.14905599,0.28611285,0.63223926,0.46113696,0.78903840,0.00000000
-5.44172086,1.40502661,0.00628777,0.14814152,0.29632330,0.60294741,0.45522341,0.75905361,0.00000000
-5.43571786,1.37015160,0.00607156,0.14695409,0.30837827,0.57292838,0.44971531,0.72869809,0.00000000
-5.42971486,1.33574920,0.00596974,0.14548254,0.32194874,0.54242164,0.44474435,0.69825417,0.00000000
