energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.25069744,0.00298028,0.08396021,0.63116906,0.38557307,0.00881404,0.44800134,0.36169925,0.08255671
-5.99399700,1.24801570,0.00302152,0.08467742,0.62553288,0.38239316,0.00946224,0.44874562,0.36858647,0.08117194
-5.98799400,1.25173054,0.00310782,0.08589249,0.62148929,0.38089350,0.01024961,0.45198389,0.37824734,0.08017383
-5.98199100,1.26270232,0.00323790,0.08767254,0.61947754,0.38137297,0.01117867,0.45801647,0.39090789,0.07961209
-5.97598799,1.28163463,0.00340968,0.09007743,0.61987987,0.38408682,0.01224893,0.46708132,0.40673132,0.07952579
-5.96998499,1.30903765,0.00362031,0.09315679,0.62300326,0.38923484,0.01345669,0.47934093,0.42580667,0.07994151
-5.96398199,1.34519743,0.00386622,0.09694758,0.62906431,0.39695122,0.01479487,0.49487131,0.44813938,0.08087194
-5.95797899,1.39015263,0.00414319,0.10147190,0.63817796,0.40729662,0.01625285,0.51365385,0.47364431,0.08231485
-5.95197599,1.44368007,0.00444641,0.10673535,0.65035054,0.42025293,0.01781655,0.53557050,0.50214162,0.08425275
-5.94597299,1.50529004,0.00477061,0.11272603,0.66547751,0.43572081,0.01946848,0.56040246,0.53335602,0.08665298
-5.93996998,1.57423186,0.00511013,0.11941402,0.68334601,0.45352041,0.02118795,0.58783296,0.56691950,0.08946850
-5.93396698,1.64950989,0.00545911,0.12675155,0.70364203,0.47339523,0.02295149,0.61745388,0.60237780,0.09263918
-5.92796398,1.72990977,0.00581164,0.13467374,0.72596191,0.49501905,0.02473324,0.64877636,0.63920049,0.09609370
-5.92196098,1.81403397,0.00616188,0.14309994,0.74982766,0.51800574,0.02650558,0.68124498,0.67679456,0.09975190
-5.91595798,1.90034551,0.00650430,0.15193547,0.77470523,0.54192169,0.02823980,0.71425511,0.71452104,0.10352753
-5.90995498,1.98721826,0.00683381,0.16107391,0.80002513,0.56630022,0.02990688,0.74717284,0.75171421,0.10733129
