energy_ev,total_up,Nb_p_up,Nb_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,3.45978138,2.52928784,1.65732733,0.28862253,0.00135566,2.28199383,0.00000000
-5.99399700,3.48171188,2.57561566,1.67910573,0.28363473,0.00136957,2.31268371,0.00000000
-5.98799400,3.50974359,2.62842768,1.70477618,0.27897195,0.00138438,2.34836413,0.00000000
-5.98199100,3.54400543,2.68765510,1.73428692,0.27458510,0.00140014,2.38908000,0.00000000
-5.97598799,3.58441016,2.75298635,1.76746558,0.27042733,0.00141685,2.43470141,0.00000000
-5.96998499,3.63064708,2.82386201,1.80401992,0.26645507,0.00143442,2.48491999,0.00000000
-5.96398199,3.68218330,2.89947925,1.84354356,0.26262845,0.00145271,2.53925263,0.00000000
-5.95797899,3.73827426,2.97880602,1.88552673,0.25891140,0.00147151,2.59705270,0.00000000
-5.95197599,3.79798331,3.06060500,1.92937171,0.25527139,0.00149055,2.65752854,0.00000000
-5.94597299,3.86020982,3.14346664,1.97441242,0.25167899,0.00150950,2.71976853,0.00000000
-5.93996998,3.92372462,3.22585023,2.01993721,0.24810738,0.00152801,2.78277161,0.00000000
-5.93396698,3.98721140,3.30613127,2.06521389,0.24453181,0.00154570,2.84548183,0.00000000
-5.92796398,4.04931196,3.38265346,2.10951555,0.24092927,0.00156214,2.90682525,0.00000000
-5.92196098,4.10867304,3.45378278,2.15214599,0.23727826,0.00157695,2.96574733,0.00000000
-5.91595798,4.16399260,3.51796147,2.19246319,0.23355868,0.00158974,3.02124883,0.00000000
-5.90995498,4.21406285,3.57375932,2.22989975,0.22975204,0.00160015,3.07241833,0.00000000
-5.90395198,4.25780811,3.61991995,2.26397892,0.22584166,0.00160786,3.11845988,0.00000000
-5.89794897,4.29431552,3.65540004,2.29432558,0.22181309,0.00161260,3.15871420,0.00000000
-5.89194597,4.32285716,3.67939968,2.32067158,0.21765444,0.00161418,3.19267258,0.00000000
-5.88594297,4.34290271,3.69138267,2.34285511,0.21335677,0.00161246,3.21998301,0.00000000
-5.87993997,4.35412241,3.69108608,2.36081457,0.20891436,0.00160737,3.24044846,0.00000000
-5.87393697,4.35638059,3.67851888,2.37457737,0.20432485,0.00159892,3.25401792,0.00000000
-5.86793397,4.34972081,3.65395020,2.38424453,0.19958914,0.00158717,3.26077096,0.00000000
-5.86193097,4.33434397,3.61788820,2.38997254,0.19471120,0.00157225,3.26089749,0.00000000
-5.85592796,4.31058123,3.57105109,2.39195353,0.18969767,0.00155436,3.25467399,0.00000000
-5.84992496,4.27886393,3.51433208,2.39039543,0.18455729,0.00153373,3.24243821,0.00000000
-5.84392196,4.23969260,3.44876037,2.38550352,0.17930028,0.00151063,3.22456418,0.00000000
-5.83791896,4.19360729,3.37546037,2.37746457,0.17393763,0.00148536,3.20143902,0.00000000
-5.83191596,4.14116092,3.29561118,2.36643465,0.16848047,0.00145824,3.17344317,0.00000000
-5.82591296,4.08289740,3.21040832,2.35253148,0.16293949,0.00142959,3.14093517,0.00000000
-5.81990995,4.01933533,3.12102925,2.33583143,0.15732446,0.00139975,3.10424153,0.00000000
-5.81390695,3.95095791,3.02860387,2.31637138,0.15164404,0.00136903,3.06365203,0.00000000
-5.80790395,3.87820895,2.93419086,2.29415489,0.14590564,0.00133774,3.01942016,0.00000000
-5.80190095,3.80149445,2.83876013,2.26916199,0.14011561,0.00130618,2.97176811,0.00000000
-5.79589795,3.72118874,2.74318124,2.24136153,0.13427958,0.00127462,2.92089525,0.00000000
-5.78989495,3.63764369,2.64821743,2.21072491,0.12840290,0.00124330,2.86698882,0.00000000
-5.78389195,3.55119976,2.55452434,2.17723984,0.12249127,0.00121244,2.81023550,0.00000000
-5.77788894,3.46219696,2.46265258,2.14092305,0.11655141,0.00118223,2.75083252,0.00000000
-5.77188594,3.37098454,2.37305303,2.10183050,0.11059168,0.00115285,2.68899691,0.00000000
-5.76588294,3.27792792,2.28608388,2.06006466,0.10462270,0.00112442,2.62497193,0.00000000
-5.75987994,3.18341221,2.20201843,2.01577778,0.09865782,0.00109706,2.55903005,0.00000000
-5.75387694,3.08784162,2.12105294,1.96917124,0.09271345,0.00107083,2.49147198,0.00000000
-5.74787394,2.99163491,2.04331403,1.92049102,0.08680922,0.00104578,2.42262190,0.00000000
-5.74187094,2.89521714,1.96886531,1.87001949,0.08096798,0.00102192,2.35281936,0.00000000
-5.73586793,2.79900873,1.89771328,1.81806462,0.07521556,0.00099921,2.28240846,0.00000000
-5.72986493,2.70341270,1.82981261,1.76494727,0.06958046,0.00097761,2.21172551,0.00000000
