energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.56994288,0.00380061,0.78314037,3.43785811,1.25143738,1.17227135,0.00000000
-5.99399700,3.69234889,0.00415853,0.80926899,3.61632843,1.28087553,1.20975081,0.00000000
-5.98799400,3.81637000,0.00454341,0.83601559,3.80100564,1.31076949,1.24633521,0.00000000
-5.98199100,3.94147305,0.00495315,0.86319482,3.99077478,1.34101598,1.28201382,0.00000000
-5.97598799,4.06712632,0.00538533,0.89061782,4.18440725,1.37153317,1.31678806,0.00000000
-5.96998499,4.19277119,0.00583712,0.91808657,4.38054638,1.40224664,1.35066135,0.00000000
-5.96398199,4.31779787,0.00630532,0.94538926,4.57769938,1.43307639,1.38362996,0.00000000
-5.95797899,4.44152711,0.00678632,0.97229706,4.77423681,1.46392565,1.41567527,0.00000000
-5.95197599,4.56319908,0.00727616,0.99856270,4.96840073,1.49467239,1.44675775,0.00000000
-5.94597299,4.68197056,0.00777056,1.02392101,5.15832147,1.52516394,1.47681310,0.00000000
-5.93996998,4.79692039,0.00826500,1.04809144,5.34204309,1.55521498,1.50575046,0.00000000
-5.93396698,4.90706312,0.00875481,1.07078253,5.51755648,1.58460896,1.53345279,0.00000000
-5.92796398,5.01136974,0.00923528,1.09169800,5.68283897,1.61310275,1.55977917,0.00000000
-5.92196098,5.10879430,0.00970179,1.11054423,5.83589861,1.64043396,1.58456892,0.00000000
-5.91595798,5.19830462,0.01014996,1.12703859,5.97482128,1.66633038,1.60764687,0.00000000
-5.90995498,5.27891507,0.01057576,1.14091817,6.09781830,1.69052081,1.62882977,0.00000000
-5.90395198,5.34971946,0.01097568,1.15194836,6.20327224,1.71274634,1.64793304,0.00000000
-5.89794897,5.40992185,0.01134688,1.15993079,6.28977905,1.73277131,1.66477766,0.00000000
-5.89194597,5.45886352,0.01168724,1.16471020,6.35618413,1.75039312,1.67919678,0.00000000
-5.88594297,5.49604446,0.01199555,1.16617970,6.40161117,1.76545018,1.69104154,0.00000000
-5.87993997,5.52113822,0.01227152,1.16428437,6.42548212,1.77782747,1.70018608,0.00000000
-5.87393697,5.53399931,0.01251583,1.15902281,6.42752785,1.78745934,1.70653135,0.00000000
-5.86793397,5.53466298,0.01273014,1.15044668,6.40778909,1.79432940,1.71000769,0.00000000
-5.86193097,5.52333752,0.01291706,1.13865828,6.36660799,1.79846754,1.71057618,0.00000000
-5.85592796,5.50038980,0.01308007,1.12380640,6.30461096,1.79994434,1.70822880,0.00000000
-5.84992496,5.46632511,0.01322340,1.10608060,6.22268399,1.79886337,1.70298740,0.00000000
-5.84392196,5.42176262,0.01335187,1.08570441,6.12194193,1.79535189,1.69490189,0.00000000
-5.83791896,5.36740809,0.01347074,1.06292774,6.00369328,1.78955064,1.68404753,0.00000000
-5.83191596,5.30402540,0.01358550,1.03801901,5.86940252,1.78160350,1.67052179,0.00000000
-5.82591296,5.23240865,0.01370162,1.01125732,5.72065146,1.77164776,1.65444084,0.00000000
-5.81990995,5.15335621,0.01382437,0.98292508,5.55910164,1.75980552,1.63593596,0.00000000
-5.81390695,5.06764807,0.01395858,0.95330153,5.38645890,1.74617700,1.61514995,0.00000000
-5.80790395,4.97602758,0.01410845,0.92265714,5.20444159,1.73083605,1.59223381,0.00000000
-5.80190095,4.87918814,0.01427736,0.89124932,5.01475310,1.71382813,1.56734377,0.00000000
-5.79589795,4.77776521,0.01446770,0.85931941,4.81905930,1.69517096,1.54063871,0.00000000
-5.78989495,4.67233371,0.01468083,0.82709086,4.61897097,1.67485761,1.51227812,0.00000000
-5.78389195,4.56341034,0.01491693,0.79476872,4.41603116,1.65286193,1.48242060,0.00000000
-5.77788894,4.45146034,0.01517507,0.76254007,4.21170687,1.62914586,1.45122289,0.00000000
-5.77188594,4.33690775,0.01545320,0.73057531,4.00738459,1.60366808,1.41883943,0.00000000
-5.76588294,4.22014829,0.01574823,0.69903014,3.80436864,1.57639363,1.38542242,0.00000000
-5.75987994,4.10156372,0.01605622,0.66804776,3.60388179,1.54730367,1.35112226,0.00000000
-5.75387694,3.98153669,0.01637247,0.63776138,3.40706705,1.51640500,1.31608843,0.00000000
-5.74787394,3.86046509,0.01669177,0.60829654,3.21499003,1.48373863,1.28047057,0.00000000
-5.74187094,3.73877492,0.01700861,0.57977321,3.02864122,1.44938719,1.24441972,0.00000000
