energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,1.69866229,0.01106114,0.03074564,0.00916335,1.16474501,0.66342102,0.24339769,0.42589659,0.13943109
-5.99399700,1.82159190,0.01104859,0.03273519,0.00988885,1.25064955,0.71278208,0.26072145,0.45479393,0.14985189
-5.98799400,1.94550840,0.01108999,0.03469130,0.01064566,1.33731273,0.76249704,0.27829520,0.48376454,0.16040631
-5.98199100,2.06933086,0.01117173,0.03659020,0.01142847,1.42400982,0.81215731,0.29598189,0.51253135,0.17100465
-5.97598799,2.19203247,0.01128194,0.03840939,0.01223207,1.51004964,0.86137125,0.31365543,0.54083923,0.18155989
-5.96998499,2.31266759,0.01141091,0.04012824,0.01305151,1.59479254,0.90977372,0.33120445,0.56846251,0.19198989
-5.96398199,2.43039545,0.01155145,0.04172859,0.01388217,1.67766621,0.95703450,0.34853534,0.59521132,0.20221938
-5.95797899,2.54449921,0.01169903,0.04319513,0.01471991,1.75817849,1.00286512,0.36557445,0.62093644,0.21218165
-5.95197599,2.65439966,0.01185203,0.04451585,0.01556115,1.83592669,1.04702406,0.38226930,0.64553225,0.22181996
-5.94597299,2.75966307,0.01201166,0.04568223,0.01640287,1.91060294,1.08931979,0.39858870,0.66893791,0.23108842
-5.93996998,2.86000274,0.01218196,0.04668945,0.01724269,1.98199554,1.12961202,0.41452184,0.69113649,0.23995264
-5.93396698,2.95527453,0.01236961,0.04753634,0.01807883,2.04998630,1.16781079,0.43007631,0.71215217,0.24838974
-5.92796398,3.04546659,0.01258367,0.04822536,0.01891009,2.11454403,1.20387389,0.44527512,0.73204573,0.25638817
-5.92196098,3.13068406,0.01283521,0.04876233,0.01973578,2.17571474,1.23780267,0.46015302,0.75090849,0.26394695
-5.91595798,3.21112949,0.01313694,0.04915619,0.02055560,2.23360913,1.26963654,0.47475215,0.76885504,0.27107477
-5.90995498,3.28708033,0.01350262,0.04941858,0.02136957,2.28838802,1.29944668,0.48911722,0.78601522,0.27778865
-5.90395198,3.35886438,0.01394664,0.04956339,0.02217789,2.34024655,1.32732909,0.50329074,0.80252556,0.28411251
-5.89794897,3.42683460,0.01448331,0.04960627,0.02298079,2.38939797,1.35339757,0.51730815,0.81852088,0.29007558
-5.89194597,3.49134444,0.01512637,0.04956413,0.02377840,2.43605776,1.37777673,0.53119346,0.83412619,0.29571073
-5.88594297,3.55272469,0.01588834,0.04945455,0.02457059,2.48042867,1.40059545,0.54495538,0.84944939,0.30105279
-5.87993997,3.61126278,0.01677992,0.04929528,0.02535690,2.52268749,1.42198089,0.55858426,0.86457500,0.30613689
-5.87393697,3.66718525,0.01780951,0.04910372,0.02613636,2.56297369,1.44205320,0.57204992,0.87955924,0.31099695
-5.86793397,3.72064383,0.01898264,0.04889639,0.02690743,2.60138048,1.46092091,0.58530046,0.89442642,0.31566418
-5.86193097,3.77170532,0.02030159,0.04868857,0.02766792,2.63794822,1.47867714,0.59826219,0.90916692,0.32016579
-5.85592796,3.82034544,0.02176507,0.04849380,0.02841492,2.67266028,1.49539624,0.61084046,0.92373656,0.32452373
-5.84992496,3.86644639,0.02336791,0.04832361,0.02914481,2.70544127,1.51113123,0.62292155,0.93805737,0.32875370
-5.84392196,3.90979792,0.02510098,0.04818720,0.02985323,2.73615736,1.52591145,0.63437537,0.95201963,0.33286417
-5.83791896,3.95010146,0.02695116,0.04809125,0.03053510,2.76461854,1.53974073,0.64505884,0.96548494,0.33685562
-5.83191596,3.98697711,0.02890141,0.04803974,0.03118470,2.79058256,1.55259592,0.65481985,0.97829025,0.34071993
-5.82591296,4.01997290,0.03093105,0.04803389,0.03179576,2.81376031,1.56442569,0.66350154,0.99025253,0.34443994
-5.81990995,4.04857607,0.03301606,0.04807214,0.03236148,2.83382244,1.57514986,0.67094680,1.00117407,0.34798921
