energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.20829882,0.03095500,0.68854321,2.01248865,1.61507715,0.13450338,2.50264878,1.01682915,0.26425791
-5.99399700,6.26009297,0.03160943,0.69483480,2.03308692,1.64343839,0.13003248,2.51374317,1.03534712,0.27189427
-5.98799400,6.31353281,0.03212648,0.70040059,2.05384205,1.67410010,0.12553518,2.52492213,1.05257439,0.27988456
-5.98199100,6.36895072,0.03250587,0.70512169,2.07490161,1.70699997,0.12105931,2.53652608,1.06857344,0.28823979
-5.97598799,6.42676011,0.03275099,0.70890620,2.09651989,1.74206484,0.11664818,2.54892575,1.08343423,0.29697903
-5.96998499,6.48745992,0.03286890,0.71169251,2.11906095,1.77921818,0.11234027,2.56251694,1.09726774,0.30612972
-5.96398199,6.55163862,0.03287019,0.71345192,2.14299990,1.81838779,0.10816901,2.57771556,1.11020031,0.31572753
-5.95797899,6.61997699,0.03276881,0.71419036,2.16892192,1.85951356,0.10416285,2.59495296,1.12236921,0.32581593
-5.95197599,6.69324877,0.03258166,0.71394911,2.19751865,1.90255454,0.10034528,2.61467157,1.13391958,0.33644517
-5.94597299,6.77231830,0.03232825,0.71280456,2.22958140,1.94749494,0.09673504,2.63732050,1.14500257,0.34767099
-5.93996998,6.85813368,0.03203005,0.71086684,2.26599066,1.99434831,0.09334636,2.66335085,1.15577479,0.35955277
-5.93396698,6.95171458,0.03170999,0.70827738,2.30770134,2.04315961,0.09018927,2.69321015,1.16639848,0.37215128
-5.92796398,7.05413328,0.03139170,0.70520526,2.35572301,2.09400448,0.08726993,2.72733557,1.17704210,0.38552605
-5.92196098,7.16648797,0.03109887,0.70184265,2.41109502,2.14698547,0.08459096,2.76614533,1.18788090,0.39973232
-5.91595798,7.28986779,0.03085447,0.69839914,2.47485594,2.20222503,0.08215182,2.81002795,1.19909681,0.41481767
-5.90995498,7.42530917,0.03068005,0.69509520,2.54800762,2.25985507,0.07994908,2.85932890,1.21087719,0.43081848
-5.90395198,7.57374388,0.03059506,0.69215495,2.63147399,2.32000338,0.07797679,2.91433473,1.22341208,0.44775614
-5.89794897,7.73593965,0.03061614,0.68979827,2.72605564,2.38277710,0.07622673,2.97525467,1.23688957,0.46563325
-5.89194597,7.91243513,0.03075664,0.68823270,2.83238115,2.44824400,0.07468865,3.04220019,1.25148924,0.48442995
-5.88594297,8.10347152,0.03102600,0.68764515,2.95085701,2.51641223,0.07335050,3.11516326,1.26737365,0.50410040
-5.87993997,8.30892399,0.03142949,0.68819392,3.08161796,2.58720956,0.07219860,3.19399423,1.28467826,0.52456980
-5.87393697,8.52823663,0.03196783,0.69000117,3.22448047,2.66046343,0.07121779,3.27838077,1.30350019,0.54573191
-5.86793397,8.76036504,0.03263711,0.69314633,3.37890161,2.73588291,0.07039158,3.36782934,1.32388648,0.56744740
-5.86193097,9.00373106,0.03342872,0.69766065,3.54394649,2.81304420,0.06970219,3.46165068,1.34582276,0.58954321
-5.85592796,9.25619394,0.03432956,0.70352336,3.71826660,2.89138069,0.06913074,3.55895124,1.36922307,0.61181302
-5.84992496,9.51504212,0.03532221,0.71065958,3.90009184,2.97017922,0.06865728,3.65863196,1.39392190,0.63401907
-5.84392196,9.77700910,0.03638538,0.71894035,4.08723809,3.04858329,0.06826096,3.75939572,1.41966934,0.65589538
-5.83791896,10.03831592,0.03749442,0.72818486,4.27713195,3.12560414,0.06792016,3.85976465,1.44612994,0.67715246
-5.83191596,10.29474156,0.03862194,0.73816508,4.46685328,3.20014011,0.06761266,3.95810773,1.47288618,0.69748345
-5.82591296,10.54172134,0.03973856,0.74861268,4.65319548,3.27100426,0.06731591,4.05267864,1.49944661,0.71657171
-5.81990995,10.77447147,0.04081370,0.75922817,4.83274232,3.33695966,0.06700730,4.14166337,1.52525896,0.73409955
-5.81390695,10.98813643,0.04181645,0.76969195,5.00195938,3.39676151,0.06666451,4.22323626,1.54972787,0.74975802
-5.80790395,11.17795437,0.04271644,0.77967700,5.15729698,3.44920448,0.06626591,4.29562257,1.57223670,0.76325724
-5.80190095,11.33943387,0.04348473,0.78886267,5.29530084,3.49317332,0.06579100,4.35716504,1.59217260,0.77433707
-5.79589795,11.46853452,0.04409467,0.79694894,5.41272602,3.52769457,0.06522092,4.40639170,1.60895361,0.78277753
-5.78989495,11.56184276,0.04452271,0.80367064,5.50664917,3.55198663,0.06453893,4.44208140,1.62205661,0.78840856
-5.78389195,11.61673404,0.04474906,0.80881077,5.57457396,3.56550557,0.06373092,4.46332384,1.63104440,0.79111856
-5.77788894,11.63151245,0.04475831,0.81221233,5.61452483,3.56798402,0.06278590,4.46957048,1.63559058,0.79086132
-5.77188594,11.60551945,0.04453991,0.81378801,5.62512429,3.55946058,0.06169639,4.46067351,1.63550061,0.78766079
-5.76588294,11.53920485,0.04408842,0.81352699,5.60564999,3.54029760,0.06045878,4.43690974,1.63072770,0.78161346
-5.75987994,11.43415419,0.04340370,0.81149857,5.55606839,3.51118576,0.05907354,4.39898782,1.62138245,0.77288805
-5.75387694,11.29306937,0.04249083,0.80785215,5.47704334,3.47313418,0.05754536,4.34803708,1.60773529,0.76172222
-5.74787394,11.11970117,0.04135997,0.80281343,5.36991860,3.42744607,0.05588305,4.28557795,1.59021145,0.74841663
-5.74187094,10.91873499,0.04002595,0.79667694,5.23667520,3.37568000,0.05409939,4.21347439,1.56937813,0.73332616
-5.73586793,10.69563370,0.03850779,0.78979499,5.07986525,3.31959824,0.05221075,4.13386993,1.54592452,0.71684875
-5.72986493,10.45644375,0.03682809,0.78256358,4.90252546,3.26110403,0.05023658,4.04910981,1.52063526,0.69941230
-5.72386193,10.20757271,0.03501228,0.77540583,4.70807407,3.20217045,0.04819883,3.96165257,1.49435858,0.68146003
-5.71785893,9.95554831,0.03308787,0.76875369,4.50019625,3.14476390,0.04612112,3.87397497,1.46797059,0.66343510
-5.71185593,9.70676994,0.03108362,0.76302874,4.28272285,3.09076594,0.04402803,3.78847469,1.44233746,0.64576502
-5.70585293,9.46726420,0.02902874,0.75862309,4.05950821,3.04189688,0.04194415,3.70737536,1.41827729,0.62884661
-5.69984992,9.24245625,0.02695208,0.75588123,3.83431205,2.99964507,0.03989332,3.63263852,1.39652369,0.61303232
-5.69384692,9.03696749,0.02488141,0.75508381,3.61069045,2.96520514,0.03789774,3.56588681,1.37769283,0.59861828
-5.68784392,8.85444930,0.02284284,0.75643404,3.39190008,2.93942840,0.03597730,3.50834202,1.36225569,0.58583490
-5.68184092,8.69746052,0.02086021,0.76004750,3.18081917,2.92278765,0.03414892,3.46078120,1.35051690,0.57484036
-5.67583792,8.56739392,0.01895471,0.76594581,2.97988745,2.91535838,0.03242611,3.42351273,1.34260125,0.56571713
-5.66983492,8.46445494,0.01714463,0.77405440,2.79106665,2.91681706,0.03081863,3.39637363,1.33844859,0.55847195
-5.66383192,8.38769269,0.01544514,0.78420464,2.61582170,2.92645672,0.02933238,3.37874801,1.33781728,0.55303893
-5.65782891,8.33508123,0.01386829,0.79613996,2.45512204,2.94321906,0.02796940,3.36960578,1.34029616,0.54928584
-5.65182591,8.30364605,0.01242310,0.80952588,2.30946137,2.96574129,0.02672808,3.36755934,1.34532419,0.54702306
-5.64582291,8.28962924,0.01111571,0.82396330,2.17889369,2.99241568,0.02560353,3.37093559,1.35221693,0.54601482
-5.63981991,8.28868450,0.00994968,0.83900442,2.06308253,3.02145871,0.02458802,3.37785954,1.36019848,0.54599219
-5.63381691,8.29609229,0.00892625,0.85417055,1.96136032,3.05098664,0.02367160,3.38634528,1.36843721,0.54666711
-5.62781391,8.30698467,0.00804478,0.86897101,1.87279439,3.07909397,0.02284270,3.39439013,1.37608359,0.54774679
-5.62181091,8.31656929,0.00730309,0.88292224,1.79625629,3.10393120,0.02208883,3.40006731,1.38230839,0.54894797
-5.61580790,8.32034235,0.00669786,0.89556632,1.73049110,3.12377859,0.02139723,3.40161301,1.38633923,0.55001019
-5.60980490,8.31428154,0.00622500,0.90648818,1.67418409,3.13711268,0.02075549,3.39750404,1.38749411,0.55070768
-5.60380190,8.29501115,0.00587997,0.91533082,1.62602204,3.14266312,0.02015213,3.38652273,1.38521027,0.55085933
-5.59779890,8.25993335,0.00565812,0.92180805,1.58474750,3.13945772,0.01957707,3.36780667,1.37906731,0.55033638
-5.59179590,8.20732161,0.00555485,0.92571439,1.54920448,3.12685431,0.01902203,3.34088169,1.36880373,0.54906771
-5.58579290,8.13637417,0.00556588,0.92693181,1.51837465,3.10455876,0.01848071,3.30567718,1.35432642,0.54704236
-5.57978989,8.04722756,0.00568728,0.92543340,1.49140388,3.07262921,0.01794902,3.26252408,1.33571295,0.54430970
-5.57378689,7.94093195,0.00591558,0.92128382,1.46761904,3.03146704,0.01742506,3.21213630,1.31320698,0.54097695
-5.56778389,7.81939184,0.00624771,0.91463690,1.44653555,2.98179590,0.01690902,3.15557744,1.28720728,0.53720460
-5.56178089,7.68527691,0.00668100,0.90573050,1.42785655,2.92463036,0.01640305,3.09421491,1.25825134,0.53319994
-5.55577789,7.54190881,0.00721301,0.89487917,1.41146473,2.86123621,0.01591096,3.02966432,1.22699443,0.52920899
-5.54977489,7.39313026,0.00784143,0.88246476,1.39740782,2.79308462,0.01543797,2.96372711,1.19418546,0.52550734
-5.54377189,7.24316317,0.00856387,0.86892563,1.38587917,2.72180242,0.01499029,2.89832431,1.16064091,0.52239026
-5.53776888,7.09646226,0.00937773,0.85474483,1.37719455,2.64912068,0.01457483,2.83542975,1.12721794,0.52016252
-5.53176588,6.95757019,0.01027997,0.84043751,1.37176656,2.57682373,0.01419880,2.77700519,1.09478805,0.51912820
-5.52576288,6.83097959,0.01126696,0.82653821,1.37007750,2.50670028,0.01386938,2.72493995,1.06421225,0.51958099
-5.51975988,6.72100634,0.01233432,0.81358814,1.37265207,2.44049834,0.01359341,2.68099709,1.03631860,0.52179505
-5.51375688,6.63167764,0.01347680,0.80212283,1.38003052,2.37988481,0.01337714,2.64676740,1.01188286,0.52601685
-5.50775388,6.56663695,0.01468820,0.79266041,1.39274313,2.32641070,0.01322597,2.62363241,0.99161263,0.53245804
-5.50175088,6.52906718,0.01596135,0.78569065,1.41128659,2.28148223,0.01314433,2.61273667,0.97613527,0.54128943
-5.49574787,6.52163223,0.01728811,0.78166491,1.43610279,2.24633787,0.01313556,2.61496933,0.96598944,0.55263625
-5.48974487,6.54643621,0.01865941,0.78098712,1.46756023,2.22203104,0.01320179,2.63095456,0.96162018,0.56657460
-5.48374187,6.60499897,0.02006545,0.78400574,1.50593844,2.20941807,0.01334397,2.66104981,0.96337714,0.58312905
-5.47773887,6.69824589,0.02149576,0.79100689,1.55141528,2.20915055,0.01356186,2.70535107,0.97151530,0.60227137
-5.47173587,6.82650975,0.02293949,0.80220847,1.60405733,2.22167154,0.01385405,2.76370363,0.98619782,0.62392037
-5.46573287,6.98954224,0.02438556,0.81775532,1.66381321,2.24721470,0.01421801,2.83571711,1.00750018,0.64794260
-5.45972986,7.18653269,0.02582298,0.83771548,1.73050971,2.28580570,0.01465021,2.92078346,1.03541509,0.67415398
-5.45372686,7.41613197,0.02724105,0.86207749,1.80385052,2.33726519,0.01514609,3.01809658,1.06985757,0.70232225
-5.44772386,7.67647978,0.02862963,0.89074861,1.88341753,2.40121296,0.01570024,3.12667269,1.11066971,0.73217008
-5.44172086,7.96523402,0.02997936,0.92355430,1.96867433,2.47707299,0.01630637,3.24537043,1.15762472,0.76337897
-5.43571786,8.27960144,0.03128187,0.96023863,2.05897179,2.56407917,0.01695744,3.37291020,1.21043004,0.79559366
-5.42971486,8.61636936,0.03252986,1.00046606,2.15355566,2.66128201,0.01764569,3.50789228,1.26872938,0.82842729
-5.42371186,8.97193875,0.03371727,1.04382437,2.25157581,2.76755646,0.01836274,3.64881380,1.33210371,0.86146708
-5.41770885,9.34235932,0.03483926,1.08982909,2.35209726,2.88161130,0.01909960,3.79408453,1.40007151,0.89428061
-5.41170585,9.72336765,0.03589219,1.13792935,2.45411268,3.00200071,0.01984682,3.94204189,1.47208835,0.92642266
-5.40570285,10.11042967,0.03687356,1.18751535,2.55655645,3.12713850,0.02059455,4.09096568,1.54754642,0.95744262
-5.39969985,10.49878863,0.03778181,1.23792752,2.65832007,3.25531560,0.02133265,4.23909300,1.62577434,0.98689228
-5.39369685,10.88351994,0.03861617,1.28846725,2.75826893,3.38472122,0.02205090,4.38463408,1.70603782,1.01433411
-5.38769385,11.25959356,0.03937645,1.33840931,2.85526029,3.51346803,0.02273912,4.52578940,1.78754164,1.03934979
-5.38169085,11.62194457,0.04006278,1.38701575,2.94816231,3.63962145,0.02338741,4.66076880,1.86943341,1.06154886
-5.37568784,11.96555182,0.04067538,1.43355102,3.03587395,3.76123286,0.02398641,4.78781267,1.95080955,1.08057739
-5.36968484,12.28552407,0.04121435,1.47729808,3.11734534,3.87637645,0.02452753,4.90521546,2.03072374,1.09612640
-5.36368184,12.57719215,0.04167950,1.51757508,3.19159838,3.98318878,0.02500329,5.01135156,2.10819801,1.10793983
