energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.54373730,-1.54373730,0.53778736,-0.53778736,0.00000000,-0.00000000,0.61628538,-0.61628538,0.51514136,-0.51514136,0.36251225,-0.36251225,0.00000000,-0.00000000
-5.99399700,1.55204735,-1.55204735,0.54813002,-0.54813002,0.00000000,-0.00000000,0.61923608,-0.61923608,0.51991756,-0.51991756,0.35634182,-0.35634182,0.00000000,-0.00000000
-5.98799400,1.55633327,-1.55633327,0.55610495,-0.55610495,0.00000000,-0.00000000,0.62037885,-0.62037885,0.52322748,-0.52322748,0.35023691,-0.35023691,0.00000000,-0.00000000
-5.98199100,1.55580047,-1.55580047,0.56142485,-0.56142485,0.00000000,-0.00000000,0.61938661,-0.61938661,0.52480513,-0.52480513,0.34402120,-0.34402120,0.00000000,-0.00000000
-5.97598799,1.54979338,-1.54979338,0.56387336,-0.56387336,0.00000000,-0.00000000,0.61599938,-0.61599938,0.52442908,-0.52442908,0.33752839,-0.33752839,0.00000000,-0.00000000
-5.96998499,1.53782765,-1.53782765,0.56331384,-0.56331384,0.00000000,-0.00000000,0.61003539,-0.61003539,0.52193369,-0.52193369,0.33061224,-0.33061224,0.00000000,-0.00000000
-5.96398199,1.51961491,-1.51961491,0.55969511,-0.55969511,0.00000000,-0.00000000,0.60139917,-0.60139917,0.51721797,-0.51721797,0.32315517,-0.32315517,0.00000000,-0.00000000
-5.95797899,1.49507928,-1.49507928,0.55305393,-0.55305393,0.00000000,-0.00000000,0.59008590,-0.59008590,0.51025179,-0.51025179,0.31507534,-0.31507534,0.00000000,-0.00000000
-5.95197599,1.46436476,-1.46436476,0.54351417,-0.54351417,0.00000000,-0.00000000,0.57618234,-0.57618234,0.50107890,-0.50107890,0.30633187,-0.30633187,0.00000000,-0.00000000
-5.94597299,1.42783348,-1.42783348,0.53128256,-0.53128256,0.00000000,-0.00000000,0.55986403,-0.55986403,0.48981702,-0.48981702,0.29692790,-0.29692790,0.00000000,-0.00000000
-5.93996998,1.38605493,-1.38605493,0.51664146,-0.51664146,0.00000000,-0.00000000,0.54138924,-0.54138924,0.47665470,-0.47665470,0.28691172,-0.28691172,0.00000000,-0.00000000
-5.93396698,1.33978705,-1.33978705,0.49993874,-0.49993874,0.00000000,-0.00000000,0.52108997,-0.52108997,0.46184534,-0.46184534,0.27637579,-0.27637579,0.00000000,-0.00000000
-5.92796398,1.28995006,-1.28995006,0.48157550,-0.48157550,0.00000000,-0.00000000,0.49936047,-0.49936047,0.44569867,-0.44569867,0.26545397,-0.26545397,0.00000000,-0.00000000
-5.92196098,1.23759446,-1.23759446,0.46199196,-0.46199196,0.00000000,-0.00000000,0.47664401,-0.47664401,0.42857004,-0.42857004,0.25431708,-0.25431708,0.00000000,-0.00000000
-5.91595798,1.18386487,-1.18386487,0.44165238,-0.44165238,0.00000000,-0.00000000,0.45341840,-0.45341840,0.41084813,-0.41084813,0.24316714,-0.24316714,0.00000000,-0.00000000
-5.90995498,1.12996119,-1.12996119,0.42102936,-0.42102936,0.00000000,-0.00000000,0.43018105,-0.43018105,0.39294160,-0.39294160,0.23223059,-0.23223059,0.00000000,-0.00000000
-5.90395198,1.07709897,-1.07709897,0.40058849,-0.40058849,0.00000000,-0.00000000,0.40743417,-0.40743417,0.37526529,-0.37526529,0.22175087,-0.22175087,0.00000000,-0.00000000
-5.89794897,1.02647051,-1.02647051,0.38077373,-0.38077373,0.00000000,-0.00000000,0.38567070,-0.38567070,0.35822649,-0.35822649,0.21198060,-0.21198060,0.00000000,-0.00000000
-5.89194597,0.97920828,-0.97920828,0.36199414,-0.36199414,0.00000000,-0.00000000,0.36536144,-0.36536144,0.34221193,-0.34221193,0.20317384,-0.20317384,0.00000000,-0.00000000
-5.88594297,0.93635194,-0.93635194,0.34461243,-0.34461243,0.00000000,-0.00000000,0.34694392,-0.34694392,0.32757589,-0.32757589,0.19557851,-0.19557851,0.00000000,-0.00000000
-5.87993997,0.89882000,-0.89882000,0.32893561,-0.32893561,0.00000000,-0.00000000,0.33081308,-0.33081308,0.31462981,-0.31462981,0.18942945,-0.18942945,0.00000000,-0.00000000
-5.87393697,0.86738689,-0.86738689,0.31520813,-0.31520813,0.00000000,-0.00000000,0.31731416,-0.31731416,0.30363384,-0.30363384,0.18494212,-0.18494212,0.00000000,-0.00000000
-5.86793397,0.84266602,-0.84266602,0.30360744,-0.30360744,0.00000000,-0.00000000,0.30673758,-0.30673758,0.29479042,-0.29479042,0.18230713,-0.18230713,0.00000000,-0.00000000
-5.86193097,0.82509892,-0.82509892,0.29424216,-0.29424216,0.00000000,-0.00000000,0.29931600,-0.29931600,0.28824009,-0.28824009,0.18168583,-0.18168583,0.00000000,-0.00000000
-5.85592796,0.81495052,-0.81495052,0.28715268,-0.28715268,0.00000000,-0.00000000,0.29522322,-0.29522322,0.28405953,-0.28405953,0.18320679,-0.18320679,0.00000000,-0.00000000
-5.84992496,0.81231023,-0.81231023,0.28231399,-0.28231399,0.00000000,-0.00000000,0.29457477,-0.29457477,0.28226179,-0.28226179,0.18696330,-0.18696330,0.00000000,-0.00000000
-5.84392196,0.81709830,-0.81709830,0.27964059,-0.27964059,0.00000000,-0.00000000,0.29742979,-0.29742979,0.28279855,-0.28279855,0.19301192,-0.19301192,0.00000000,-0.00000000
-5.83791896,0.82907686,-0.82907686,0.27899303,-0.27899303,0.00000000,-0.00000000,0.30379407,-0.30379407,0.28556426,-0.28556426,0.20137180,-0.20137180,0.00000000,-0.00000000
-5.83191596,0.84786483,-0.84786483,0.28018585,-0.28018585,0.00000000,-0.00000000,0.31362367,-0.31362367,0.29040185,-0.29040185,0.21202492,-0.21202492,0.00000000,-0.00000000
-5.82591296,0.87295583,-0.87295583,0.28299638,-0.28299638,0.00000000,-0.00000000,0.32682904,-0.32682904,0.29710971,-0.29710971,0.22491701,-0.22491701,0.00000000,-0.00000000
-5.81990995,0.90373822,-0.90373822,0.28717416,-0.28717416,0.00000000,-0.00000000,0.34327911,-0.34327911,0.30544966,-0.30544966,0.23995907,-0.23995907,0.00000000,-0.00000000
-5.81390695,0.93951630,-0.93951630,0.29245048,-0.29245048,0.00000000,-0.00000000,0.36280534,-0.36280534,0.31515558,-0.31515558,0.25702943,-0.25702943,0.00000000,-0.00000000
-5.80790395,0.97953193,-0.97953193,0.29854775,-0.29854775,0.00000000,-0.00000000,0.38520532,-0.38520532,0.32594224,-0.32594224,0.27597611,-0.27597611,0.00000000,-0.00000000
-5.80190095,1.02298554,-1.02298554,0.30518830,-0.30518830,0.00000000,-0.00000000,0.41024594,-0.41024594,0.33751415,-0.33751415,0.29661953,-0.29661953,0.00000000,-0.00000000
-5.79589795,1.06905607,-1.06905607,0.31210235,-0.31210235,0.00000000,-0.00000000,0.43766601,-0.43766601,0.34957405,-0.34957405,0.31875533,-0.31875533,0.00000000,-0.00000000
-5.78989495,1.11691897,-1.11691897,0.31903497,-0.31903497,0.00000000,-0.00000000,0.46717831,-0.46717831,0.36183064,-0.36183064,0.34215729,-0.34215729,0.00000000,-0.00000000
-5.78389195,1.16576201,-1.16576201,0.32575177,-0.32575177,0.00000000,-0.00000000,0.49847120,-0.49847120,0.37400559,-0.37400559,0.36658029,-0.36658029,0.00000000,-0.00000000
-5.77788894,1.21479846,-1.21479846,0.33204326,-0.33204326,0.00000000,-0.00000000,0.53120986,-0.53120986,0.38583929,-0.38583929,0.39176319,-0.39176319,0.00000000,-0.00000000
-5.77188594,1.26327745,-1.26327745,0.33772784,-0.33772784,0.00000000,-0.00000000,0.56503739,-0.56503739,0.39709557,-0.39709557,0.41743165,-0.41743165,0.00000000,-0.00000000
-5.76588294,1.31049168,-1.31049168,0.34265345,-0.34265345,0.00000000,-0.00000000,0.59957588,-0.59957589,0.40756496,-0.40756496,0.44330091,-0.44330091,0.00000000,-0.00000000
-5.75987994,1.35578236,-1.35578236,0.34669793,-0.34669793,0.00000000,-0.00000000,0.63442780,-0.63442780,0.41706681,-0.41706681,0.46907852,-0.46907852,0.00000000,-0.00000000
-5.75387694,1.39854199,-1.39854200,0.34976820,-0.34976820,0.00000000,-0.00000000,0.66917783,-0.66917784,0.42545009,-0.42545009,0.49446702,-0.49446702,0.00000000,-0.00000000
-5.74787394,1.43821514,-1.43821514,0.35179860,-0.35179860,0.00000000,-0.00000000,0.70339544,-0.70339544,0.43259312,-0.43259312,0.51916673,-0.51916673,0.00000000,-0.00000000
-5.74187094,1.47429787,-1.47429787,0.35274834,-0.35274834,0.00000000,-0.00000000,0.73663833,-0.73663833,0.43840236,-0.43840236,0.54287872,-0.54287872,0.00000000,-0.00000000
-5.73586793,1.50633638,-1.50633638,0.35259855,-0.35259855,0.00000000,-0.00000000,0.76845694,-0.76845694,0.44281045,-0.44281045,0.56530790,-0.56530790,0.00000000,-0.00000000
-5.72986493,1.53392541,-1.53392541,0.35134895,-0.35134895,0.00000000,-0.00000000,0.79840004,-0.79840004,0.44577378,-0.44577378,0.58616649,-0.58616649,0.00000000,-0.00000000
