energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.69665923,0.00313649,0.00020355,0.00015163,0.53478653,0.44358582,0.39178610
-5.99399700,0.71488191,0.00323749,0.00020711,0.00014908,0.55049276,0.45607703,0.40208512
-5.98799400,0.73475353,0.00337286,0.00021158,0.00015522,0.56769342,0.46864691,0.41324845
-5.98199100,0.75639077,0.00354967,0.00021684,0.00017047,0.58649385,0.48129248,0.42537315
-5.97598799,0.77993286,0.00377584,0.00022287,0.00019547,0.60701109,0.49402882,0.43856022
-5.96998499,0.80553297,0.00406008,0.00022963,0.00023114,0.62936649,0.50688755,0.45290873
-5.96398199,0.83334935,0.00441187,0.00023716,0.00027866,0.65367816,0.51991532,0.46850997
-5.95797899,0.86353660,0.00484140,0.00024553,0.00033947,0.68005364,0.53317234,0.48544177
-5.95197599,0.89623718,0.00535950,0.00025482,0.00041521,0.70858295,0.54673082,0.50376313
-5.94597299,0.93157348,0.00597750,0.00026516,0.00050775,0.73933224,0.56067337,0.52350956
-5.93996998,0.96964053,0.00670713,0.00027668,0.00061912,0.77233820,0.57509109,0.54468908
-5.93396698,1.01049950,0.00756025,0.00028951,0.00075149,0.80760336,0.59008136,0.56727916
-5.92796398,1.05417189,0.00854865,0.00030379,0.00090707,0.84509223,0.60574527,0.59122453
-5.92196098,1.10063459,0.00968371,0.00031965,0.00108807,0.88472845,0.62218436,0.61643602
-5.91595798,1.14981569,0.01097602,0.00033719,0.00129661,0.92639277,0.63949699,0.64279036
-5.90995498,1.20159102,0.01243497,0.00035649,0.00153461,0.96992195,0.65777409,0.67013085
-5.90395198,1.25578148,0.01406823,0.00037757,0.00180371,1.01510851,0.67709441,0.69826892
-5.89794897,1.31215108,0.01588129,0.00040044,0.00210514,1.06170124,0.69751955,0.72698651
-5.89194597,1.37040585,0.01787684,0.00042505,0.00243961,1.10940648,0.71908880,0.75603897
-5.88594297,1.43019366,0.02005433,0.00045128,0.00280723,1.15789024,0.74181412,0.78515871
-5.87993997,1.49110513,0.02240938,0.00047899,0.00320738,1.20678102,0.76567567,0.81405921
-5.87393697,1.55267580,0.02493338,0.00050799,0.00363860,1.25567360,0.79061800,0.84243952
-5.86793397,1.61438979,0.02761316,0.00053800,0.00409860,1.30413370,0.81654741,0.86998907
-5.86193097,1.67568512,0.03043072,0.00056876,0.00458412,1.35170364,0.84333080,0.89639281
-5.85592796,1.73596104,0.03336320,0.00059993,0.00509101,1.39790918,0.87079608,0.92133662
-5.84992496,1.79458721,0.03638299,0.00063116,0.00561417,1.44226737,0.89873455,0.94451299
-5.84392196,1.85091512,0.03945803,0.00066209,0.00614767,1.48429560,0.92690522,0.96562689
-5.83791896,1.90429145,0.04255235,0.00069235,0.00668481,1.52352170,0.95504104,0.98440176
-5.83191596,1.95407318,0.04562680,0.00072158,0.00721828,1.55949492,0.98285683,1.00058570
-5.82591296,1.99964427,0.04863991,0.00074944,0.00774032,1.59179750,1.01005878,1.01395747
-5.81990995,2.04043314,0.05154904,0.00077561,0.00824290,1.62005660,1.03635491,1.02433254
-5.81390695,2.07593049,0.05431153,0.00079982,0.00871798,1.64395598,1.06146605,1.03156857
-5.80790395,2.10570653,0.05688601,0.00082184,0.00915774,1.66324707,1.08513673,1.03557053
-5.80190095,2.12942688,0.05923366,0.00084151,0.00955481,1.67775870,1.10714536,1.03629496
-5.79589795,2.14686623,0.06131951,0.00085870,0.00990249,1.68740507,1.12731303,1.03375318
