energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.18524342,0.01946713,0.43676723,0.83964681,0.56185966,0.87401448,0.99934498,0.01043402,1.35608485
-5.99399700,3.18591227,0.01935214,0.43951497,0.84377915,0.55592895,0.87299199,1.01070078,0.00989069,1.35277896
-5.98799400,3.18762740,0.01913225,0.44184251,0.84848259,0.54985277,0.87087303,1.02153579,0.00939631,1.35072067
-5.98199100,3.19002818,0.01881253,0.44355224,0.85383277,0.54367383,0.86764901,1.03145100,0.00895065,1.34999466
-5.97598799,3.19282569,0.01840044,0.44446676,0.85991695,0.53745225,0.86335892,1.04008251,0.00855290,1.35070187
-5.96998499,3.19581252,0.01790552,0.44443570,0.86682934,0.53126440,0.85808903,1.04711336,0.00820190,1.35295473
-5.96398199,3.19886555,0.01733907,0.44334135,0.87466471,0.52520046,0.85197037,1.05228309,0.00789621,1.35686978
-5.95797899,3.20194237,0.01671370,0.44110306,0.88351079,0.51936076,0.84517408,1.05539485,0.00763421,1.36255794
-5.95197599,3.20507182,0.01604291,0.43768019,0.89343982,0.51385110,0.83790517,1.05631978,0.00741418,1.37011346
-5.94597299,3.20833988,0.01534061,0.43307363,0.90449991,0.50877755,0.83039477,1.05499879,0.00723440,1.37960200
-5.93996998,3.21187206,0.01462064,0.42732580,0.91670684,0.50424075,0.82289143,1.05144171,0.00709311,1.39104906
-5.93396698,3.21581402,0.01389634,0.42051919,0.93003678,0.50033044,0.81565209,1.04572404,0.00698862,1.40442942
-5.92796398,3.22031178,0.01318011,0.41277364,0.94442067,0.49712021,0.80893290,1.03798166,0.00691929,1.41965861
-5.92196098,3.22549319,0.01248309,0.40424233,0.95974064,0.49466316,0.80298066,1.02840372,0.00688354,1.43658709
-5.91595798,3.23145193,0.01181482,0.39510684,0.97582886,0.49298842,0.79802508,1.01722428,0.00687989,1.45499784
-5.90995498,3.23823538,0.01118306,0.38557138,0.99246914,0.49209903,0.79427235,1.00471300,0.00690693,1.47460756
-5.90395198,3.24583696,0.01059366,0.37585654,1.00940125,0.49197112,0.79190031,0.99116541,0.00696339,1.49507189
-5.89794897,3.25419363,0.01005049,0.36619269,1.02632792,0.49255455,0.79105518,0.97689316,0.00704813,1.51599435
-5.89194597,3.26318870,0.00955546,0.35681334,1.04292429,0.49377496,0.79185028,0.96221458,0.00716015,1.53693883
-5.88594297,3.27265953,0.00910866,0.34794881,1.05884931,0.49553714,0.79436636,0.94744601,0.00729868,1.55744489
-5.87993997,3.28240966,0.00870851,0.33982014,1.07375866,0.49772946,0.79865364,0.93289402,0.00746314,1.57704533
-5.87393697,3.29222450,0.00835199,0.33263374,1.08731842,0.50022919,0.80473523,0.91884876,0.00765326,1.59528495
-5.86793397,3.30188919,0.00803490,0.32657674,1.09921895,0.50290839,0.81261173,0.90557866,0.00786902,1.61173956
-5.86193097,3.31120762,0.00775214,0.32181320,1.10918798,0.50563993,0.82226647,0.89332626,0.00811077,1.62603415
-5.85592796,3.32002089,0.00749806,0.31848123,1.11700256,0.50830358,0.83367128,0.88230536,0.00837916,1.63785926
-5.84992496,3.32822406,0.00726671,0.31669106,1.12249880,0.51079140,0.84679210,0.87269928,0.00867522,1.64698450
-5.84392196,3.33577964,0.00705216,0.31652403,1.12557923,0.51301261,0.86159420,0.86466007,0.00900029,1.65326857
-5.83791896,3.34272695,0.00684874,0.31803238,1.12621710,0.51489729,0.87804659,0.85830845,0.00935602,1.65666493
-5.83191596,3.34918624,0.00665129,0.32123983,1.12445744,0.51639893,0.89612526,0.85373444,0.00974428,1.65722301
-5.82591296,3.35535716,0.00645532,0.32614275,1.12041479,0.51749561,0.91581499,0.85099817,0.01016713,1.65508461
-5.81990995,3.36151138,0.00625714,0.33271181,1.11426773,0.51818980,0.93710958,0.85013097,0.01062664,1.65047571
-5.81390695,3.36797939,0.00605397,0.34089393,1.10625038,0.51850679,0.96001037,0.85113641,0.01112478,1.64369412
-5.80790395,3.37513225,0.00584397,0.35061444,1.09664139,0.51849184,0.98452304,0.85399116,0.01166331,1.63509349
-5.80190095,3.38335896,0.00562621,0.36177923,1.08575095,0.51820629,1.01065285,0.85864569,0.01224353,1.62506469
-5.79589795,3.39304076,0.00540064,0.37427683,1.07390654,0.51772280,1.03839847,0.86502472,0.01286612,1.61401533
-5.78989495,3.40452385,0.00516800,0.38798029,1.06143815,0.51712006,1.06774478,0.87302745,0.01353098,1.60234880
-5.78389195,3.41809192,0.00492971,0.40274887,1.04866372,0.51647731,1.09865495,0.88252768,0.01423698,1.59044371
-5.77788894,3.43394037,0.00468775,0.41842945,1.03587566,0.51586884,1.13106239,0.89337397,0.01498186,1.57863507
-5.77188594,3.45215363,0.00444450,0.43485776,1.02332900,0.51535910,1.16486286,0.90538997,0.01576202,1.56719804
-5.76588294,3.47268730,0.00420262,0.45185937,1.01123197,0.51499832,1.19990765,0.91837509,0.01657246,1.55633530
