energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.71368977,-3.76078475,0.78122372,-0.80252335,0.00000000,-0.00000000,1.84509664,-1.84470860,0.36407187,-0.36287297,0.05785613,-0.05921402,1.49658871,-1.50252764
-5.99399700,3.63110745,-3.77810515,0.76368489,-0.80123633,0.00000000,-0.00000000,1.81207363,-1.85637333,0.35498268,-0.36342959,0.05671080,-0.06002185,1.46529432,-1.51635308
-5.98799400,3.52995025,-3.77439762,0.74281310,-0.79602797,0.00000000,-0.00000000,1.76946263,-1.85745919,0.34433456,-0.36215730,0.05523064,-0.06047301,1.42578810,-1.52109100
-5.98199100,3.41211682,-3.74933433,0.71899351,-0.78689708,0.00000000,-0.00000000,1.71810718,-1.84787921,0.33233445,-0.35902135,0.05344059,-0.06054806,1.37882950,-1.51652912
-5.97598799,3.27984556,-3.70308196,0.69267842,-0.77393504,0.00000000,-0.00000000,1.65901548,-1.82776884,0.31922399,-0.35403700,0.05137209,-0.06023666,1.32532076,-1.50266549
-5.96998499,3.13564337,-3.63629735,0.66437482,-0.75732398,0.00000000,-0.00000000,1.59333062,-1.79748298,0.30527207,-0.34726951,0.04906194,-0.05953787,1.26627645,-1.47970811
-5.96398199,2.98220846,-3.55010646,0.63463062,-0.73733221,0.00000000,-0.00000000,1.52229785,-1.75758614,0.29076677,-0.33883230,0.04655106,-0.05846001,1.20279055,-1.44806713
-5.95797899,2.82235066,-3.44606763,0.60402032,-0.71430704,0.00000000,-0.00000000,1.44723042,-1.70883608,0.27600702,-0.32888352,0.04388315,-0.05702031,1.13600243,-1.40834004
-5.95197599,2.65891251,-3.32612139,0.57313054,-0.68866545,0.00000000,-0.00000000,1.36947523,-1.65216184,0.26129419,-0.31762112,0.04110332,-0.05524415,1.06706342,-1.36129070
-5.94597299,2.49469413,-3.19252873,0.54254577,-0.66088296,0.00000000,-0.00000000,1.29037959,-1.58863704,0.24692411,-0.30527678,0.03825681,-0.05316413,0.99710516,-1.30782315
-5.93996998,2.33238435,-3.04780120,0.51283500,-0.63148112,0.00000000,-0.00000000,1.21126036,-1.51944973,0.23317960,-0.29210883,0.03538775,-0.05081888,0.92721104,-1.24895158
-5.93396698,2.17450047,-2.89462549,0.48453934,-0.60101414,0.00000000,-0.00000000,1.13337617,-1.44586997,0.22032378,-0.27839460,0.03253806,-0.04825167,0.85839154,-1.18576779
-5.92796398,2.02333773,-2.73578601,0.45816094,-0.57005515,0.00000000,-0.00000000,1.05790359,-1.36921652,0.20859433,-0.26442238,0.02974651,-0.04550904,0.79156428,-1.11940766
-5.92196098,1.88092967,-2.57408836,0.43415349,-0.53918244,0.00000000,-0.00000000,0.98591759,-1.29082383,0.19819869,-0.25048350,0.02704801,-0.04263930,0.72753901,-1.05101807
-5.91595798,1.74901954,-2.41228663,0.41291428,-0.50896629,0.00000000,-0.00000000,0.91837656,-1.21201062,0.18931044,-0.23686452,0.02447304,-0.03969108,0.66700772,-0.98172555
-5.90995498,1.62904240,-2.25301688,0.39477783,-0.47995647,0.00000000,-0.00000000,0.85611163,-1.13405098,0.18206656,-0.22384008,0.02204730,-0.03671202,0.61053968,-0.91260787
