energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.20785379,1.25377832,0.20789181,0.00834407,0.26058097,0.00636378,0.46658826
-5.99399700,1.22744686,1.24171990,0.21815337,0.00852551,0.25689326,0.00680584,0.48007794
-5.98799400,1.25319320,1.23437254,0.23011632,0.00867809,0.25470385,0.00731876,0.49549409
-5.98199100,1.28542233,1.23224719,0.24381349,0.00880222,0.25420664,0.00790385,0.51283970
-5.97598799,1.32435746,1.23577723,0.25925044,0.00889906,0.25558616,0.00856094,0.53206880
-5.96998499,1.37010437,1.24530899,0.27640330,0.00897041,0.25901359,0.00928822,0.55308411
-5.96398199,1.42264305,1.26109427,0.29521727,0.00901868,0.26464287,0.01008201,0.57573622
-5.95797899,1.48182232,1.28328461,0.31560600,0.00904671,0.27260670,0.01093669,0.59982442
-5.95197599,1.54735733,1.31192694,0.33745180,0.00905768,0.28301244,0.01184467,0.62509915
-5.94597299,1.61883017,1.34696069,0.36060669,0.00905495,0.29593790,0.01279636,0.65126615
-5.93996998,1.69569357,1.38821622,0.38489428,0.00904190,0.31142716,0.01378031,0.67799225
-5.93396698,1.77727798,1.43541484,0.41011255,0.00902178,0.32948653,0.01478336,0.70491289
-5.92796398,1.86280216,1.48817068,0.43603752,0.00899761,0.35008083,0.01579091,0.73164098
-5.92196098,1.95138733,1.54599470,0.46242775,0.00897207,0.37313038,0.01678722,0.75777728
-5.91595798,2.04207515,1.60830140,0.48902960,0.00894741,0.39850885,0.01775580,0.78292184
-5.90995498,2.13384924,1.67441851,0.51558331,0.00892542,0.42604243,0.01867990,0.80668627
-5.90395198,2.22566018,1.74359994,0.54182966,0.00890742,0.45551049,0.01954294,0.82870653
-5.89794897,2.31645352,1.81504228,0.56751716,0.00889426,0.48664804,0.02032908,0.84865567
-5.89194597,2.40520014,1.88790459,0.59240945,0.00888643,0.51915019,0.02102369,0.86625621
-5.88594297,2.49092803,1.96133140,0.61629282,0.00888407,0.55267860,0.02161385,0.88129140
-5.87993997,2.57275448,2.03447814,0.63898346,0.00888709,0.58686995,0.02208881,0.89361501
-5.87393697,2.64991721,2.10653827,0.66033418,0.00889528,0.62134615,0.02244039,0.90315895
-5.86793397,2.72180311,2.17677097,0.68024018,0.00890838,0.65572600,0.02266324,0.90993839
-5.86193097,2.78797297,2.24452811,0.69864366,0.00892619,0.68963793,0.02275507,0.91405384
-5.85592796,2.84818073,2.30927901,0.71553674,0.00894862,0.72273305,0.02271671,0.91568987
-5.84992496,2.90238585,2.37063158,0.73096268,0.00897574,0.75469794,0.02255212,0.91511044
-5.84392196,2.95075760,2.42834835,0.74501486,0.00900783,0.78526654,0.02226820,0.91265077
-5.83791896,2.99367042,2.48235611,0.75783356,0.00904531,0.81423026,0.02187453,0.90870581
-5.83191596,3.03168980,2.53274815,0.76960052,0.00908874,0.84144573,0.02138304,0.90371584
-5.82591296,3.06554891,2.57977839,0.78053117,0.00913876,0.86683961,0.02080749,0.89814964
-5.81990995,3.09611610,2.62384715,0.79086494,0.00919595,0.89040989,0.02016302,0.89248576
-5.81390695,3.12435475,2.66547875,0.80085382,0.00926081,0.91222367,0.01946554,0.88719295
-5.80790395,3.15127659,2.70529162,0.81074968,0.00933357,0.93241101,0.01873118,0.88271038
-5.80190095,3.17789082,2.74396210,0.82079093,0.00941417,0.95115540,0.01797572,0.87942860
-5.79589795,3.20515109,2.78218355,0.83118910,0.00950210,0.96868095,0.01721406,0.87767233
-5.78989495,3.23390312,2.82062270,0.84211603,0.00959637,0.98523710,0.01645973,0.87768562
-5.78389195,3.26483564,2.85987555,0.85369242,0.00969545,1.00108163,0.01572455,0.87962038
-5.77788894,3.29843723,2.90042512,0.86597835,0.00979726,1.01646280,0.01501830,0.88352878
-5.77188594,3.33496162,2.94260343,0.87896641,0.00989919,1.03160185,0.01434851,0.88935984
-5.76588294,3.37440352,2.98656004,0.89257792,0.00999817,1.04667675,0.01372043,0.89696069
-5.75987994,3.41648670,3.03223895,0.90666257,0.01009071,1.06180829,0.01313697,0.90608214
-5.75387694,3.46066520,3.07936553,0.92100175,0.01017308,1.07704934,0.01259890,0.91638869
-5.74787394,3.50613829,3.12744451,0.93531545,0.01024139,1.09237810,0.01210500,0.92747230
