energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.13011442,0.00699566,0.07037706,0.21074569,0.30820457,0.01420317,0.40445522,0.25488482,0.20793832
-5.99399700,1.06420444,0.00659852,0.06741071,0.20043423,0.29108033,0.01266592,0.38113353,0.24938941,0.18949073
-5.98799400,1.00705549,0.00626291,0.06488782,0.19143378,0.27628017,0.01125108,0.36105889,0.24596153,0.17270897
-5.98199100,0.95905027,0.00598871,0.06284600,0.18384964,0.26389945,0.00996380,0.34436462,0.24467575,0.15767793
-5.97598799,0.92035945,0.00577492,0.06130923,0.17775177,0.25397786,0.00880608,0.33110863,0.24555653,0.14444088
-5.96998499,0.89094292,0.00561952,0.06028754,0.17317331,0.24649876,0.00777720,0.32127432,0.24857631,0.13300242
-5.96398199,0.87055761,0.00551946,0.05977708,0.17011065,0.24139028,0.00687394,0.31477392,0.25365553,0.12333227
-5.95797899,0.85877153,0.00547068,0.05976078,0.16852478,0.23852811,0.00609108,0.31145406,0.26066452,0.11536997
-5.95197599,0.85498361,0.00546814,0.06020937,0.16834406,0.23774003,0.00542173,0.31110349,0.26942735,0.10903006
-5.94597299,0.85844851,0.00550590,0.06108282,0.16946811,0.23881181,0.00485776,0.31346259,0.27972753,0.10420776
-5.93996998,0.86830575,0.00557727,0.06233221,0.17177286,0.24149449,0.00439021,0.31823434,0.29131542,0.10078472
-5.93396698,0.88361216,0.00567498,0.06390180,0.17511636,0.24551268,0.00400962,0.32509656,0.30391711,0.09863487
-5.92796398,0.90337656,0.00579131,0.06573140,0.17934524,0.25057366,0.00370638,0.33371483,0.31724445,0.09763003
-5.92196098,0.92659544,0.00591836,0.06775880,0.18430145,0.25637698,0.00347104,0.34375570,0.33100590,0.09764525
-5.91595798,0.95228853,0.00604820,0.06992228,0.18982913,0.26262408,0.00329453,0.35489974,0.34491778,0.09856363
-5.90995498,0.97953284,0.00617315,0.07216301,0.19578114,0.26902791,0.00316836,0.36685385,0.35871532,0.10028056
-5.90395198,1.00749389,0.00628592,0.07442731,0.20202512,0.27532182,0.00308482,0.37936245,0.37216321,0.10270715
-5.89794897,1.03545298,0.00637986,0.07666862,0.20844860,0.28126765,0.00303705,0.39221684,0.38506497,0.10577291
-5.89194597,1.06282910,0.00644911,0.07884908,0.21496316,0.28666261,0.00301913,0.40526255,0.39727080,0.10942738
