energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.10207490,-2.09608342,0.87635571,-0.87401244,0.58249612,-0.58051891,0.00291793,-0.00291213,0.36350034,-0.36205643,0.04105681,-0.04097410,0.81826663,-0.81644451
-5.99399700,2.23064035,-2.22457166,0.93548618,-0.93310491,0.61748126,-0.61546062,0.00306561,-0.00305947,0.38808709,-0.38657642,0.04325934,-0.04317588,0.86718359,-0.86538949
-5.98799400,2.36000060,-2.35388578,0.99524922,-0.99283878,0.65305393,-0.65099379,0.00322175,-0.00321539,0.41396736,-0.41238474,0.04545581,-0.04537344,0.91527068,-0.91352844
-5.98199100,2.48926040,-2.48312967,1.05536400,-1.05293197,0.68906650,-0.68697121,0.00338315,-0.00337669,0.44121657,-0.43955712,0.04760121,-0.04752170,0.96192265,-0.96025530
-5.97598799,2.61755851,-2.61144110,1.11558065,-1.11313319,0.72536840,-0.72324292,0.00354661,-0.00354017,0.46990673,-0.46816619,0.04965183,-0.04957689,1.00655579,-1.00498509
-5.96998499,2.74407886,-2.73800302,1.17568471,-1.17322652,0.76180502,-0.75965519,0.00370901,-0.00370269,0.50010179,-0.49827691,0.05156650,-0.05149769,1.04861956,-1.04716558
-5.96398199,2.86805951,-2.86205248,1.23549997,-1.23303424,0.79821655,-0.79604931,0.00386734,-0.00386126,0.53185321,-0.52994205,0.05330754,-0.05324625,1.08760700,-1.08628768
-5.95797899,2.98879954,-2.98288761,1.29488940,-1.29241793,0.83443709,-0.83226065,0.00401878,-0.00401302,0.56519569,-0.56319794,0.05484172,-0.05478914,1.12306356,-1.12189448
-5.95197599,3.10566395,-3.09987252,1.35375434,-1.35127765,0.87029414,-0.86811806,0.00416071,-0.00415537,0.60014353,-0.59806066,0.05614101,-0.05609810,1.15459444,-1.15358853
-5.94597299,3.21808702,-3.21244060,1.41203191,-1.40954942,0.90560873,-0.90344397,0.00429079,-0.00428594,0.63668765,-0.63452312,0.05718317,-0.05715064,1.18187003,-1.18103743
-5.93996998,3.32557418,-3.32009634,1.46969083,-1.46720114,0.94019642,-0.93805523,0.00440694,-0.00440265,0.67479360,-0.67255285,0.05795209,-0.05793041,1.20462966,-1.20397766
-5.93396698,3.42770282,-3.42241611,1.52672580,-1.52422694,0.97386913,-0.97176486,0.00450740,-0.00450370,0.71440051,-0.71209092,0.05843801,-0.05842735,1.22268360,-1.22221661
-5.92796398,3.52412217,-3.51904791,1.58315071,-1.58064048,1.00643792,-1.00438476,0.00459069,-0.00458764,0.75542100,-0.75305173,0.05863741,-0.05863773,1.23591341,-1.23563304
-5.92196098,3.61455235,-3.60971040,1.63899089,-1.63646722,1.03771655,-1.03572915,0.00465569,-0.00465330,0.79774203,-0.79532379,0.05855281,-0.05856384,1.24427084,-1.24417601
-5.91595798,3.69878274,-3.69419123,1.69427477,-1.69173607,1.06752578,-1.06561880,0.00470155,-0.00469986,0.84122646,-0.83877125,0.05819233,-0.05821357,1.24777538,-1.24786250
-5.90995498,3.77666953,-3.77234453,1.74902507,-1.74647061,1.09569793,-1.09388557,0.00472777,-0.00472676,0.88571514,-0.88323588,0.05756910,-0.05759989,1.24651073,-1.24677389
-5.90395198,3.84813232,-3.84408757,1.80324999,-1.80068024,1.12208166,-1.12037717,0.00473409,-0.00473377,0.93102930,-0.92853950,0.05670055,-0.05674009,1.24062029,-1.24105154
-5.89794897,3.91314971,-3.90939634,1.85693447,-1.85435149,1.14654642,-1.14496162,0.00472057,-0.00472093,0.97697289,-0.97448632,0.05560759,-0.05565496,1.23030200,-1.23089159
-5.89194597,3.97175351,-3.96829992,1.91003204,-1.90743978,1.16898631,-1.16753116,0.00468752,-0.00468854,1.02333471,-1.02086509,0.05431380,-0.05436800,1.21580255,-1.21653921
-5.88594297,4.02402164,-4.02087342,1.96245730,-1.95986195,1.18932289,-1.18800517,0.00463547,-0.00463713,1.06988998,-1.06745077,0.05284450,-0.05290452,1.19741119,-1.19828242
-5.87993997,4.07006946,-4.06722955,2.01407954,-2.01148974,1.20750691,-1.20633197,0.00456519,-0.00456744,1.11640144,-1.11400566,0.05122595,-0.05129077,1.17545331,-1.17644568
-5.87393697,4.11003974,-4.10750864,2.06471754,-2.06214467,1.22351845,-1.22248910,0.00447761,-0.00448043,1.16261954,-1.16027970,0.04948456,-0.04955319,1.15028387,-1.15138329
-5.86793397,4.14409144,-4.14186763,2.11413613,-2.11159438,1.23736560,-1.23648218,0.00437387,-0.00437722,1.20828215,-1.20601027,0.04764619,-0.04771768,1.12228081,-1.12347278
-5.86193097,4.17238762,-4.17046811,2.16204454,-2.15955101,1.24908169,-1.24834215,0.00425522,-0.00425907,1.25311370,-1.25092140,0.04573551,-0.04580901,1.09183855,-1.09310840
-5.85592796,4.19508325,-4.19346419,2.20809688,-2.20567154,1.25872108,-1.25812134,0.00412308,-0.00412738,1.29682398,-1.29472264,0.04377559,-0.04385031,1.05936161,-1.06069475
-5.84992496,4.21231336,-4.21099077,2.25189506,-2.24956059,1.26635399,-1.26588825,0.00397894,-0.00398363,1.33910706,-1.33710804,0.04178747,-0.04186275,1.02525865,-1.02664075
-5.84392196,4.22418266,-4.22315307,2.29299417,-2.29077571,1.27206060,-1.27172184,0.00382437,-0.00382943,1.37964062,-1.37775544,0.03978998,-0.03986523,0.98993672,-0.99135389
-5.83791896,4.23075725,-4.23001834,2.33091054,-2.32883527,1.27592499,-1.27570542,0.00366103,-0.00366639,1.41808609,-1.41632666,0.03779961,-0.03787436,0.95379614,-0.95523505
-5.83191596,4.23205947,-4.23161052,2.36513239,-2.36322900,1.27802929,-1.27792087,0.00349059,-0.00349621,1.45409008,-1.45246880,0.03583045,-0.03590432,0.91722587,-0.91867386
-5.82591296,4.22806651,-4.22790871,2.39513291,-2.39343093,1.27844873,-1.27844360,0.00331475,-0.00332058,1.48728726,-1.48581712,0.03389437,-0.03396706,0.88059949,-0.88204465
