energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,2.87771184,0.02074293,0.14630415,0.61404995,0.45118344,0.44382343,0.07065351,1.24267188
-5.99399700,2.88336855,0.02027047,0.14726418,0.61287207,0.45252969,0.44505442,0.07065981,1.24391317
-5.98799400,2.87123469,0.01971878,0.14731152,0.60795088,0.45097218,0.44385242,0.07021348,1.23753576
-5.98199100,2.84191000,0.01910446,0.14646079,0.59946553,0.44657409,0.44034886,0.06933095,1.22384008
-5.97598799,2.79636714,0.01844501,0.14474553,0.58767229,0.43945788,0.43473000,0.06803856,1.20328796
-5.96998499,2.73591959,0.01775829,0.14221710,0.57289646,0.42980117,0.42722998,0.06637180,1.17648766
-5.96398199,2.66217880,0.01706192,0.13894303,0.55552210,0.41783080,0.41812240,0.06437442,1.14417423
-5.95797899,2.57700256,0.01637275,0.13500475,0.53598025,0.40381544,0.40771064,0.06209720,1.10718619
-5.95197599,2.48243699,0.01570644,0.13049510,0.51473602,0.38805702,0.39631737,0.05959666,1.06643962
-5.94597299,2.38065474,0.01507699,0.12551549,0.49227523,0.37088152,0.38427389,0.05693358,1.02290076
-5.93996998,2.27389222,0.01449647,0.12017287,0.46909103,0.35262926,0.37190956,0.05417150,0.97755846
-5.93396698,2.16438829,0.01397480,0.11457678,0.44567130,0.33364534,0.35954187,0.05137526,0.93139743
-5.92796398,2.05432688,0.01351966,0.10883643,0.42248691,0.31427051,0.34746758,0.04860947,0.88537347
-5.92196098,1.94578543,0.01313645,0.10305798,0.39998158,0.29483273,0.33595518,0.04593727,0.84039136
-5.91595798,1.84069073,0.01282839,0.09734213,0.37856333,0.27563983,0.32523889,0.04341901,0.79728622
-5.90995498,1.74078317,0.01259674,0.09178205,0.35859783,0.25697331,0.31551443,0.04111124,0.75680860
-5.90395198,1.64758982,0.01244099,0.08646163,0.34040363,0.23908357,0.30693645,0.03906576,0.71961342
-5.89794897,1.56240634,0.01235918,0.08145430,0.32424918,0.22218646,0.29961767,0.03732886,0.68625285
-5.89194597,1.48628731,0.01234826,0.07682205,0.31035156,0.20646120,0.29362956,0.03594066,0.65717275
-5.88594297,1.42004392,0.01240439,0.07261503,0.29887655,0.19204961,0.28900431,0.03493466,0.63271215
-5.87993997,1.36424805,0.01252330,0.06887133,0.28993996,0.17905641,0.28573780,0.03433729,0.61310543
-5.87393697,1.31924143,0.01270058,0.06561721,0.28360976,0.16755055,0.28379347,0.03416763,0.59848647
-5.86793397,1.28514842,0.01293191,0.06286744,0.27990887,0.15756726,0.28310653,0.03443718,0.58889413
-5.86193097,1.26189134,0.01321331,0.06062597,0.27881824,0.14911068,0.28358848,0.03514966,0.58427869
