energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.12260827,0.83390214,0.50033027,0.00317163,0.43395691,0.00321541,0.23943231
-5.99399700,1.25494886,0.92936646,0.55889708,0.00357963,0.48443463,0.00368085,0.26839425
-5.98799400,1.39412665,1.02938889,0.62035764,0.00401371,0.53738034,0.00418854,0.29900191
-5.98199100,1.53915510,1.13324560,0.68424152,0.00447110,0.59239177,0.00473765,0.33106702
-5.97598799,1.68887189,1.24010468,0.74999783,0.00494832,0.64900083,0.00532672,0.36436237
-5.96998499,1.84195970,1.34904405,0.81700533,0.00544117,0.70668267,0.00595360,0.39862539
-5.96398199,1.99697439,1.45907433,0.88458605,0.00594476,0.76486789,0.00661547,0.43356328
-5.95797899,2.15237993,1.56916576,0.95202236,0.00645363,0.82295741,0.00730885,0.46885956
-5.95197599,2.30658897,1.67827848,1.01857670,0.00696183,0.88033968,0.00802968,0.50418162
-5.94597299,2.45800744,1.78539466,1.08351349,0.00746306,0.93640958,0.00877335,0.53918926
-5.93996998,2.60508145,1.88955127,1.14612224,0.00795082,0.99058822,0.00953486,0.57354353
-5.93396698,2.74634426,1.98987178,1.20574092,0.00841855,1.04234273,0.01030882,0.60691577
-5.92796398,2.88046113,2.08559531,1.26177845,0.00885984,1.09120525,0.01108963,0.63899609
-5.92196098,3.00626992,2.17610162,1.31373529,0.00926858,1.13679002,0.01187156,0.66950118
-5.91595798,3.12281516,2.26093060,1.36122101,0.00963912,1.17880773,0.01264882,0.69818072
-5.90995498,3.22937390,2.33979510,1.40396784,0.00996644,1.21707637,0.01341564,0.72482235
-5.90395198,3.32547193,2.41258627,1.44183957,0.01024625,1.25152776,0.01416637,0.74925475
-5.89794897,3.41088928,2.47937107,1.47483503,0.01047514,1.28220956,0.01489548,0.77134884
-5.89194597,3.48565491,2.54038176,1.50308594,0.01065060,1.30928217,0.01559759,0.79101694
-5.88594297,3.55003063,2.59599800,1.52684911,0.01077113,1.33301089,0.01626749,0.80821018
-5.87993997,3.60448530,2.64672230,1.54649329,0.01083616,1.35375328,0.01690010,0.82291425
-5.87393697,3.64966062,2.69315002,1.56248107,0.01084609,1.37194253,0.01749047,0.83514397
-5.86793397,3.68633056,2.73593555,1.57534697,0.01080222,1.38806733,0.01803374,0.84493701
-5.86193097,3.71535666,2.77575631,1.58567236,0.01070665,1.40264931,0.01852514,0.85234733
-5.85592796,3.73764168,2.81327644,1.59405883,0.01056218,1.41621902,0.01895994,0.85743879
-5.84992496,3.75408416,2.84911204,1.60110093,0.01037220,1.42929167,0.01933351,0.86027946
-5.84392196,3.76553641,2.88379974,1.60735982,0.01014057,1.44234365,0.01964132,0.86093704
-5.83791896,3.77276798,2.91776991,1.61333904,0.00987146,1.45579100,0.01987904,0.85947568
-5.83191596,3.77643647,2.95132607,1.61946335,0.00956927,1.46997081,0.02004258,0.85595454
-5.82591296,3.77706693,2.98463093,1.62606183,0.00923847,1.48512629,0.02012828,0.85042798
-5.81990995,3.77504054,3.01769995,1.63335573,0.00888354,1.50139625,0.02013298,0.84294755
-5.81390695,3.77059270,3.05040209,1.64145161,0.00850884,1.51880924,0.02005424,0.83356536
-5.80790395,3.76382009,3.08246767,1.65033986,0.00811860,1.53728269,0.01989047,0.82233862
-5.80190095,3.75469561,3.11350256,1.65989854,0.00771682,1.55662671,0.01964112,0.80933494
-5.79589795,3.74308985,3.14300767,1.66990214,0.00730726,1.57655257,0.01930680,0.79463783
-5.78989495,3.72879746,3.17040263,1.68003465,0.00689341,1.59668502,0.01888942,0.77835194
-5.78389195,3.71156619,3.19505230,1.68990616,0.00647849,1.61657805,0.01839226,0.76060748
-5.77788894,3.69112706,3.21629473,1.69907214,0.00606545,1.63573317,0.01782003,0.74156344
-5.77188594,3.66722327,3.23346923,1.70705436,0.00565700,1.65361946,0.01717883,0.72140917
-5.76588294,3.63963667,3.24594326,1.71336251,0.00525557,1.66969428,0.01647613,0.70036408
-5.75987994,3.60820989,3.25313715,1.71751545,0.00486336,1.68342412,0.01572059,0.67867536
-5.75387694,3.57286351,3.25454566,1.71906137,0.00448237,1.69430442,0.01492196,0.65661367
-5.74787394,3.53360723,3.24975569,1.71759596,0.00411434,1.70187781,0.01409084,0.63446706
-5.74187094,3.49054515,3.23845986,1.71277792,0.00376083,1.70575015,0.01323843,0.61253326
-5.73586793,3.44387500,3.22046554,1.70434145,0.00342316,1.70560375,0.01237629,0.59111080
-5.72986493,3.39388202,3.19569950,1.69210541,0.00310247,1.70120754,0.01151604,0.57048947
-5.72386193,3.34092813,3.16420824,1.67597877,0.00279965,1.69242386,0.01066911,0.55094050
-5.71785893,3.28543741,3.12615447,1.65596278,0.00251541,1.67921192,0.00984646,0.53270716
-5.71185593,3.22787911,3.08181008,1.63214953,0.00225021,1.66162785,0.00905834,0.51599609
-5.70585293,3.16874916,3.03154633,1.60471764,0.00200430,1.63982168,0.00831407,0.50097003
-5.69984992,3.10855160,2.97582165,1.57392514,0.00177774,1.61403142,0.00762186,0.48774218
-5.69384692,3.04778073,2.91516791,1.54010010,0.00157035,1.58457461,0.00698871,0.47637256
-5.68784392,2.98690517,2.85017567,1.50362967,0.00138178,1.55183799,0.00642025,0.46686646
-5.68184092,2.92635443,2.78147910,1.46494778,0.00121148,1.51626547,0.00592075,0.45917520
-5.67583792,2.86650864,2.70974109,1.42452233,0.00105874,1.47834523,0.00549305,0.45319898
-5.66983492,2.80769168,2.63563916,1.38284221,0.00092272,1.43859624,0.00513863,0.44879170
-5.66383192,2.75016803,2.55985255,1.34040469,0.00080247,1.39755489,0.00485764,0.44576760
-5.65782891,2.69414301,2.48305090,1.29770369,0.00069694,1.35576205,0.00464899,0.44390917
-5.65182591,2.63976644,2.40588479,1.25521905,0.00060503,1.31375112,0.00451046,0.44297624
-5.64582291,2.58713902,2.32897837,1.21340740,0.00052562,1.27203730,0.00443883,0.44271544
-5.63981991,2.53632117,2.25292412,1.17269458,0.00045758,1.23110844,0.00443003,0.44287002
-5.63381691,2.48734346,2.17827972,1.13346972,0.00039981,1.19141759,0.00447928,0.44318921
-5.62781391,2.44021808,2.10556701,1.09608118,0.00035126,1.15337741,0.00458128,0.44343707
-5.62181091,2.39495069,2.03527270,1.06083403,0.00031097,1.11735633,0.00473034,0.44340028
-5.61580790,2.35155179,1.96785062,1.02798917,0.00027807,1.08367649,0.00492060,0.44289464
-5.60980490,2.31004717,1.90372519,0.99776366,0.00025178,1.05261324,0.00514617,0.44177018
-5.60380190,2.27048667,1.84329554,0.97033221,0.00023147,1.02439590,0.00540129,0.43991465
-5.59779890,2.23295108,1.78694001,0.94582947,0.00021667,0.99920963,0.00568055,0.43725541
-5.59179590,2.19755644,1.73502046,0.92435283,0.00020702,0.97719804,0.00597898,0.43375976
-5.58579290,2.16445597,1.68788608,0.90596551,0.00020234,0.95846622,0.00629223,0.42943378
-5.57978989,2.13383922,1.64587617,0.89069969,0.00020262,0.94308393,0.00661671,0.42431991
-5.57378689,2.10592876,1.60932176,0.87855945,0.00020800,0.93108862,0.00694965,0.41849341
-5.56778389,2.08097444,1.57854576,0.86952344,0.00021881,0.92248824,0.00728925,0.41205799
-5.56178089,2.05924578,1.55386154,0.86354714,0.00023554,0.91726347,0.00763469,0.40514086
-5.55577789,2.04102270,1.53556996,0.86056471,0.00025883,0.91536953,0.00798616,0.39788746
-5.54977489,2.02658531,1.52395498,0.86049043,0.00028950,0.91673738,0.00834489,0.39045606
-5.54377189,2.01620312,1.51927799,0.86321986,0.00032849,0.92127456,0.00871309,0.38301254
-5.53776888,2.01012442,1.52177127,0.86863083,0.00037691,0.92886562,0.00909388,0.37572539
-5.53176588,2.00856613,1.53163064,0.87658431,0.00043594,0.93937247,0.00949114,0.36876120
-5.52576288,2.01170472,1.54900801,0.88692543,0.00050686,0.95263475,0.00990943,0.36228066
-5.51975988,2.01966848,1.57400379,0.89948462,0.00059102,0.96847040,0.01035376,0.35643502
-5.51375688,2.03253135,1.60665970,0.91407912,0.00068976,0.98667659,0.01082940,0.35136319
-5.50775388,2.05030839,1.64695215,0.93051480,0.00080440,1.00703122,0.01134165,0.34718923
-5.50175088,2.07295288,1.69478623,0.94858826,0.00093617,1.02929487,0.01189555,0.34402030
-5.49574787,2.10035484,1.74999063,0.96808927,0.00108615,1.05321332,0.01249567,0.34194496
-5.48974487,2.13234073,1.81231319,0.98880335,0.00125521,1.07852059,0.01314577,0.34103160
-5.48374187,2.16867407,1.88141733,1.01051439,0.00144396,1.10494215,0.01384858,0.34132721
-5.47773887,2.20905656,1.95687917,1.03300711,0.00165267,1.13219844,0.01460553,0.34285607
-5.47173587,2.25312951,2.03818523,1.05606921,0.00188118,1.16000815,0.01541650,0.34561873
-5.46573287,2.30047529,2.12473079,1.07949307,0.00212888,1.18809132,0.01627963,0.34959094
-5.45972986,2.35061873,2.21581903,1.10307685,0.00239466,1.21617187,0.01719116,0.35472291
-5.45372686,2.40302853,2.31066092,1.12662496,0.00267684,1.24397958,0.01814533,0.36093875
-5.44772386,2.45711883,2.40837629,1.14994789,0.00297315,1.27125135,0.01913431,0.36813634
-5.44172086,2.51225125,2.50799646,1.17286151,0.00328079,1.29773174,0.02014830,0.37618784
-5.43571786,2.56773794,2.60846875,1.19518589,0.00359635,1.32317293,0.02117555,0.38494079
-5.42971486,2.62284598,2.70866353,1.21674407,0.00391593,1.34733430,0.02220261,0.39422013
-5.42371186,2.67680387,2.80738418,1.23736078,0.00423520,1.36998180,0.02321461,0.40383118
-5.41770885,2.72881039,2.90338052,1.25686159,0.00454943,1.39088743,0.02419556,0.41356357
-5.41170585,2.77804636,2.99536587,1.27507269,0.00485369,1.40982912,0.02512881,0.42319628
-5.40570285,2.82368937,3.08203806,1.29182152,0.00514289,1.42659133,0.02599754,0.43250353
-5.39969985,2.86493147,3.16210393,1.30693842,0.00541201,1.44096654,0.02678523,0.44126153
-5.39369685,2.90099951,3.23430726,1.32025943,0.00565620,1.45275779,0.02747629,0.44925577
-5.38769385,2.93117750,3.29745918,1.33163013,0.00587095,1.46178234,0.02805652,0.45628864
-5.38169085,2.95483009,3.35047000,1.34091042,0.00605227,1.46787629,0.02851372,0.46218698
-5.37568784,2.97142611,3.39238143,1.34797995,0.00619680,1.47090002,0.02883814,0.46680926
-5.36968484,2.98056085,3.42239745,1.35274384,0.00630195,1.47074405,0.02902286,0.47005185
-5.36368184,2.98197568,3.43991249,1.35513825,0.00636602,1.46733499,0.02906416,0.47185433
-5.35767884,2.97557377,3.44453512,1.35513529,0.00638824,1.46064099,0.02896172,0.47220314
-5.35167584,2.96143051,3.43610604,1.35274687,0.00636886,1.45067626,0.02871869,0.47113361
