energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,11.88401823,3.06148255,7.38182336,1.44525638,0.08107872,3.89129292,0.00000000
-5.99399700,11.49921359,2.99374448,7.13341491,1.40495349,0.07740385,3.78325934,0.00000000
-5.98799400,11.08995645,2.91908510,6.86920027,1.36142813,0.07356903,3.66789211,0.00000000
-5.98199100,10.65882862,2.83758764,6.59107863,1.31487907,0.06961268,3.54555809,0.00000000
-5.97598799,10.20856177,2.74940730,6.30104677,1.26553474,0.06557352,3.41667232,0.00000000
-5.96998499,9.74202339,2.65478592,6.00117829,1.21365476,0.06148983,3.28171179,0.00000000
-5.96398199,9.26220136,2.55406387,5.69360296,1.15953069,0.05739867,3.14122724,0.00000000
-5.95797899,8.77218599,2.44768811,5.38048587,1.10348558,0.05333523,2.99585194,0.00000000
-5.95197599,8.27514822,2.33621561,5.06400601,1.04587232,0.04933224,2.84630643,0.00000000
-5.94597299,7.77431346,2.22031176,4.74633418,0.98707049,0.04541954,2.69339855,0.00000000
-5.93996998,7.27293047,2.10074353,4.42961010,0.92748183,0.04162373,2.53801843,0.00000000
-5.93396698,6.77423560,1.97836758,4.11591879,0.86752440,0.03796794,2.38112845,0.00000000
-5.92796398,6.28141283,1.85411386,3.80726647,0.80762560,0.03447171,2.22374853,0.00000000
-5.92196098,5.79755074,1.72896528,3.50555658,0.74821429,0.03115100,2.06693738,0.00000000
-5.91595798,5.32559802,1.60393473,3.21256647,0.68971246,0.02801820,1.91177063,0.00000000
-5.90995498,4.86831913,1.48004025,2.92992549,0.63252666,0.02508235,1.75931706,0.00000000
-5.90395198,4.42825223,1.35827997,2.65909550,0.57703972,0.02234928,1.61061412,0.00000000
-5.89794897,4.00767133,1.23960762,2.40135451,0.52360311,0.01982195,1.46664392,0.00000000
-5.89194597,3.60855455,1.12491011,2.15778420,0.47253023,0.01750067,1.32831112,0.00000000
-5.88594297,3.23255996,1.01498802,1.92926215,0.42409100,0.01538350,1.19642353,0.00000000
-5.87993997,2.88101042,0.91053967,1.71645897,0.37850785,0.01346656,1.07167655,0.00000000
-5.87393697,2.55488789,0.81214964,1.51984074,0.33595346,0.01174438,0.95464184,0.00000000
-5.86793397,2.25483757,0.72028169,1.33967657,0.29654998,0.01021025,0.84576078,0.00000000
-5.86193097,1.98118147,0.63527629,1.17605099,0.26036994,0.00885659,0.74534259,0.00000000
-5.85592796,1.73394050,0.55735250,1.02888054,0.22743865,0.00767519,0.65356707,0.00000000
-5.84992496,1.51286377,0.48661379,0.89793384,0.19773777,0.00665758,0.57049149,0.00000000
-5.84392196,1.31746345,0.42305708,0.78285395,0.17121003,0.00579527,0.49606084,0.00000000
-5.83791896,1.14705332,0.36658442,0.68318217,0.14776456,0.00507993,0.43012100,0.00000000
-5.83191596,1.00078887,0.31701641,0.59838192,0.12728274,0.00450363,0.37243360,0.00000000
-5.82591296,0.87770691,0.27410657,0.52786167,0.10962414,0.00405896,0.32269202,0.00000000
-5.81990995,0.77676300,0.23755590,0.47099584,0.09463238,0.00373913,0.28053749,0.00000000
-5.81390695,0.69686476,0.20702690,0.42714280,0.08214049,0.00353800,0.24557460,0.00000000
-5.80790395,0.63689992,0.18215645,0.39565931,0.07197583,0.00345009,0.21738552,0.00000000
-5.80190095,0.59575810,0.16256709,0.37591078,0.06396414,0.00347056,0.19554260,0.00000000
-5.79589795,0.57234578,0.14787644,0.36727740,0.05793283,0.00359509,0.17961871,0.00000000
-5.78989495,0.56559453,0.13770446,0.36915592,0.05371343,0.00381980,0.16919537,0.00000000
