energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.74388891,0.25356032,0.16750459,0.00437539,0.08365667,0.44372909,0.00000000,0.19044382,0.11248095
-5.99399700,0.77085438,0.27152630,0.17213665,0.00455593,0.08542715,0.46297075,0.00000000,0.20079579,0.11692142
-5.98799400,0.80203449,0.29210571,0.17797820,0.00475811,0.08826687,0.48391019,0.00000000,0.21170932,0.12186564
-5.98199100,0.83684543,0.31517440,0.18486769,0.00497904,0.09210073,0.50618770,0.00000000,0.22300135,0.12723384
-5.97598799,0.87461375,0.34057224,0.19262561,0.00521520,0.09684412,0.52939088,0.00000000,0.23446803,0.13293085
-5.96998499,0.91459388,0.36810290,0.20105899,0.00546256,0.10240436,0.55306616,0.00000000,0.24589008,0.13884869
-5.96398199,0.95598721,0.39753384,0.20996592,0.00571661,0.10868190,0.57673173,0.00000000,0.25703871,0.14486969
-5.95797899,0.99796192,0.42859648,0.21914020,0.00597254,0.11557127,0.59989121,0.00000000,0.26768219,0.15086970
-5.95197599,1.03967305,0.46098680,0.22837568,0.00622532,0.12296197,0.62204773,0.00000000,0.27759243,0.15672159
-5.94597299,1.08028211,0.49436643,0.23747046,0.00646986,0.13073918,0.64271780,0.00000000,0.28655166,0.16229873
-5.93996998,1.11897569,0.52836434,0.24623071,0.00670110,0.13878442,0.66144442,0.00000000,0.29435870,0.16747833
-5.93396698,1.15498251,0.56257950,0.25447408,0.00691418,0.14697618,0.67780917,0.00000000,0.30083477,0.17214468
-5.92796398,1.18758875,0.59658437,0.26203263,0.00710451,0.15519062,0.69144269,0.00000000,0.30582844,0.17619201
-5.92196098,1.21615103,0.62992963,0.26875532,0.00726792,0.16330242,0.70203338,0.00000000,0.30921975,0.17952707
-5.91595798,1.24010727,0.66215015,0.27450987,0.00740077,0.17118576,0.70933407,0.00000000,0.31092317,0.18207124
-5.90995498,1.25898506,0.69277217,0.27918430,0.00749999,0.17871552,0.71316657,0.00000000,0.31088951,0.18376218
-5.90395198,1.27240773,0.72132176,0.28268783,0.00756321,0.18576874,0.71342406,0.00000000,0.30910664,0.18455505
-5.89794897,1.28009826,0.74733442,0.28495144,0.00758878,0.19222636,0.71007145,0.00000000,0.30559906,0.18442314
-5.89194597,1.28188106,0.77036568,0.28592805,0.00757582,0.19797511,0.70314376,0.00000000,0.30042645,0.18335822
-5.88594297,1.27768204,0.79000225,0.28559237,0.00752430,0.20290976,0.69274287,0.00000000,0.29368126,0.18137022
-5.87993997,1.26752703,0.80587362,0.28394045,0.00743497,0.20693531,0.67903279,0.00000000,0.28548557,0.17848672
-5.87393697,1.25153890,0.81766349,0.28098902,0.00730943,0.20996949,0.66223387,0.00000000,0.27598734,0.17475196
-5.86793397,1.22993354,0.82512062,0.27677472,0.00715008,0.21194499,0.64261614,0.00000000,0.26535623,0.17022565
-5.86193097,1.20301487,0.82806874,0.27135307,0.00696011,0.21281175,0.62049208,0.00000000,0.25377923,0.16498144
-5.85592796,1.17116908,0.82641484,0.26479740,0.00674344,0.21253887,0.59620932,0.00000000,0.24145631,0.15910534
-5.84992496,1.13485819,0.82015561,0.25719765,0.00650470,0.21111624,0.57014316,0.00000000,0.22859616,0.15269390
-5.84392196,1.09461305,0.80938152,0.24865903,0.00624916,0.20855561,0.54268950,0.00000000,0.21541227,0.14585244
-5.83791896,1.05102570,0.79427845,0.23930057,0.00598266,0.20489124,0.51425807,0.00000000,0.20211944,0.13869312
-5.83191596,1.00474135,0.77512647,0.22925362,0.00571157,0.20017983,0.48526625,0.00000000,0.18893069,0.13133316
-5.82591296,0.95644988,0.75229601,0.21866014,0.00544267,0.19449984,0.45613350,0.00000000,0.17605483,0.12389304
-5.81990995,0.90687694,0.72624131,0.20767092,0.00518313,0.18795021,0.42727639,0.00000000,0.16369450,0.11649476
-5.81390695,0.85677472,0.69749154,0.19644372,0.00494038,0.18064844,0.39910440,0.00000000,0.15204472,0.10926021
-5.80790395,0.80691245,0.66663974,0.18514123,0.00472206,0.17272807,0.37201619,0.00000000,0.14129193,0.10230968
-5.80190095,0.75806683,0.63433016,0.17392908,0.00453591,0.16433585,0.34639656,0.00000000,0.13161337,0.09576034
-5.79589795,0.71101226,0.60124445,0.16297372,0.00438969,0.15562841,0.32261380,0.00000000,0.12317674,0.08972497
-5.78989495,0.66651133,0.56808714,0.15244035,0.00429108,0.14676884,0.30101743,0.00000000,0.11613999,0.08431061
-5.78389195,0.62530532,0.53557094,0.14249087,0.00424757,0.13792314,0.28193618,0.00000000,0.11065111,0.07961738
-5.77788894,0.58810513,0.50440244,0.13328195,0.00426632,0.12925674,0.26567620,0.00000000,0.10684785,0.07573727
-5.77188594,0.55558253,0.47526850,0.12496312,0.00435405,0.12093121,0.25251917,0.00000000,0.10485719,0.07275302
-5.76588294,0.52836197,0.44882381,0.11767515,0.00451691,0.11310130,0.24272048,0.00000000,0.10479448,0.07073689
-5.75987994,0.50701280,0.42567968,0.11154844,0.00476029,0.10591227,0.23650715,0.00000000,0.10676220,0.06974958
-5.75387694,0.49204219,0.40639454,0.10670170,0.00508868,0.09949777,0.23407565,0.00000000,0.11084828,0.06983903
-5.74787394,0.48388854,0.39146584,0.10324069,0.00550547,0.09397814,0.23558937,0.00000000,0.11712401,0.07103927
