energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.34601154,0.00026845,0.00000000,0.00693457,0.03047991,1.45586345,0.41401993
-5.99399700,1.37322620,0.00025993,0.00000000,0.00635929,0.03116420,1.49915358,0.42994464
-5.98799400,1.41373792,0.00025501,0.00000000,0.00586276,0.03208723,1.55756594,0.44952603
-5.98199100,1.46725707,0.00025350,0.00000000,0.00544282,0.03323582,1.63092775,0.47267519
-5.97598799,1.53336038,0.00025521,0.00000000,0.00509627,0.03459384,1.71892294,0.49926566
-5.96998499,1.61150422,0.00025991,0.00000000,0.00481899,0.03614261,1.82110005,0.52913697
-5.96398199,1.70103500,0.00026737,0.00000000,0.00460616,0.03786131,1.93687677,0.56209743
-5.95797899,1.80119644,0.00027737,0.00000000,0.00445245,0.03972732,2.06554047,0.59792595
-5.95197599,1.91113303,0.00028965,0.00000000,0.00435212,0.04171648,2.20624484,0.63637283
-5.94597299,2.02989002,0.00030397,0.00000000,0.00429917,0.04380337,2.35800281,0.67715940
-5.93996998,2.15641035,0.00032006,0.00000000,0.00428749,0.04596144,2.51967674,0.71997677
-5.93396698,2.28952925,0.00033766,0.00000000,0.00431094,0.04816317,2.68996692,0.76448385
-5.92796398,2.42796794,0.00035649,0.00000000,0.00436339,0.05038017,2.86740010,0.81030504
-5.92196098,2.57032758,0.00037629,0.00000000,0.00443884,0.05258328,3.05031987,0.85702785
-5.91595798,2.71508520,0.00039674,0.00000000,0.00453142,0.05474268,3.23688072,0.90420128
-5.90995498,2.86059317,0.00041755,0.00000000,0.00463550,0.05682801,3.42504793,0.95133500
-5.90395198,3.00508376,0.00043840,0.00000000,0.00474564,0.05880864,3.61260496,0.99790029
-5.89794897,3.14668003,0.00045897,0.00000000,0.00485671,0.06065390,3.79716988,1.04333281
-5.89194597,3.28341409,0.00047893,0.00000000,0.00496386,0.06233343,3.97622191,1.08703777
-5.88594297,3.41325324,0.00049794,0.00000000,0.00506259,0.06381769,4.14713838,1.12839754
-5.87993997,3.53413396,0.00051566,0.00000000,0.00514880,0.06507845,4.30724222,1.16678189
-5.87393697,3.64400333,0.00053177,0.00000000,0.00521882,0.06608943,4.45385874,1.20156065
-5.86793397,3.74086664,0.00054595,0.00000000,0.00526943,0.06682693,4.58438038,1.23211842
-5.86193097,3.82283967,0.00055791,0.00000000,0.00529793,0.06727056,4.69633704,1.25787101
-5.85592796,3.88820349,0.00056737,0.00000000,0.00530219,0.06740387,4.78746932,1.27828281
-5.84992496,3.93545940,0.00057410,0.00000000,0.00528063,0.06721497,4.85580137,1.29288438
-5.84392196,3.96338135,0.00057792,0.00000000,0.00523231,0.06669711,4.89971004,1.30128950
-5.83791896,3.97106320,0.00057868,0.00000000,0.00515689,0.06584907,4.91798684,1.30321061
-5.83191596,3.95795826,0.00057629,0.00000000,0.00505463,0.06467544,4.90988953,1.29847214
