energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.40172177,0.09347078,0.10411275,0.00461698,0.03883959,0.00665059,0.10240609,0.10692927,0.01664508
-5.99399700,0.40639980,0.09560812,0.10620421,0.00480071,0.04001643,0.00620817,0.10301865,0.10615871,0.01637802
-5.98799400,0.41151570,0.09754494,0.10811893,0.00503857,0.04101629,0.00588578,0.10403624,0.10570678,0.01621611
-5.98199100,0.41698642,0.09928451,0.10985002,0.00532546,0.04184027,0.00568141,0.10543116,0.10553393,0.01614959
-5.97598799,0.42280001,0.10085008,0.11141297,0.00565588,0.04249779,0.00559430,0.10719197,0.10562172,0.01617031
-5.96998499,0.42902195,0.10228596,0.11284671,0.00602411,0.04300694,0.00562523,0.10932558,0.10597434,0.01627227
-5.96398199,0.43579883,0.10365773,0.11421382,0.00642434,0.04339447,0.00577662,0.11185860,0.10661950,0.01645194
-5.95797899,0.44335876,0.10505176,0.11560000,0.00685085,0.04369547,0.00605259,0.11483796,0.10760833,0.01670853
-5.95197599,0.45200865,0.10657380,0.11711249,0.00729819,0.04395273,0.00645901,0.11833060,0.10901445,0.01704414
-5.94597299,0.46212794,0.10834668,0.11887772,0.00776132,0.04421580,0.00700328,0.12242233,0.11093201,0.01746373
-5.93996998,0.47415900,0.11050716,0.12103803,0.00823580,0.04453966,0.00769419,0.12721571,0.11347284,0.01797504
-5.93396698,0.48859414,0.11320196,0.12374750,0.00871786,0.04498316,0.00854156,0.13282699,0.11676263,0.01858828
-5.92796398,0.50595957,0.11658307,0.12716712,0.00920457,0.04560718,0.00955582,0.13938220,0.12093638,0.01931582
-5.92196098,0.52679659,0.12080234,0.13145928,0.00969386,0.04647256,0.01074752,0.14701235,0.12613301,0.02017160
-5.91595798,0.55164054,0.12600572,0.13678178,0.01018456,0.04763790,0.01212672,0.15584793,0.13248944,0.02117063
-5.90995498,0.58099797,0.13232706,0.14328158,0.01067642,0.04915729,0.01370241,0.16601278,0.14013426,0.02232820
-5.90395198,0.61532292,0.13988190,0.15108838,0.01117000,0.05107800,0.01548178,0.17761760,0.14918112,0.02365916
-5.89794897,0.65499289,0.14876129,0.16030845,0.01166662,0.05343830,0.01746956,0.19075313,0.15972215,0.02517707
-5.89194597,0.70028548,0.15902599,0.17101866,0.01216821,0.05626535,0.01966736,0.20548351,0.17182163,0.02689333
-5.88594297,0.75135667,0.17070125,0.18326131,0.01267717,0.05957343,0.02207301,0.22183983,0.18551013,0.02881636
-5.87993997,0.80822162,0.18377246,0.19703963,0.01319614,0.06336242,0.02468009,0.23981431,0.20077942,0.03095075
-5.87393697,0.87073895,0.19818182,0.21231447,0.01372786,0.06761678,0.02747743,0.25935538,0.21757836,0.03329650
-5.86793397,0.93859956,0.21382632,0.22900229,0.01427495,0.07230485,0.03044889,0.28036390,0.23581010,0.03584839
-5.86193097,1.01132055,0.23055724,0.24697448,0.01483975,0.07737886,0.03357324,0.30269090,0.25533069,0.03859547
-5.85592796,1.08824512,0.24818118,0.26605842,0.01542418,0.08277536,0.03682430,0.32613690,0.27594931,0.04152069
-5.84992496,1.16854884,0.26646280,0.28604010,0.01602961,0.08841630,0.04017121,0.35045317,0.29743031,0.04460075
-5.84392196,1.25125253,0.28512935,0.30666839,0.01665681,0.09421067,0.04357906,0.37534494,0.31949691,0.04780623
-5.83791896,1.33524169,0.30387668,0.32766097,0.01730591,0.10005670,0.04700962,0.40047658,0.34183679,0.05110182
-5.83191596,1.41929218,0.32237687,0.34871162,0.01797644,0.10584456,0.05042238,0.42547876,0.36410922,0.05444697
-5.82591296,1.50210156,0.34028713,0.36949884,0.01866742,0.11145945,0.05377575,0.44995736,0.38595363,0.05779659
-5.81990995,1.58232494,0.35725964,0.38969527,0.01937742,0.11678503,0.05702841,0.47350391,0.40699944,0.06110213
-5.81390695,1.65861447,0.37295208,0.40897787,0.02010470,0.12170702,0.06014080,0.49570724,0.42687659,0.06431280
-5.80790395,1.72966071,0.38703844,0.42703819,0.02084739,0.12611690,0.06307664,0.51616586,0.44522662,0.06737689
-5.80190095,1.79423447,0.39921953,0.44359248,0.02160358,0.12991544,0.06580452,0.53450074,0.46171362,0.07024334
-5.79589795,1.85122740,0.40923303,0.45839113,0.02237148,0.13301611,0.06829930,0.55036775,0.47603486,0.07286326
-5.78989495,1.89968960,0.41686238,0.47122712,0.02314949,0.13534800,0.07054354,0.56346955,0.48793040,0.07519149
-5.78389195,1.93886271,0.42194429,0.48194296,0.02393629,0.13685830,0.07252855,0.57356611,0.49719147,0.07718812
-5.77788894,1.96820696,0.42437450,0.49043597,0.02473084,0.13751414,0.07425536,0.58048367,0.50366719,0.07881990
-5.77188594,1.98742103,0.42411158,0.49666151,0.02553237,0.13730380,0.07573520,0.58412162,0.50726932,0.08006142
-5.76588294,1.99645386,0.42117848,0.50063414,0.02634030,0.13623708,0.07698976,0.58445699,0.50797497,0.08089611
-5.75987994,1.99550785,0.41566200,0.50242651,0.02715416,0.13434501,0.07805097,0.58154642,0.50582705,0.08131697
-5.75387694,1.98503333,0.40770999,0.50216620,0.02797346,0.13167874,0.07896040,0.57552550,0.50093258,0.08132696
-5.74787394,1.96571450,0.39752662,0.50003051,0.02879757,0.12830782,0.07976826,0.56660552,0.49345901,0.08093906
-5.74187094,1.93844756,0.38536580,0.49623948,0.02962560,0.12431783,0.08053196,0.55506776,0.48362859,0.08017606
-5.73586793,1.90431190,0.37152318,0.49104753,0.03045636,0.11980750,0.08131438,0.54125553,0.47171135,0.07906995
-5.72986493,1.86453557,0.35632700,0.48473402,0.03128823,0.11488552,0.08218177,0.52556442,0.45801678,0.07766104
-5.72386193,1.82045657,0.34012824,0.47759309,0.03211927,0.10966706,0.08320144,0.50843100,0.44288476,0.07599679
-5.71785893,1.77348135,0.32329046,0.46992335,0.03294724,0.10427025,0.08443923,0.49032054,0.42667607,0.07413041
-5.71185593,1.72504231,0.30617967,0.46201777,0.03376972,0.09881263,0.08595696,0.47171406,0.40976281,0.07211931
-5.70585293,1.67655572,0.28915462,0.45415410,0.03458438,0.09340787,0.08780986,0.45309538,0.39251921,0.07002335
-5.69984992,1.62938166,0.27255789,0.44658631,0.03538912,0.08816271,0.09004412,0.43493834,0.37531301,0.06790315
-5.69384692,1.58478719,0.25670792,0.43953728,0.03618245,0.08317432,0.09269464,0.41769486,0.35849763,0.06581825
-5.68784392,1.54391394,0.24189212,0.43319290,0.03696366,0.07852809,0.09578311,0.40178393,0.34240546,0.06382550
-5.68184092,1.50775097,0.22836139,0.42769790,0.03773318,0.07429589,0.09931645,0.38758196,0.32734220,0.06197741
-5.67583792,1.47711348,0.21632590,0.42315329,0.03849271,0.07053495,0.10328574,0.37541465,0.31358239,0.06032076
-5.66983492,1.45262773,0.20595212,0.41961566,0.03924540,0.06728711,0.10766573,0.36555056,0.30136612,0.05889542
