energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.89640401,0.96697965,0.52652744,4.15209068,2.17825423,0.01464753,1.46844786,0.04967246,2.71525448
-5.99399700,6.95260249,1.00402839,0.54581247,4.14779683,2.20039549,0.01407278,1.46163447,0.05029330,2.76336515
-5.98799400,6.99616511,1.03916631,0.56342158,4.13549377,2.21835462,0.01355389,1.45183596,0.05093973,2.80616917
-5.98199100,7.02478460,1.07176913,0.57898250,4.11375342,2.23130926,0.01309176,1.43883559,0.05161401,2.84241054
-5.97598799,7.03649119,1.10126681,0.59216745,4.08140762,2.23852921,0.01268718,1.42248526,0.05231958,2.87098742
-5.96998499,7.02972299,1.12715892,0.60270353,4.03758964,2.23940067,0.01234082,1.40271460,0.05306111,2.89098765
-5.96398199,7.00338640,1.14902921,0.61038179,3.98176622,2.23344794,0.01205318,1.37953810,0.05384458,2.90171971
-5.95797899,6.95690373,1.16655842,0.61506477,3.91375873,2.22035173,0.01182452,1.35305959,0.05467730,2.90273770
-5.95197599,6.89024548,1.17953516,0.61669185,3.83375264,2.19996313,0.01165490,1.32347414,0.05556787,2.89385921
-5.94597299,6.80394549,1.18786401,0.61528228,3.74229460,2.17231238,0.01154408,1.29106694,0.05652617,2.87517490
-5.93996998,6.69909785,1.19157073,0.61093557,3.64027745,2.13761206,0.01149149,1.25620934,0.05756316,2.84704932
-5.93396698,6.57733514,1.19080399,0.60382922,3.52891360,2.09625430,0.01149616,1.21935214,0.05869071,2.81011257
-5.92796398,6.44078835,1.18583356,0.59421369,3.40969795,2.04880194,0.01155665,1.18101618,0.05992128,2.76524302
-5.92196098,6.29202976,1.17704480,0.58240496,3.28436198,1.99597393,0.01167098,1.14178074,0.06126751,2.71354145
-5.91595798,6.13400064,1.16492948,0.56877469,3.15482084,1.93862545,0.01183655,1.10227000,0.06274181,2.65629762
-5.90995498,5.96992636,1.15007319,0.55373863,3.02311577,1.87772342,0.01205006,1.06313815,0.06435573,2.59495042
-5.90395198,5.80322193,1.13313958,0.53774354,2.89135409,1.81431839,0.01230746,1.02505355,0.06611940,2.53104293
-5.89794897,5.63739160,1.11485189,0.52125325,2.76164926,1.74951383,0.01260390,0.98868259,0.06804087,2.46617432
-5.89194597,5.47592615,1.09597234,0.50473428,2.63606341,1.68443423,0.01293373,0.95467374,0.07012543,2.40195017
-5.88594297,5.32220170,1.07728002,0.48864182,2.51655442,1.62019291,0.01329051,0.92364231,0.07237497,2.33993313
-5.87993997,5.17938375,1.05954807,0.47340627,2.40492947,1.55786119,0.01366710,0.89615653,0.07478740,2.28159579
