energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.01671245,0.20945146,0.42484665,0.01752169,0.04672037,0.03857615,0.30555175
-5.99399700,1.05207397,0.21119272,0.42987999,0.01646209,0.04687919,0.04182418,0.32410253
-5.98799400,1.09419186,0.21300813,0.43959009,0.01558695,0.04703276,0.04522906,0.34376645
-5.98199100,1.14272701,0.21497971,0.45374711,0.01488217,0.04720549,0.04875721,0.36445941
-5.97598799,1.19725715,0.21718489,0.47209003,0.01433342,0.04742076,0.05236865,0.38606800
-5.96998499,1.25727854,0.21969304,0.49432925,0.01392674,0.04769988,0.05601748,0.40845003
-5.96398199,1.32220940,0.22256231,0.52014892,0.01364909,0.04806114,0.05965263,0.43143622
-5.95797899,1.39139500,0.22583697,0.54920914,0.01348890,0.04851893,0.06321883,0.45483278
-5.95197599,1.46411464,0.22954533,0.58114799,0.01343649,0.04908300,0.06665790,0.47842509
-5.94597299,1.53959004,0.23369825,0.61558347,0.01348449,0.04975799,0.06991018,0.50198198
-5.93996998,1.61699524,0.23828841,0.65211534,0.01362815,0.05054306,0.07291615,0.52526078
-5.93396698,1.69546758,0.24329022,0.69032699,0.01386553,0.05143179,0.07561817,0.54801265
-5.92796398,1.77411949,0.24866042,0.72978736,0.01419757,0.05241230,0.07796223,0.56998818
-5.92196098,1.85205080,0.25433928,0.77005293,0.01462800,0.05346753,0.07989961,0.59094287
-5.91595798,1.92836119,0.26025234,0.81067004,0.01516320,0.05457579,0.08138852,0.61064237
-5.90995498,2.00216257,0.26631261,0.85117745,0.01581179,0.05571139,0.08239544,0.62886728
-5.90395198,2.07259104,0.27242311,0.89110930,0.01658418,0.05684551,0.08289630,0.64541736
-5.89794897,2.13881834,0.27847963,0.92999859,0.01749188,0.05794716,0.08287726,0.66011495
-5.89194597,2.20006256,0.28437368,0.96738120,0.01854682,0.05898415,0.08233519,0.67280771
-5.88594297,2.25559809,0.28999543,1.00280050,0.01976043,0.05992421,0.08127779,0.68337050
-5.87993997,2.30476461,0.29523663,1.03581253,0.02114277,0.06073603,0.07972332,0.69170646
-5.87393697,2.34697536,0.29999341,1.06599176,0.02270155,0.06139036,0.07769996,0.69774747
-5.86793397,2.38172433,0.30416888,1.09293734,0.02444121,0.06186090,0.07524489,0.70145388
-5.86193097,2.40859271,0.30767547,1.11627964,0.02636201,0.06212527,0.07240306,0.70281375
-5.85592796,2.42725442,0.31043699,1.13568699,0.02845927,0.06216573,0.06922573,0.70184173
-5.84992496,2.43748064,0.31239045,1.15087238,0.03072271,0.06196977,0.06576893,0.69857762
-5.84392196,2.43914346,0.31348743,1.16159985,0.03313600,0.06153059,0.06209176,0.69308472
-5.83791896,2.43221855,0.31369521,1.16769036,0.03567657,0.06084735,0.05825474,0.68544823
-5.83191596,2.41678664,0.31299752,1.16902686,0.03831560,0.05992524,0.05431820,0.67577352
-5.82591296,2.39303396,0.31139497,1.16555833,0.04101838,0.05877542,0.05034082,0.66418457
-5.81990995,2.36125133,0.30890519,1.15730261,0.04374485,0.05741472,0.04637829,0.65082242
-5.81390695,2.32183202,0.30556261,1.14434782,0.04645054,0.05586524,0.04248223,0.63584384
-5.80790395,2.27526817,0.30141795,1.12685234,0.04908759,0.05415373,0.03869936,0.61941998
-5.80190095,2.22214579,0.29653747,1.10504317,0.05160620,0.05231095,0.03507087,0.60173515
-5.79589795,2.16313839,0.29100188,1.07921286,0.05395605,0.05037080,0.03163206,0.58298563
-5.78989495,2.09899909,0.28490499,1.04971494,0.05608796,0.04836951,0.02841228,0.56337840
-5.78389195,2.03055144,0.27835216,1.01695809,0.05795553,0.04634468,0.02543496,0.54312980
-5.77788894,1.95867885,0.27145835,0.98139913,0.05951677,0.04433431,0.02271795,0.52246407
-5.77188594,1.88431284,0.26434603,0.94353511,0.06073565,0.04237591,0.02027393,0.50161162
