energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.73062113,0.17564503,1.39682312,0.01646400,0.08629344,0.15229021,0.00707830
-5.99399700,1.65691683,0.16351937,1.33972429,0.01575670,0.08302494,0.14213961,0.00654789
-5.98799400,1.58960636,0.15222489,1.28761108,0.01516228,0.08006884,0.13269597,0.00604624
-5.98199100,1.52924372,0.14185902,1.24093703,0.01467571,0.07745322,0.12404948,0.00557630
-5.97598799,1.47622233,0.13250076,1.20002326,0.01429237,0.07520060,0.11627343,0.00514015
-5.96998499,1.43078692,0.12421137,1.16506822,0.01400822,0.07332820,0.10942444,0.00473905
-5.96398199,1.39305071,0.11703547,1.13616172,0.01381984,0.07184829,0.10354308,0.00437354
-5.95797899,1.36301628,0.11100258,1.11330240,0.01372455,0.07076872,0.09865497,0.00404353
-5.95197599,1.34059874,0.10612884,1.09641711,0.01372039,0.07009349,0.09477206,0.00374845
-5.94597299,1.32564976,0.10241887,1.08538129,0.01380606,0.06982333,0.09189409,0.00348734
-5.93996998,1.31798096,0.09986759,1.08003889,0.01398083,0.06995624,0.09001018,0.00325901
-5.93396698,1.31738540,0.09846186,1.08022091,0.01424439,0.07048790,0.08910023,0.00306212
-5.92796398,1.32365615,0.09818190,1.08576156,0.01459670,0.07141203,0.08913637,0.00289530
-5.92196098,1.33660093,0.09900247,1.09651132,0.01503770,0.07272053,0.09008409,0.00275726
-5.91595798,1.35605255,0.10089364,1.11234636,0.01556713,0.07440350,0.09190331,0.00264680
-5.90995498,1.38187456,0.10382135,1.13317407,0.01618426,0.07644910,0.09454917,0.00256293
-5.90395198,1.41396244,0.10774764,1.15893463,0.01688763,0.07884333,0.09797262,0.00250484
-5.89794897,1.45224033,0.11263058,1.18959878,0.01767480,0.08156964,0.10212094,0.00247192
-5.89194597,1.49665397,0.11842418,1.22516211,0.01854222,0.08460853,0.10693801,0.00246376
-5.88594297,1.54716037,0.12507802,1.26563646,0.01948497,0.08793715,0.11236462,0.00248011
-5.87993997,1.60371516,0.13253700,1.31103890,0.02049673,0.09152892,0.11833869,0.00252084
-5.87393697,1.66625827,0.14074105,1.36137909,0.02156969,0.09535323,0.12479550,0.00258589
-5.86793397,1.73469898,0.14962499,1.41664578,0.02269458,0.09937524,0.13166801,0.00267518
-5.86193097,1.80890112,0.15911850,1.47679304,0.02386076,0.10355593,0.13888719,0.00278857
-5.85592796,1.88866921,0.16914634,1.54172709,0.02505633,0.10785222,0.14638255,0.00292580
-5.84992496,1.97373627,0.17962870,1.61129418,0.02626839,0.11221739,0.15408264,0.00308641
-5.84392196,2.06375389,0.19048178,1.68527033,0.02748324,0.11660161,0.16191573,0.00326967
-5.83791896,2.15828498,0.20161858,1.76335320,0.02868672,0.12095272,0.16981053,0.00347455
-5.83191596,2.25679961,0.21294970,1.84515655,0.02986452,0.12521717,0.17769693,0.00369968
-5.82591296,2.35867412,0.22438439,1.93020754,0.03100252,0.12934104,0.18550679,0.00394333
-5.81990995,2.46319351,0.23583150,2.01794711,0.03208717,0.13327129,0.19317467,0.00420338
-5.81390695,2.56955725,0.24720051,2.10773335,0.03310577,0.13695687,0.20063857,0.00447734
-5.80790395,2.67688819,0.25840250,2.19884800,0.03404685,0.14035004,0.20784054,0.00476239
-5.80190095,2.78424452,0.26935094,2.29050579,0.03490045,0.14340752,0.21472726,0.00505537
-5.79589795,2.89063432,0.27996249,2.38186647,0.03565830,0.14609156,0.22125042,0.00535289
-5.78989495,2.99503248,0.29015761,2.47204933,0.03631413,0.14837097,0.22736711,0.00565134
-5.78389195,3.09639943,0.29986102,2.56014956,0.03686372,0.15022190,0.23304003,0.00594702
-5.77788894,3.19370132,0.30900214,2.64525637,0.03730506,0.15162846,0.23823759,0.00623618
-5.77188594,3.28593102,0.31751541,2.72647207,0.03763836,0.15258314,0.24293405,0.00651514
-5.76588294,3.37212956,0.32534056,2.80293183,0.03786603,0.15308702,0.24710944,0.00678036
-5.75987994,3.45140725,0.33242297,2.87382339,0.03799264,0.15314968,0.25074955,0.00702856
-5.75387694,3.52296412,0.33871399,2.93840629,0.03802476,0.15278901,0.25384587,0.00725677
-5.74787394,3.58610900,0.34417143,2.99603002,0.03797078,0.15203073,0.25639549,0.00746241
-5.74187094,3.64027683,0.34876015,3.04615054,0.03784075,0.15090772,0.25840106,0.00764337
-5.73586793,3.68504357,0.35245275,3.08834481,0.03764603,0.14945926,0.25987071,0.00779807
-5.72986493,3.72013849,0.35523039,3.12232277,0.03739907,0.14773010,0.26081796,0.00792544
-5.72386193,3.74545328,0.35708377,3.14793652,0.03711303,0.14576939,0.26126174,0.00802500
-5.71785893,3.76104787,0.35801414,3.16518646,0.03680142,0.14362961,0.26122626,0.00809683
-5.71185593,3.76715270,0.35803425,3.17422406,0.03647775,0.14136546,0.26074096,0.00814156
-5.70585293,3.76416730,0.35716933,3.17535147,0.03615515,0.13903273,0.25984036,0.00816033
-5.69984992,3.75265531,0.35545788,3.16901768,0.03584596,0.13668720,0.25856391,0.00815478
-5.69384692,3.73333591,0.35295222,3.15581154,0.03556137,0.13438363,0.25695574,0.00812695
-5.68784392,3.70707195,0.34971873,3.13645179,0.03531108,0.13217480,0.25506428,0.00807928
-5.68184092,3.67485495,0.34583773,3.11177425,0.03510299,0.13011067,0.25294185,0.00801448
-5.67583792,3.63778734,0.34140290,3.08271662,0.03494293,0.12823766,0.25064407,0.00793552
-5.66983492,3.59706234,0.33652025,3.05030108,0.03483449,0.12659802,0.24822922,0.00784553
-5.66383192,3.55394182,0.33130654,3.01561524,0.03477885,0.12522939,0.24575739,0.00774775
-5.65782891,3.50973273,0.32588731,2.97979162,0.03477479,0.12416442,0.24328958,0.00764545
-5.65182591,3.46576237,0.32039436,2.94398617,0.03481869,0.12343054,0.24088666,0.00754191
-5.64582291,3.42335308,0.31496295,2.90935628,0.03490470,0.12304988,0.23860823,0.00744033
