energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,7.78240104,0.03154420,0.78318641,0.86123336,0.39269836,2.59094745,3.03118957,0.04697984,3.80010736
-5.99399700,7.65577028,0.03158584,0.78381390,0.85004247,0.38625678,2.55681125,2.97606266,0.04571712,3.71306861
-5.98799400,7.52689374,0.03161882,0.78517827,0.83796674,0.37986498,2.52296593,2.92143288,0.04444395,3.62395638
-5.98199100,7.39773165,0.03163798,0.78730618,0.82521740,0.37369477,2.48999383,2.86797025,0.04318116,3.53401683
-5.97598799,7.27024045,0.03163857,0.79020416,0.81201319,0.36792447,2.45845366,2.81631103,0.04195025,3.44450961
-5.96998499,7.14634042,0.03161645,0.79386063,0.79857664,0.36273512,2.42887385,2.76704953,0.04077285,3.35668540
-5.96398199,7.02788486,0.03156845,0.79824885,0.78513053,0.35830622,2.40174715,2.72073138,0.03967027,3.27176400
-5.95797899,6.91663125,0.03149249,0.80333032,0.77189429,0.35481139,2.37752639,2.67784810,0.03866291,3.19091306
-5.95197599,6.81421426,0.03138790,0.80905859,0.75908064,0.35241392,2.35662096,2.63883267,0.03776983,3.11522797
-5.94597299,6.72212068,0.03125542,0.81538309,0.74689218,0.35126228,2.33939397,2.60405618,0.03700821,3.04571295
-5.93996998,6.64166622,0.03109735,0.82225266,0.73551824,0.35148586,2.32615969,2.57382500,0.03639293,2.98326380
-5.93396698,6.57397421,0.03091748,0.82961867,0.72513166,0.35319094,2.31718110,2.54837859,0.03593617,2.92865227
-5.92796398,6.51995614,0.03072098,0.83743736,0.71588588,0.35645702,2.31266717,2.52788769,0.03564706,2.88251245
-5.92196098,6.48029440,0.03051423,0.84567136,0.70791205,0.36133378,2.31277002,2.51245285,0.03553144,2.84532941
-5.91595798,6.45542734,0.03030455,0.85429021,0.70131644,0.36783849,2.31758166,2.50210332,0.03559165,2.81743007
-5.90995498,6.44553718,0.03009988,0.86326985,0.69617810,0.37595429,2.32713049,2.49679630,0.03582646,2.79897690
-5.90395198,6.45054122,0.02990838,0.87259125,0.69254692,0.38562914,2.34137770,2.49641685,0.03623100,2.78996434
-5.89794897,6.47008705,0.02973811,0.88223808,0.69044215,0.39677574,2.36021376,2.50077834,0.03679690,2.79021844
-5.89194597,6.50355234,0.02959654,0.89219378,0.68985149,0.40927225,2.38345541,2.50962397,0.03751239,2.79939962
-5.88594297,6.55004992,0.02949025,0.90243816,0.69073089,0.42296404,2.41084344,2.52262931,0.03836255,2.81700909
-5.87993997,6.60843861,0.02942458,0.91294375,0.69300509,0.43766630,2.44204175,2.53940612,0.03932967,2.84239861
-5.87393697,6.67734039,0.02940333,0.92367227,0.69656903,0.45316754,2.47663794,2.55950767,0.04039357,2.87478392
-5.86793397,6.75516405,0.02942857,0.93457140,0.70129008,0.46923401,2.51414599,2.58243557,0.04153209,2.91326154
-5.86193097,6.84013527,0.02950055,0.94557215,0.70701124,0.48561474,2.55401117,2.60764818,0.04272160,2.95682881
-5.85592796,6.93033302,0.02961768,0.95658707,0.71355509,0.50204734,2.59561744,2.63457058,0.04393748,3.00440679
-5.84992496,7.02373153,0.02977660,0.96750946,0.72072856,0.51826422,2.63829732,2.66260584,0.04515478,3.05486562
-5.84392196,7.11824708,0.02997235,0.97821365,0.72832831,0.53399915,2.68134435,2.69114759,0.04634872,3.10705153
-5.83791896,7.21178830,0.03019863,0.98855665,0.73614663,0.54899402,2.72402764,2.71959338,0.04749531,3.15981507
-5.83191596,7.30230866,0.03044810,0.99838088,0.74397750,0.56300542,2.76560846,2.74735861,0.04857194,3.21203947
-5.82591296,7.38785955,0.03071277,1.00751813,0.75162286,0.57581110,2.80535810,2.77389053,0.04955786,3.26266838
-5.81990995,7.46664202,0.03098434,1.01579458,0.75889855,0.58721590,2.84257655,2.79868200,0.05043472,3.31073215
-5.81390695,7.53705554,0.03125459,1.02303670,0.76563989,0.59705700,2.87661134,2.82128433,0.05118698,3.35537152
-5.80790395,7.59774196,0.03151580,1.02907783,0.77170657,0.60520833,2.90687556,2.84131898,0.05180228,3.39585815
-5.80190095,7.64762289,0.03176098,1.03376516,0.77698673,0.61158403,2.93286471,2.85848759,0.05227172,3.43161097
-5.79589795,7.68592921,0.03198423,1.03696684,0.78139989,0.61614073,2.95417122,2.87257996,0.05259002,3.46220800
-5.78989495,7.71222142,0.03218085,1.03857890,0.78489876,0.61887861,2.97049634,2.88347972,0.05275566,3.48739289
-5.78389195,7.72639994,0.03234753,1.03853175,0.78746982,0.61984119,2.98165870,2.89116746,0.05277079,3.50707626
-5.77788894,7.72870509,0.03248231,1.03679584,0.78913258,0.61911393,2.98759917,2.89572116,0.05264120,3.52133152
-5.77188594,7.71970640,0.03258460,1.03338629,0.78993753,0.61682148,2.98838175,2.89731388,0.05237605,3.53038553
-5.76588294,7.70028184,0.03265501,1.02836625,0.78996308,0.61312392,2.98419047,2.89620876,0.05198758,3.53460442
-5.75987994,7.67158759,0.03269519,1.02184868,0.78931135,0.60821192,2.97532238,2.89275144,0.05149076,3.53447522
-5.75387694,7.63501941,0.03270759,1.01399651,0.78810316,0.60230110,2.96217688,2.88736013,0.05090281,3.53058400
-5.74787394,7.59216703,0.03269521,1.00502096,0.78647246,0.59562580,2.94524183,2.88051354,0.05024275,3.52359149
-5.74187094,7.54476310,0.03266131,0.99517806,0.78456036,0.58843236,2.92507695,2.87273705,0.04953084,3.51420715
-5.73586793,7.49462857,0.03260918,0.98476330,0.78250903,0.58097227,2.90229524,2.86458744,0.04878804,3.50316263
-5.72986493,7.44361618,0.03254182,0.97410455,0.78045582,0.57349538,2.87754308,2.85663657,0.04803552,3.49118580
-5.72386193,7.39355399,0.03246183,0.96355328,0.77852770,0.56624336,2.85147969,2.84945445,0.04729409,3.47897619
-5.71785893,7.34619073,0.03237119,0.95347446,0.77683638,0.55944361,2.82475686,2.84359206,0.04658375,3.46718266
-5.71185593,7.30314446,0.03227114,0.94423530,0.77547415,0.55330388,2.79799947,2.83956440,0.04592323,3.45638427
-5.70585293,7.26585627,0.03216220,0.93619309,0.77451077,0.54800766,2.77178766,2.83783417,0.04532964,3.44707454
-5.69984992,7.23555000,0.03204416,0.92968270,0.77399128,0.54371042,2.74664100,2.83879647,0.04481811,3.43964990
-5.69384692,7.21319922,0.03191612,0.92500403,0.77393497,0.54053694,2.72300531,2.84276502,0.04440155,3.43440221
-5.68784392,7.19950211,0.03177669,0.92240991,0.77433545,0.53857947,2.70124240,2.84996023,0.04409048,3.43151556
-5.68184092,7.19486489,0.03162409,0.92209489,0.77516170,0.53789701,2.68162299,2.86049959,0.04389282,3.43106717
-5.67583792,7.19939403,0.03145642,0.92418542,0.77636012,0.53851549,2.66432293,2.87439063,0.04381389,3.43303204
-5.66983492,7.21289736,0.03127183,0.92873190,0.77785743,0.54042871,2.64942272,2.89152700,0.04385633,3.43729109
-5.66383192,7.23489392,0.03106875,0.93570290,0.77956419,0.54360023,2.63691022,2.91168776,0.04402013,3.44364206
-5.65782891,7.26463215,0.03084616,0.94498196,0.78137894,0.54796574,2.62668638,2.93454026,0.04430267,3.45181281
-5.65182591,7.30111593,0.03060375,0.95636733,0.78319250,0.55343606,2.61857359,2.95964665,0.04469881,3.46147624
