energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.68799796,0.80135103,0.00000000,1.09729974,1.22456925,0.00359051,0.73904065
-5.99399700,2.71500937,0.81711743,0.00000000,1.09314466,1.24338806,0.00344357,0.74321182
-5.98799400,2.75509742,0.83627130,0.00000000,1.09513287,1.26745279,0.00330745,0.75190780
-5.98199100,2.80697513,0.85837281,0.00000000,1.10304050,1.29605630,0.00318208,0.76476456
-5.97598799,2.86910883,0.88296603,0.00000000,1.11651919,1.32841530,0.00306739,0.78129279
-5.96998499,2.93975483,0.90958506,0.00000000,1.13511131,1.36368425,0.00296329,0.80089442
-5.96398199,3.01700514,0.93776116,0.00000000,1.15826905,1.40097264,0.00286963,0.82288307
-5.95797899,3.09884088,0.96703096,0.00000000,1.18537669,1.43936522,0.00278623,0.84650762
-5.95197599,3.18319197,0.99694547,0.00000000,1.21577521,1.47794480,0.00271286,0.87097805
-5.94597299,3.26800079,1.02708002,0.00000000,1.24878807,1.51581687,0.00264926,0.89549263
-5.93996998,3.35128761,1.05704440,0.00000000,1.28374720,1.55213528,0.00259522,0.91926535
-5.93396698,3.43121505,1.08649319,0.00000000,1.32001805,1.58612779,0.00255057,0.94155259
-5.92796398,3.50614878,1.11513542,0.00000000,1.35702257,1.61712059,0.00251526,0.96167793
-5.92196098,3.57471193,1.14274344,0.00000000,1.39425915,1.64456050,0.00248943,0.97905419
-5.91595798,3.63583055,1.16916001,0.00000000,1.43131868,1.66803376,0.00247342,0.99320174
-5.90995498,3.68876803,1.19430357,0.00000000,1.46789601,1.68728045,0.00246784,1.00376253
-5.90395198,3.73314669,1.21817087,0.00000000,1.50379632,1.70220371,0.00247361,1.01050924
-5.89794897,3.76895560,1.24083681,0.00000000,1.53893627,1.71287299,0.00249195,1.01334932
-5.89194597,3.79654389,1.26245126,0.00000000,1.57333977,1.71952129,0.00252440,1.01232399
-5.88594297,3.81659999,1.28323265,0.00000000,1.60712888,1.72253592,0.00257281,1.00760222
-5.87993997,3.83011757,1.30345861,0.00000000,1.64051013,1.72244348,0.00263932,0.99947037
-5.87393697,3.83834974,1.32345371,0.00000000,1.67375705,1.71988931,0.00272628,0.98831795
-5.86793397,3.84275358,1.34357485,0.00000000,1.70718987,1.71561230,0.00283625,0.97462031
-5.86193097,3.84492755,1.36419462,0.00000000,1.74115324,1.71041631,0.00297185,0.95891931
-5.85592796,3.84654460,1.38568357,0.00000000,1.77599315,1.70513911,0.00313575,0.94180273
-5.84992496,3.84928390,1.40839179,0.00000000,1.81203401,1.70062051,0.00333057,0.92388347
-5.84392196,3.85476425,1.43263077,0.00000000,1.84955707,1.69767075,0.00355878,0.90577950
-5.83791896,3.86448189,1.45865619,0.00000000,1.88878099,1.69704073,0.00382263,0.88809525
-5.83191596,3.87975519,1.48665252,0.00000000,1.92984542,1.69939510,0.00412411,0.87140518
-5.82591296,3.90167846,1.51671991,0.00000000,1.97279833,1.70528939,0.00446486,0.85624000
-5.81990995,3.93108623,1.54886410,0.00000000,2.01758743,1.71515193,0.00484614,0.84307595
-5.81390695,3.96852924,1.58298979,0.00000000,2.06405603,1.72927119,0.00526880,0.83232709
-5.80790395,4.01426245,1.61889774,0.00000000,2.11194340,1.74778891,0.00573331,0.82434074
-5.80190095,4.06824500,1.65628583,0.00000000,2.16088959,1.77069886,0.00623971,0.81939573
-5.79589795,4.13015144,1.69475401,0.00000000,2.21044418,1.79785130,0.00678769,0.81770324
-5.78989495,4.19939306,1.73381308,0.00000000,2.26007882,1.82896236,0.00737661,0.81940958
-5.78389195,4.27514783,1.77289696,0.00000000,2.30920259,1.86362798,0.00800554,0.82460060
-5.77788894,4.35639702,1.81137796,0.00000000,2.35717972,1.90134132,0.00867332,0.83330701
-5.77188594,4.44196659,1.84858452,0.00000000,2.40334881,1.94151286,0.00937867,0.84551022
-5.76588294,4.53057110,1.88382074,0.00000000,2.44704256,1.98349214,0.01012015,0.86114797
-5.75987994,4.62085822,1.91638703,0.00000000,2.48760737,2.02659013,0.01089630,0.88011960
-5.75387694,4.71145169,1.94560090,0.00000000,2.52442182,2.07010131,0.01170563,0.90229039
-5.74787394,4.80099117,1.97081734,0.00000000,2.55691348,2.11332450,0.01254663,0.92749484
-5.74187094,4.88816756,1.99144790,0.00000000,2.58457318,2.15558183,0.01341783,0.95553884
-5.73586793,4.97175252,2.00697780,0.00000000,2.60696648,2.19623515,0.01431774,0.98620067
-5.72986493,5.05062183,2.01698043,0.00000000,2.62374188,2.23469962,0.01524480,1.01923100
-5.72386193,5.12377206,2.02112889,0.00000000,2.63463566,2.27045408,0.01619738,1.05435224
-5.71785893,5.19033085,2.01920410,0.00000000,2.63947343,2.30304833,0.01717366,1.09125738
-5.71185593,5.24956122,2.01109930,0.00000000,2.63816855,2.33210739,0.01817159,1.12960896
-5.70585293,5.30086073,1.99682106,0.00000000,2.63071783,2.35733291,0.01918872,1.16903832
-5.69984992,5.34375642,1.97648672,0.00000000,2.61719502,2.37850238,0.02022217,1.20914586
