energy_ev,total_up,As_p_up,As_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.13713297,1.31946287,0.00000000,2.97557121,3.01941238,0.03720883,2.74293105
-5.99399700,6.17741622,1.33144172,0.00000000,2.98424367,3.04868760,0.03704339,2.76699792
-5.98799400,6.21511656,1.34201184,0.00000000,2.99366079,3.07765813,0.03688261,2.79040065
-5.98199100,6.24947690,1.35071303,0.00000000,3.00307334,3.10605173,0.03672664,2.81308467
-5.97598799,6.27989056,1.35712930,0.00000000,3.01180902,3.13366376,0.03657546,2.83505799
-5.96998499,6.30591114,1.36089755,0.00000000,3.01928079,3.16035799,0.03642896,2.85638706
-5.96398199,6.32725662,1.36171517,0.00000000,3.02499216,3.18606428,0.03628705,2.87718976
-5.95797899,6.34380738,1.35934602,0.00000000,3.02853938,3.21077323,0.03614975,2.89762551
-5.95197599,6.35559796,1.35362482,0.00000000,3.02961047,3.23452786,0.03601720,2.91788314
-5.94597299,6.36280307,1.34445950,0.00000000,3.02798137,3.25741291,0.03588980,2.93816682
-5.93996998,6.36571812,1.33183165,0.00000000,3.02350950,3.27954203,0.03576821,2.95868075
-5.93396698,6.36473542,1.31579488,0.00000000,3.01612510,3.30104368,0.03565334,2.97961344
-5.92796398,6.36031694,1.29647126,0.00000000,3.00582094,3.32204631,0.03554637,3.00112219
-5.92196098,6.35296520,1.27404586,0.00000000,2.99264096,3.34266364,0.03544870,3.02331883
-5.91595798,6.34319356,1.24875982,0.00000000,2.97666857,3.36298087,0.03536186,3.04625734
-5.90995498,6.33149766,1.22090207,0.00000000,2.95801520,3.38304243,0.03528747,3.06992411
-5.90395198,6.31832939,1.19080017,0.00000000,2.93680986,3.40284212,0.03522714,3.09423150
-5.89794897,6.30407484,1.15881068,0.00000000,2.91319023,3.42231601,0.03518238,3.11901510
-5.89194597,6.28903735,1.12530942,0.00000000,2.88729593,3.44133873,0.03515454,3.14403499
-5.88594297,6.27342669,1.09068205,0.00000000,2.85926422,3.45972333,0.03514477,3.16898095
-5.87993997,6.25735473,1.05531541,0.00000000,2.82922840,3.47722467,0.03515396,3.19348165
-5.87393697,6.24083807,1.01958984,0.00000000,2.79731906,3.49354653,0.03518277,3.21711730
-5.86793397,6.22380706,0.98387278,0.00000000,2.76366786,3.50835180,0.03523165,3.23943529
-5.86193097,6.20612098,0.94851379,0.00000000,2.72841378,3.52127555,0.03530091,3.25996816
-5.85592796,6.18758823,0.91384112,0.00000000,2.69171108,3.53194028,0.03539086,3.27825296
-5.84992496,6.16799040,0.88015962,0.00000000,2.65373852,3.53997256,0.03550188,3.29385132
-5.84392196,6.14710874,0.84775011,0.00000000,2.61470912,3.54502037,0.03563460,3.30636906
-5.83791896,6.12475158,0.81686978,0.00000000,2.57487946,3.54677019,0.03579007,3.31547463
-5.83191596,6.10078085,0.78775350,0.00000000,2.53455796,3.54496311,0.03596990,3.32091549
-5.82591296,6.07513634,0.76061564,0.00000000,2.49411108,3.53940902,0.03617641,3.32253162
-5.81990995,6.04785606,0.73565213,0.00000000,2.45396697,3.52999827,0.03641278,3.32026562
-5.81390695,6.01909157,0.71304239,0.00000000,2.41461581,3.51671019,0.03668310,3.31416885
-5.80790395,5.98911710,0.69295082,0.00000000,2.37660641,3.49961788,0.03699246,3.30440343
-5.80190095,5.95833185,0.67552766,0.00000000,2.34053897,3.47888919,0.03734692,3.29123976
-5.79589795,5.92725504,0.66090894,0.00000000,2.30705387,3.45478357,0.03775342,3.27504980
-5.78989495,5.89651368,0.64921547,0.00000000,2.27681665,3.42764488,0.03821971,3.25629619
-5.78389195,5.86682336,0.64055081,0.00000000,2.25049973,3.39789055,0.03875409,3.23551758
-5.77788894,5.83896272,0.63499831,0.00000000,2.22876137,3.36599721,0.03936518,3.21331062
-5.77188594,5.81374256,0.63261731,0.00000000,2.21222267,3.33248361,0.04006163,3.19030937
-5.76588294,5.79197081,0.63343877,0.00000000,2.20144366,3.29789134,0.04085167,3.16716260
-5.75987994,5.77441479,0.63746053,0.00000000,2.19689936,3.26276423,0.04174280,3.14451002
-5.75387694,5.76176241,0.64464268,0.00000000,2.19895691,3.22762716,0.04274130,3.12295812
-5.74787394,5.75458399,0.65490309,0.00000000,2.20785498,3.19296530,0.04385186,3.10305658
-5.74187094,5.75329640,0.66811382,0.00000000,2.22368630,3.15920461,0.04507710,3.08527615
-5.73586793,5.75813128,0.68409835,0.00000000,2.24638429,3.12669443,0.04641720,3.06998879
-5.72986493,5.76910883,0.70263019,0.00000000,2.27571449,3.09569292,0.04786961,3.05745094
-5.72386193,5.78601850,0.72343301,0.00000000,2.31127147,3.06635601,0.04942873,3.04779064
-5.71785893,5.80840785,0.74618226,0.00000000,2.35248126,3.03873043,0.05108573,3.04099899
-5.71185593,5.83558013,0.77050870,0.00000000,2.39860974,3.01275102,0.05282847,3.03692654
-5.70585293,5.86660111,0.79600350,0.00000000,2.44877642,2.98824261,0.05464151,3.03528475
-5.69984992,5.90031528,0.82222486,0.00000000,2.50197356,2.96492628,0.05650623,3.03565259
-5.69384692,5.93537082,0.84870617,0.00000000,2.55708963,2.94242991,0.05840105,3.03748819
-5.68784392,5.97025278,0.87496511,0.00000000,2.61293659,2.92030237,0.06030177,3.04014518
-5.68184092,6.00332320,0.90051369,0.00000000,2.66827979,2.89803102,0.06218202,3.04289310
-5.67583792,6.03286692,0.92486859,0.00000000,2.72186952,2.87506151,0.06401375,3.04494122
-5.66983492,6.05714117,0.94756171,0.00000000,2.77247305,2.85081931,0.06576783,3.04546486
-5.66383192,6.07442742,0.96815032,0.00000000,2.81890616,2.82473184,0.06741472,3.04363332
-5.65782891,6.08308340,0.98622662,0.00000000,2.86006303,2.79625055,0.06892512,3.03863828
