energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.64200732,0.66838286,0.24424654,0.00138426,0.34984967,0.04879022,0.05017791
-5.99399700,0.61268067,0.64279559,0.23387655,0.00134743,0.33500903,0.04727630,0.04717796
-5.98799400,0.58366184,0.61647392,0.22345759,0.00130558,0.32010725,0.04563973,0.04434009
-5.98199100,0.55471600,0.58930364,0.21292035,0.00125893,0.30504092,0.04387904,0.04163224
-5.97598799,0.52568263,0.56123985,0.20222266,0.00120779,0.28974632,0.04199769,0.03902837
-5.96998499,0.49647470,0.53230550,0.19134903,0.00115259,0.27419879,0.04000394,0.03650852
-5.96398199,0.46707471,0.50258691,0.18030912,0.00109386,0.25841035,0.03791044,0.03405864
-5.95797899,0.43752782,0.47222660,0.16913509,0.00103221,0.24242585,0.03573363,0.03167021
-5.95197599,0.40793295,0.44141405,0.15787820,0.00096833,0.22631804,0.03349305,0.02933957
-5.94597299,0.37843221,0.41037499,0.14660483,0.00090293,0.21018172,0.03121049,0.02706722
-5.93996998,0.34919954,0.37935985,0.13539217,0.00083676,0.19412754,0.02890913,0.02485695
-5.93396698,0.32042902,0.34863192,0.12432383,0.00077057,0.17827554,0.02661266,0.02271499
-5.92796398,0.29232350,0.31845596,0.11348556,0.00070508,0.16274906,0.02434443,0.02064916
-5.92196098,0.26508410,0.28908766,0.10296133,0.00064097,0.14766892,0.02212669,0.01866804
-5.91595798,0.23890086,0.26076441,0.09282980,0.00057885,0.13314847,0.01997986,0.01678022
-5.90995498,0.21394501,0.23369765,0.08316150,0.00051928,0.11928933,0.01792208,0.01499374
-5.90395198,0.19036292,0.20806707,0.07401653,0.00046270,0.10617825,0.01596872,0.01331551
-5.89794897,0.16827182,0.18401665,0.06544308,0.00040950,0.09388479,0.01413212,0.01175099
-5.89194597,0.14775734,0.16165265,0.05747651,0.00035993,0.08246011,0.01242153,0.01030393
-5.88594297,0.12887273,0.14104321,0.05013917,0.00031419,0.07193666,0.01084304,0.00897622
-5.87993997,0.11163950,0.12221960,0.04344070,0.00027236,0.06232861,0.00939974,0.00776791
-5.87393697,0.09604936,0.10517875,0.03737888,0.00023446,0.05363303,0.00809196,0.00667727
-5.86793397,0.08206714,0.08988673,0.03194079,0.00020043,0.04583164,0.00691751,0.00570094
-5.86193097,0.06963443,0.07628309,0.02710429,0.00017013,0.03889284,0.00587209,0.00483417
-5.85592796,0.05867363,0.06428545,0.02283961,0.00014340,0.03277411,0.00494962,0.00407100
-5.84992496,0.04909222,0.05379446,0.01911108,0.00012002,0.02742437,0.00414264,0.00340459
-5.84392196,0.04078700,0.04469851,0.01587877,0.00009974,0.02278644,0.00344272,0.00282747
-5.83791896,0.03364807,0.03687829,0.01310010,0.00008230,0.01879929,0.00284079,0.00233177
-5.83191596,0.02756257,0.03021088,0.01073125,0.00006743,0.01540010,0.00232746,0.00190948
-5.82591296,0.02241781,0.02457337,0.00872846,0.00005485,0.01252611,0.00189333,0.00155266
-5.81990995,0.01810399,0.01984585,0.00704904,0.00004430,0.01011611,0.00152922,0.00125361
-5.81390695,0.01451636,0.01591377,0.00565228,0.00003552,0.00811169,0.00122632,0.00100499
-5.80790395,0.01155684,0.01266986,0.00450001,0.00002828,0.00645810,0.00097641,0.00079997
-5.80190095,0.00913513,0.01001524,0.00355710,0.00002236,0.00510494,0.00077187,0.00063225
-5.79589795,0.00716937,0.00786032,0.00279170,0.00001755,0.00400651,0.00060582,0.00049614
-5.78989495,0.00558644,0.00612498,0.00217535,0.00001367,0.00312196,0.00047209,0.00038656
-5.78389195,0.00432190,0.00473864,0.00168296,0.00001058,0.00241532,0.00036525,0.00029903
-5.77788894,0.00331970,0.00363986,0.00129272,0.00000813,0.00185526,0.00028056,0.00022967
