energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.57195009,0.00169859,0.04760842,0.03296120,0.17416621,0.36520396,0.14971642,0.00000000
-5.99399700,0.53254476,0.00155358,0.04494311,0.02941052,0.16266234,0.33755937,0.14166323,0.00000000
-5.98799400,0.49634769,0.00141583,0.04262901,0.02636984,0.15264089,0.31088996,0.13540184,0.00000000
-5.98199100,0.46399087,0.00128685,0.04072754,0.02384892,0.14428075,0.28556463,0.13113612,0.00000000
-5.97598799,0.43606261,0.00116796,0.03929508,0.02185576,0.13775173,0.26191674,0.12906834,0.00000000
-5.96998499,0.41310162,0.00106032,0.03838230,0.02039745,0.13321263,0.24024045,0.12939743,0.00000000
-5.96398199,0.39559166,0.00096491,0.03803366,0.01948089,0.13080898,0.22078826,0.13231655,0.00000000
-5.95797899,0.38395649,0.00088252,0.03828686,0.01911328,0.13067043,0.20376960,0.13800985,0.00000000
-5.95197599,0.37855493,0.00081380,0.03917238,0.01930239,0.13290773,0.18935036,0.14664850,0.00000000
-5.94597299,0.37967597,0.00075919,0.04071296,0.02005657,0.13760945,0.17765316,0.15838577,0.00000000
-5.93996998,0.38753347,0.00071901,0.04292318,0.02138449,0.14483825,0.16875817,0.17335139,0.00000000
-5.93396698,0.40226082,0.00069340,0.04580894,0.02329472,0.15462705,0.16270432,0.19164517,0.00000000
-5.92796398,0.42390521,0.00068239,0.04936709,0.02579498,0.16697500,0.15949076,0.21333022,0.00000000
-5.92196098,0.45242194,0.00068582,0.05358498,0.02889127,0.18184360,0.15907839,0.23842576,0.00000000
-5.91595798,0.48766891,0.00070342,0.05844017,0.03258683,0.19915305,0.16139145,0.26690015,0.00000000
-5.90995498,0.52940173,0.00073476,0.06390023,0.03688108,0.21877917,0.16631917,0.29866428,0.00000000
-5.90395198,0.57726989,0.00077928,0.06992260,0.04176848,0.24055109,0.17371745,0.33356579,0.00000000
-5.89794897,0.63081459,0.00083627,0.07645475,0.04723760,0.26425007,0.18341057,0.37138463,0.00000000
-5.89194597,0.68946871,0.00090484,0.08343445,0.05327021,0.28960957,0.19519328,0.41183042,0.00000000
-5.88594297,0.75255967,0.00098399,0.09079031,0.05984076,0.31631699,0.20883308,0.45454185,0.00000000
-5.87993997,0.81931541,0.00107256,0.09844259,0.06691613,0.34401706,0.22407315,0.49908871,0.00000000
-5.87393697,0.88887412,0.00116923,0.10630425,0.07445575,0.37231718,0.24063575,0.54497666,0.00000000
-5.86793397,0.96029792,0.00127259,0.11428229,0.08241224,0.40079455,0.25822647,0.59165500,0.00000000
-5.86193097,1.03259041,0.00138110,0.12227933,0.09073247,0.42900520,0.27653921,0.63852745,0.00000000
-5.85592796,1.10471812,0.00149316,0.13019546,0.09935907,0.45649455,0.29526204,0.68496567,0.00000000
-5.84992496,1.17563530,0.00160711,0.13793018,0.10823243,0.48280939,0.31408379,0.73032547,0.00000000
-5.84392196,1.24431153,0.00172133,0.14538462,0.11729298,0.50751071,0.33270133,0.77396501,0.00000000
-5.83791896,1.30976112,0.00183421,0.15246376,0.12648385,0.53018715,0.35082733,0.81526452,0.00000000
-5.83191596,1.37107341,0.00194428,0.15907863,0.13575354,0.55046819,0.36819827,0.85364669,0.00000000
-5.82591296,1.42744258,0.00205020,0.16514857,0.14505874,0.56803688,0.38458235,0.88859694,0.00000000
-5.81990995,1.47819578,0.00215085,0.17060323,0.15436681,0.58264119,0.39978704,0.91968258,0.00000000
-5.81390695,1.52281801,0.00224539,0.17538447,0.16365813,0.59410368,0.41366584,0.94657003,0.00000000
-5.80790395,1.56097273,0.00233325,0.17944793,0.17292773,0.60232871,0.42612381,0.96903901,0.00000000
-5.80190095,1.59251675,0.00241424,0.18276426,0.18218646,0.60730708,0.43712175,0.98699311,0.00000000
