energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,1.64204322,0.36309480,0.33881728,0.01401898,0.19462801,1.00727300,0.64523568,0.54382677,0.00000000
-5.99399700,1.66221744,0.36159725,0.34622040,0.01468432,0.20091480,1.02465235,0.65316596,0.54371864,0.00000000
-5.98799400,1.68833693,0.36149586,0.35384865,0.01531464,0.20784229,1.04688007,0.66425463,0.54558884,0.00000000
-5.98199100,1.72038812,0.36280118,0.36164546,0.01590104,0.21536631,1.07393096,0.67855736,0.54942310,0.00000000
-5.97598799,1.75839329,0.36553795,0.36957670,0.01643571,0.22343938,1.10578930,0.69613559,0.55522814,0.00000000
-5.96998499,1.80242660,0.36974897,0.37763480,0.01691221,0.23201261,1.14245586,0.71706189,0.56303837,0.00000000
-5.96398199,1.85262388,0.37549723,0.38584132,0.01732576,0.24103719,1.18395105,0.74142304,0.57292000,0.00000000
-5.95797899,1.90918552,0.38286598,0.39424758,0.01767333,0.25046559,1.23031404,0.76932049,0.58497200,0.00000000
-5.95197599,1.97237173,0.39195675,0.40293344,0.01795382,0.26025226,1.28159749,0.80086817,0.59932395,0.00000000
-5.94597299,2.04249026,0.40288532,0.41200403,0.01816797,0.27035399,1.33785834,0.83618747,0.61613050,0.00000000
-5.93996998,2.11987691,0.41577570,0.42158457,0.01831834,0.28072981,1.39914475,0.87539970,0.63556289,0.00000000
-5.93396698,2.20486975,0.43075243,0.43181355,0.01840905,0.29134056,1.46548004,0.91861639,0.65779769,0.00000000
-5.92796398,2.29777821,0.44793159,0.44283453,0.01844558,0.30214811,1.53684430,0.96592781,0.68300333,0.00000000
-5.92196098,2.39884875,0.46741090,0.45478685,0.01843441,0.31311442,1.61315480,1.01739050,0.71132519,0.00000000
-5.91595798,2.50822903,0.48925937,0.46779588,0.01838267,0.32420040,1.69424627,1.07301441,0.74286988,0.00000000
