energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.61418968,0.01039962,0.01732703,0.70651922,0.37785230,0.41274510,0.09611380,0.01502242,1.04967058
-5.99399700,1.60446949,0.00916871,0.01779260,0.70443906,0.37516875,0.40759975,0.09651007,0.01530994,1.04548066
-5.98799400,1.60528665,0.00808206,0.01831801,0.70689377,0.37502182,0.40490315,0.09752396,0.01571392,1.04821698
-5.98199100,1.61656767,0.00713640,0.01889365,0.71383017,0.37740660,0.40466293,0.09914767,0.01623336,1.05784076
-5.97598799,1.63801739,0.00632708,0.01950847,0.72510044,0.38226815,0.40683581,0.10135961,0.01686478,1.07416675
-5.96998499,1.66913049,0.00564836,0.02015031,0.74046771,0.38950365,0.41133013,0.10412499,0.01760226,1.09687027
-5.96398199,1.70920717,0.00509360,0.02080611,0.75961342,0.39896546,0.41800950,0.10739682,0.01843759,1.12549708
-5.95797899,1.75737251,0.00465554,0.02146228,0.78214601,0.41046495,0.42669707,0.11111708,0.01936046,1.15947571
-5.95197599,1.81259901,0.00432647,0.02210496,0.80761083,0.42377695,0.43718050,0.11521813,0.02035864,1.19813201
-5.94597299,1.87373167,0.00409845,0.02272038,0.83550105,0.43864476,0.44921742,0.11962435,0.02141832,1.24070552
-5.93996998,1.93951540,0.00396347,0.02329512,0.86526929,0.45478572,0.46254119,0.12425395,0.02252444,1.28636747
-5.93396698,2.00862394,0.00391358,0.02381644,0.89633980,0.47189700,0.47686704,0.12902094,0.02366104,1.33423992
-5.92796398,2.07969005,0.00394102,0.02427259,0.92812100,0.48966192,0.49189822,0.13383715,0.02481173,1.38341581
-5.92196098,2.15133625,0.00403828,0.02465302,0.96001816,0.50775626,0.50733231,0.13861434,0.02596007,1.43297959
-5.91595798,2.22220556,0.00419817,0.02494867,0.99144595,0.52585491,0.52286754,0.14326634,0.02709009,1.48202780
-5.90995498,2.29099174,0.00441387,0.02515218,1.02184068,0.54363839,0.53820883,0.14771114,0.02818670,1.52968951
-5.90395198,2.35646810,0.00467897,0.02525807,1.05067196,0.56079940,0.55307381,0.15187285,0.02923612,1.57514576
-5.89794897,2.41751452,0.00498746,0.02526288,1.07745354,0.57704905,0.56719835,0.15568355,0.03022634,1.61764793
-5.89194597,2.47314159,0.00533376,0.02516528,1.10175299,0.59212281,0.58034170,0.15908492,0.03114743,1.65653407
-5.88594297,2.52251147,0.00571267,0.02496607,1.12320011,0.60578585,0.59229109,0.16202960,0.03199187,1.69124317
-5.87993997,2.56495462,0.00611944,0.02466821,1.14149368,0.61783779,0.60286561,0.16448225,0.03275476,1.72132655
-5.87393697,2.59998193,0.00654967,0.02427677,1.15640639,0.62811660,0.61191923,0.16642019,0.03343394,1.74645611
-5.86793397,2.62729161,0.00699935,0.02379872,1.16778784,0.63650148,0.61934296,0.16783380,0.03403006,1.76642914
-5.86193097,2.64677075,0.00746478,0.02324283,1.17556540,0.64291476,0.62506601,0.16872634,0.03454647,1.78116937
-5.85592796,2.65849115,0.00794256,0.02261940,1.17974296,0.64732251,0.62905583,0.16911349,0.03498911,1.79072422
-5.84992496,2.66269964,0.00842954,0.02193994,1.18039753,0.64973408,0.63131707,0.16902240,0.03536618,1.79525825
-5.84392196,2.65980308,0.00892276,0.02121692,1.17767379,0.65020028,0.63188950,0.16849046,0.03568782,1.79504298
