energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.47827501,0.48718698,0.00000000,0.02085400,1.02393768,0.08203350,1.12196745,1.59172415,0.96081655
-5.99399700,3.50757511,0.48796963,0.00000000,0.02037712,1.03584988,0.08106076,1.13524444,1.61474077,0.96659770
-5.98799400,3.52642144,0.48748493,0.00000000,0.01979647,1.04536023,0.07965151,1.14418550,1.63369450,0.96991830
-5.98199100,3.53447789,0.48563782,0.00000000,0.01912119,1.05239488,0.07782927,1.14855595,1.64825521,0.97076236
-5.97598799,3.53148487,0.48235021,0.00000000,0.01836183,1.05686836,0.07562406,1.14819205,1.65811383,0.96911418
-5.96998499,3.51725636,0.47756319,0.00000000,0.01752998,1.05868210,0.07307156,1.14300255,1.66298474,0.96495542
-5.96398199,3.49168002,0.47123878,0.00000000,0.01663806,1.05772551,0.07021216,1.13296876,1.66261026,0.95826411
-5.95797899,3.45472032,0.46336150,0.00000000,0.01569894,1.05387985,0.06708983,1.11814345,1.65676724,0.94901576
-5.95197599,3.40642464,0.45393936,0.00000000,0.01472568,1.04702447,0.06375100,1.09864839,1.64527524,0.93718645
-5.94597299,3.34693167,0.44300442,0.00000000,0.01373119,1.03704522,0.06024341,1.07467090,1.62800611,0.92275756
-5.93996998,3.27648127,0.43061271,0.00000000,0.01272800,1.02384431,0.05661496,1.04645923,1.60489403,0.90572193
-5.93396698,3.19542484,0.41684368,0.00000000,0.01172794,1.00735104,0.05291264,1.01431707,1.57594550,0.88609084
-5.92796398,3.10423501,0.40179893,0.00000000,0.01074197,0.98753259,0.04918156,0.97859725,1.54124844,0.86390126
-5.92196098,3.00351347,0.38560048,0.00000000,0.00977996,0.96440410,0.04546407,0.93969474,1.50097962,0.83922284
-5.91595798,2.89399577,0.36838843,0.00000000,0.00885060,0.93803738,0.04179905,0.89803907,1.45540979,0.81216397
