energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.96236029,0.00564051,0.05314415,0.71754840,0.28597899,0.01673882,1.23327612,0.59803693,0.20842225
-5.99399700,1.99616053,0.00532415,0.05289335,0.72765371,0.29569765,0.01677838,1.25695558,0.61153624,0.21128672
-5.98799400,2.03240592,0.00504771,0.05259817,0.73932047,0.30609481,0.01682253,1.28224139,0.62544350,0.21433669
-5.98199100,2.07074742,0.00480676,0.05225702,0.75247954,0.31703788,0.01686542,1.30890968,0.63966072,0.21755444
-5.97598799,2.11071821,0.00459692,0.05186776,0.76699479,0.32837117,0.01690207,1.33665986,0.65405583,0.22091120
-5.96998499,2.15174007,0.00441395,0.05142795,0.78266421,0.33991781,0.01692843,1.36511834,0.66846320,0.22436772
-5.96398199,2.19313355,0.00425381,0.05093510,0.79922338,0.35148257,0.01694157,1.39384468,0.68268557,0.22787521
-5.95797899,2.23413162,0.00411273,0.05038687,0.81635105,0.36285540,0.01693970,1.42234007,0.69649713,0.23137656
-5.95197599,2.27389663,0.00398719,0.04978125,0.83367683,0.37381570,0.01692212,1.45005804,0.70964792,0.23480775
-5.94597299,2.31153989,0.00387395,0.04911677,0.85079067,0.38413732,0.01688919,1.47641705,0.72186937,0.23809953
-5.93996998,2.34614357,0.00377006,0.04839249,0.86725392,0.39359404,0.01684212,1.50081459,0.73288081,0.24117905
-5.93396698,2.37678406,0.00367284,0.04760815,0.88261154,0.40196532,0.01678279,1.52264248,0.74239692,0.24397176
-5.92796398,2.40255620,0.00357990,0.04676406,0.89640518,0.40904235,0.01671357,1.54130279,0.75013564,0.24640313
-5.92196098,2.42259760,0.00348908,0.04586111,0.90818657,0.41463389,0.01663695,1.55622390,0.75582660,0.24840046
-5.91595798,2.43611223,0.00339852,0.04490065,0.91753084,0.41857188,0.01655538,1.56687626,0.75921945,0.24989456
-5.90995498,2.44239248,0.00330660,0.04388439,0.92404919,0.42071646,0.01647096,1.57278714,0.76009203,0.25082135
-5.90395198,2.44083898,0.00321195,0.04281432,0.92740064,0.42096025,0.01638520,1.57355402,0.75825794,0.25112327
-5.89794897,2.43097761,0.00311350,0.04169257,0.92730227,0.41923169,0.01629887,1.56885610,0.75357322,0.25075058
-5.89194597,2.41247292,0.00301041,0.04052138,0.92353759,0.41549728,0.01621180,1.55846352,0.74594187,0.24966241
-5.88594297,2.38513776,0.00290215,0.03930307,0.91596297,0.40976261,0.01612287,1.54224403,0.73532002,0.24782772
-5.87993997,2.34893869,0.00278842,0.03803998,0.90451159,0.40207215,0.01602992,1.52016687,0.72171847,0.24522590
-5.87393697,2.30399714,0.00266921,0.03673455,0.88919516,0.39250783,0.01592987,1.49230382,0.70520360,0.24184734
-5.86793397,2.25058635,0.00254476,0.03538936,0.87010304,0.38118650,0.01581878,1.45882736,0.68589647,0.23769361
-5.86193097,2.18912426,0.00241555,0.03400722,0.84739924,0.36825623,0.01569208,1.42000626,0.66397035,0.23277760
-5.85592796,2.12016279,0.00228225,0.03259128,0.82131715,0.35389190,0.01554475,1.37619854,0.63964654,0.22712332
-5.84992496,2.04437391,0.00214572,0.03114513,0.79215249,0.33829002,0.01537160,1.32784245,0.61318884,0.22076561
-5.84392196,1.96253317,0.00200699,0.02967286,0.76025467,0.32166319,0.01516753,1.27544555,0.58489684,0.21374958
-5.83791896,1.87550113,0.00186717,0.02817920,0.72601704,0.30423428,0.01492782,1.21957265,0.55509834,0.20612995
